id,question,answer,category,tags,alt_questions,img_keys
sr_hoa_chunk_01,"Quy trình xử lý nấm bệnh và rong rêu tồn dư trên cây sầu riêng sau thu hoạch như thế nào?","Trước khi làm cơi phục hồi, bắt buộc phải xử lý nấm bệnh và rong rêu tồn dư trên cây. Nếu cây không có rêu, không nấm bệnh và lá khỏe, phun lần lượt: Đơn 1 - 1 lít Thần dược sạch bệnh pha với 400 lít nước; Đơn 2 - 500 ml Tecvil pha với 200 lít nước; Đơn 3 - 250 ml Azol 450SC pha với 200 lít nước, phun đều thân và lá. Nếu thân và cành có nhiều rêu, lá bệnh nhiều tảo đỏ và thán thư, phun: Đơn 1 - 500 gr Đồng 77 pha 200 lít nước; Đơn 2 - 1 kg Đồng Oxychloride pha 200 lít nước, phun đều thân và lá.","sau_rieng","sau_rieng|xu_ly_nam_benh|rong_reu|phun_thuoc","Cách xử lý nấm bệnh trên cây sầu riêng sau thu hoạch|Phun thuốc chống rong rêu cho cây sầu riêng|Xử lý bệnh thán thư trên cây sầu riêng",
sr_hoa_chunk_02,"Các bước chính trong giai đoạn 1 phục hồi làm cơi lá cây sầu riêng là gì?","Giai đoạn 1 phục hồi làm cơi lá gồm 2 lần cơi lá khỏe và không bị bệnh. Cơi 1 gồm 5 bước: Bước 1 - kích đọt khi lá già chuyển xanh đen, tưới 20 lít R333 cho 30-40 gốc, phun lá hỗn hợp 100 ml Agrohigh + 500 ml Amingood pha 200 lít nước; Bước 2 - khi hạt gạo nở thành đuôi tôm, bón gốc 30-10-10 + humic 1-1.5 kg/cây, phun lá 500 ml Bung đọt + 500 gr 30-10-10 + thuốc rầy pha 200 lít nước; Bước 3 - khi đuôi tôm hình mũi giáo (2-3 cặp lá chưa mở), bón gốc 5-7 kg phân nở/cây, phun lá theo 2 đơn lựa chọn; Bước 4 - khi mũi giáo mở gần hết, bổ sung phân nước nếu cần, phun lá 3 đơn lựa chọn; Bước 5 - khi lá mở gần hết chuyển lụa, bón gốc 16-16-16 1-1.5 kg/cây, phun lá 3 đơn lựa chọn. Cơi 2 làm lại y chang cơi 1.","sau_rieng","sau_rieng|lam_coi_la|phuc_hoi_cay|bon_phan|phun_thuoc","Quy trình làm cơi lá cho cây sầu riêng|Các bước phục hồi cây sầu riêng sau thu hoạch|Làm cơi lá cây sầu riêng như thế nào",
sr_hoa_chunk_03,"Liều lượng và cách phun thuốc trong bước kích đọt của giai đoạn phục hồi cây sầu riêng ra sao?","Trong bước kích đọt khi lá đã già chuyển màu xanh đen, tưới gốc 20 lít dung dịch R333 cho 30-40 gốc tùy theo tán và tuổi cây. Phun lá hỗn hợp gồm 100 ml Agrohigh và 500 ml Amingood pha với 200 lít nước, phun đều thân và lá để kích thích đọt phát triển.","sau_rieng","sau_rieng|kich_dot|phun_thuoc|lam_coi_la","Cách phun thuốc kích đọt cho cây sầu riêng|Liều lượng thuốc kích đọt cây sầu riêng|Phun thuốc kích thích đọt sầu riêng như thế nào",
sr_hoa_chunk_04,"Tại sao cần làm lại cơi lá lần 2 giống hệt cơi 1 trong quy trình chăm sóc sầu riêng?","Làm lại cơi lá lần 2 giống y hệt cơi 1 nhằm đảm bảo cây phục hồi hoàn toàn, lá khỏe mạnh và không bị bệnh, giúp cây phát triển đồng đều, tăng khả năng ra hoa và năng suất. Việc này giúp củng cố hiệu quả của lần cơi lá đầu tiên và duy trì sức khỏe cây trong thời kỳ kinh doanh.","sau_rieng","sau_rieng|lam_coi_la|phuc_hoi_cay|tang_nang_suat","Tại sao phải làm cơi lá lần 2 cho cây sầu riêng|Ý nghĩa của cơi lá lần 2 trong chăm sóc sầu riêng|Làm cơi lá lần 2 có tác dụng gì",
sr_hoa_qa_01,"Vì sao phải xử lý nấm bệnh và rong rêu trước khi làm cơi phục hồi cây sầu riêng?","Xử lý nấm bệnh và rong rêu tồn dư trước khi làm cơi phục hồi là cần thiết để loại bỏ nguồn bệnh, tránh lây lan và ảnh hưởng xấu đến sự phát triển của cây. Nếu không xử lý, cây dễ bị bệnh trở lại, làm giảm hiệu quả cơi lá, ảnh hưởng đến năng suất và chất lượng quả.","sau_rieng","sau_rieng|xu_ly_nam_benh|rong_reu|phong_benh","Tại sao phải xử lý nấm bệnh trước khi làm cơi lá sầu riêng|Ý nghĩa của việc xử lý rong rêu trên cây sầu riêng|Vì sao cần phun thuốc chống bệnh trước khi phục hồi cây",
sr_hoa_qa_02,"Vì sao phải bón phân và phun thuốc theo từng bước cụ thể trong giai đoạn phục hồi làm cơi lá?","Bón phân và phun thuốc theo từng bước cụ thể giúp cung cấp dinh dưỡng phù hợp với từng giai đoạn phát triển của cây, kích thích đọt non, tăng sức đề kháng và phòng trừ sâu bệnh hiệu quả. Điều này đảm bảo cây phát triển khỏe mạnh, lá xanh tốt, chuẩn bị tốt cho giai đoạn ra hoa và đậu quả.","sau_rieng","sau_rieng|bon_phan|phun_thuoc|lam_coi_la|phuc_hoi_cay","Tại sao phải bón phân từng bước cho cây sầu riêng|Ý nghĩa của việc phun thuốc theo giai đoạn phục hồi|Lợi ích của việc chăm sóc từng bước cho cây sầu riêng",
sr_hoa_qa_03,"Lưu ý quan trọng khi phun thuốc và bón phân trong quy trình phục hồi làm cơi lá cây sầu riêng là gì?","Lưu ý quan trọng là phải phun thuốc đều thân và lá, sử dụng đúng liều lượng và pha đúng tỷ lệ nước để tránh gây cháy lá hoặc thiếu hiệu quả. Bón phân cần đúng thời điểm từng bước phát triển của cây, không bón quá nhiều gây thừa dinh dưỡng. Đảm bảo cây không bị bệnh trong suốt quá trình phục hồi để đạt hiệu quả cao nhất.","sau_rieng","sau_rieng|luu_y|phun_thuoc|bon_phan|phuc_hoi_cay","Lưu ý khi phun thuốc cho cây sầu riêng|Những điều cần tránh khi bón phân cho sầu riêng|Cách sử dụng thuốc và phân đúng cách cho cây sầu riêng",
sr_hoa_chunk_01,"Bón lân và hãm nước trong quy trình làm hoa sầu riêng 5–10 năm được thực hiện như thế nào?","Sau khi hoàn tất cơi lá thứ 2 và lá đã già đều, bắt đầu quy trình làm hoa sầu riêng bằng bước bón lân. Nếu lá đã già và chuyển xanh đen thì bón 5–7kg lân/cây đều quanh tán. Nếu lá mới ở trạng thái lụa cứng, chưa xanh đen thì bón 5–7kg lân kết hợp thêm 3 lạng kali/cây. Sau khi bón, cần tưới nước đều trong 3–5 ngày để phân tan và ngấm xuống đất, sau đó tiến hành hãm nước trong 30–35 ngày, tức là ngưng tưới hoàn toàn trong khoảng thời gian đó để kích thích phân hóa mầm hoa.","sau_rieng_lam_hoa","sau_rieng|lam_hoa|bon_lan|ham_nuoc","Bón lân làm hoa sầu riêng ra sao|Xiết nước bao lâu sau khi bón lân|Cây lá lụa chưa xanh đen thì bón lân và kali thế nào|Hãm nước là gì trong quy trình làm hoa",
sr_hoa_chunk_02,"Quy trình phun phân hóa mầm hoa cho sầu riêng gồm những bước và liều lượng nào?","Phun phân hóa mầm hoa được thực hiện sau khi hãm nước được 7 ngày. Lần 1 dùng 500g 8-52-8 kết hợp 240ml Peka 29-26 pha đủ 200 lít nước, phun đều thân, cành và lá. Lần 2 dùng 500g Lân 86 pha 200 lít nước phun đều thân và cành. Khi mắt cua bắt đầu nhú nhưng chưa đều thì phun lần 3 với 250g Lân 86 + 500g KNO3 + 500ml Rước mắt cua (Nitrophenol) pha đủ 200 lít nước phun thân, cành. Khi rước mắt cua sáng đồng loạt thì phun lần 4: 480ml Peka 29-26 + 500ml Rước mắt cua + 250ml Cabona pha đủ 200 lít nước phun đều cành. Trong giai đoạn này, do thời tiết khô nóng cây rất dễ bị nhện đỏ tấn công nên phải quan sát và phòng trừ kịp thời.","sau_rieng_lam_hoa","phan_hoa_mam_hoa|ruoc_mat_cua|kn03|nhen_do","Phun phân hóa mầm hoa cho sầu riêng mấy lần|Liều lượng 8-52-8 và Peka 29-26 dùng thế nào|Rước mắt cua phun thời điểm nào|Giai đoạn phân hóa mầm hoa có cần phòng nhện đỏ không",
sr_hoa_chunk_03,"Trong giai đoạn vô nước, kéo hoa kèm đọt và tỉa hoa, quy trình chăm sóc sầu riêng như thế nào?","Sau giai đoạn phân hóa mầm hoa, bước tiếp theo là vô nước, kéo hoa kèm đọt và tỉa hoa. Vô nước bắt đầu bằng nhấp nước từ từ, cách ngày tưới một lần cho đến khi cây quen nước, sau đó tưới định kỳ 2 ngày một lần. Kích hoa kèm đọt được thực hiện tương tự quy trình làm cơi trước khi làm hoa: bước 1 kích đọt với gốc dùng 20 lít R333 tưới cho 30–40 gốc tùy tán và tuổi cây, lá dùng 100ml Agrohigh + 500ml Amingood pha 200 lít nước. Bước 2 khi lá ở giai đoạn hạt gạo nở thành đuôi tôm thì bón gốc 30-10-10 + humic 1–1,5kg/cây, phun lá 500ml Bung đọt + 500g 30-10-10 + thuốc rầy pha đủ 200 lít nước. Khi hoa dài 3–5cm thì tiến hành tỉa hoa lần 1, bỏ hoa ở đầu cành, sát thân, hoa đâm ngang và đâm lên trời để các chùm còn lại to và mập hơn.","sau_rieng_lam_hoa","vo_nuoc|keo_hoa|tua_hoa|kich_dot","Quy trình vô nước và kéo hoa cho sầu riêng thế nào|Kích hoa kèm đọt dùng phân gì|Khi hoa 3–5 cm thì tỉa hoa ra sao|Tại sao phải bỏ hoa ở đầu cành và sát thân",
