id,question,answer,category,tags,alt_questions,img_keys
herb_phoanglua_0001,"Sản phẩm PHƯỢNG HOÀNG LỬA là thuốc gì? Hoạt chất và đặc điểm chính?","SẢN PHẨM: PHƯỢNG HOÀNG LỬA\nHOẠT CHẤT: Glufosinate ammonium 10% w/w\nNHÓM SẢN PHẨM: Thuốc trừ cỏ KHÔNG chọn lọc, phổ rộng; tác động nội hấp và tiếp xúc; diệt cỏ giai đoạn hậu nảy mầm (từ khi cỏ còn nhỏ đến khi cỏ đã lớn).\nHÃNG SẢN XUẤT: Ningxia Wynca Technology Co., Ltd","Thuốc BVTV > Thuốc trừ cỏ","product:phuong-hoang-lua;ai:glufosinate-ammonium;ai_rate:10%;type:herbicide;selectivity:non-selective;stage:post-emergence;mode:systemic+contact;maker:ningxia-wynca","[""PHƯỢNG HOÀNG LỬA chứa hoạt chất gì?"",""PHƯỢNG HOÀNG LỬA có phải thuốc trừ cỏ không chọn lọc không?"",""Glufosinate ammonium 10% w/w trong PHƯỢNG HOÀNG LỬA là thuốc gì?""]",""
herb_phoanglua_0002,"PHƯỢNG HOÀNG LỬA dùng cho cây trồng/địa hình nào?","SẢN PHẨM: PHƯỢNG HOÀNG LỬA | Glufosinate ammonium 10% w/w | Thuốc trừ cỏ không chọn lọc.\nCÂY TRỒNG/ĐỊA HÌNH: Vườn cao su; vườn cà phê; ruộng ngô (bắp); hồ tiêu; vườn cây ăn trái; đất không trồng trọt...","Thuốc BVTV > Thuốc trừ cỏ > Phạm vi sử dụng","product:phuong-hoang-lua;ai:glufosinate-ammonium;crop:rubber;crop:coffee;crop:maize;crop:pepper;crop:fruit-tree;site:non-crop-land","[""PHƯỢNG HOÀNG LỬA phun cho vườn cà phê được không?"",""PHƯỢNG HOÀNG LỬA dùng cho cao su/ngô/hồ tiêu không?""]",""
herb_phoanglua_0003,"PHƯỢNG HOÀNG LỬA diệt được các loại cỏ nào?","SẢN PHẨM: PHƯỢNG HOÀNG LỬA | Glufosinate ammonium 10% w/w | Thuốc trừ cỏ không chọn lọc.\nCỎ HẠI: Cỏ chỉ, mần trầu, mắc cỡ, đèn gai, cỏ tranh, thài lài; các loại cỏ lá rộng; cỏ đuôi phụng; cỏ tứt; cỏ đậu; rau sam... (diệt cỏ 1 lá mầm và 2 lá mầm).","Thuốc BVTV > Thuốc trừ cỏ > Đối tượng cỏ hại","product:phuong-hoang-lua;ai:glufosinate-ammonium;weed:co-chi;weed:man-trau;weed:mac-co;weed:den-gai;weed:co-tranh;weed:thai-lai;weed:broadleaf;weed:grass","[""PHƯỢNG HOÀNG LỬA diệt mần trầu/cỏ tranh/rau sam không?"",""PHƯỢNG HOÀNG LỬA diệt cỏ lá rộng được không?""]",""
herb_phoanglua_0004,"Liều dùng PHƯỢNG HOÀNG LỬA theo ha là bao nhiêu?","SẢN PHẨM: PHƯỢNG HOÀNG LỬA | Glufosinate ammonium 10% w/w.\nLIỀU DÙNG: 4.0 lít/ha.\nLƯỢNG NƯỚC KHUYẾN NGHỊ: 500–600 lít/ha (phun ướt đều thân và lá cỏ).","Thuốc BVTV > Thuốc trừ cỏ > Liều lượng","product:phuong-hoang-lua;ai:glufosinate-ammonium;dose:4l-per-ha;water:500-600l-per-ha","[""PHƯỢNG HOÀNG LỬA liều bao nhiêu lít/ha?"",""Phun PHƯỢNG HOÀNG LỬA cần bao nhiêu nước/ha?""]",""
herb_phoanglua_0005,"PHƯỢNG HOÀNG LỬA pha bình 18–20 lít như thế nào?","SẢN PHẨM: PHƯỢNG HOÀNG LỬA | Glufosinate ammonium 10% w/w.\nPha 150 ml/bình 18–20 lít.\nLưu ý dùng nước trong để pha.","Thuốc BVTV > Thuốc trừ cỏ > Cách pha","product:phuong-hoang-lua;ai:glufosinate-ammonium;mix:150ml-per-18-20l","[""Pha PHƯỢNG HOÀNG LỬA bình 20 lít bao nhiêu ml?"",""Bình 18 lít pha PHƯỢNG HOÀNG LỬA thế nào?""]",""
herb_phoanglua_0006,"Thời điểm và điều kiện phun PHƯỢNG HOÀNG LỬA để hiệu quả cao?","SẢN PHẨM: PHƯỢNG HOÀNG LỬA | Glufosinate ammonium 10% w/w.\nTHỜI ĐIỂM: Phun khi cỏ đang phát triển mạnh.\nĐIỀU KIỆN: Không phun khi trời mưa hay thời tiết bất lợi; không phun lên cỏ đang ngập nước.\nMỤC TIÊU PHUN: Phun ướt đều thân và lá cỏ.","Thuốc BVTV > Thuốc trừ cỏ > Thời điểm sử dụng","product:phuong-hoang-lua;ai:glufosinate-ammonium;timing:active-growth;weather:no-rain;condition:no-flooded-weed","[""Khi nào nên phun PHƯỢNG HOÀNG LỬA?"",""Trời mưa có phun PHƯỢNG HOÀNG LỬA được không?"",""Cỏ ngập nước có phun được không?""]",""
herb_phoanglua_0007,"PHƯỢNG HOÀNG LỬA có lưu ý gì để tránh hại cây trồng?","SẢN PHẨM: PHƯỢNG HOÀNG LỬA | Glufosinate ammonium 10% w/w | Thuốc trừ cỏ không chọn lọc.\nCẢNH BÁO: Không phun lên phần xanh của cây trồng.\nKỸ THUẬT: Dùng phễu phun xuống định hướng để thuốc ướt đều bề mặt lá cỏ và phần màu xanh của cỏ; tuyệt đối không để thuốc chạm vào cây trồng.","Thuốc BVTV > Thuốc trừ cỏ > An toàn sử dụng","product:phuong-hoang-lua;ai:glufosinate-ammonium;selectivity:non-selective;warning:avoid-crop-green;tech:directed-spray","[""PHƯỢNG HOÀNG LỬA có phun trúng cây trồng được không?"",""Cách phun để không dính cây trồng khi dùng PHƯỢNG HOÀNG LỬA?""]",""
herb_phoanglua_0008,"Nếu cỏ đã lớn thì dùng PHƯỢNG HOÀNG LỬA thế nào? Chiều cao cỏ khuyến nghị?","SẢN PHẨM: PHƯỢNG HOÀNG LỬA | Glufosinate ammonium 10% w/w.\nKhi cỏ đã lớn: nên tăng liều.\nKhuyến nghị kỹ thuật: phun ướt đều thân và lá cỏ khi cỏ cao khoảng 20 cm.","Thuốc BVTV > Thuốc trừ cỏ > Tối ưu hiệu lực","product:phuong-hoang-lua;ai:glufosinate-ammonium;weed_size:20cm;note:increase-dose-when-weed-mature","[""Cỏ lớn rồi phun PHƯỢNG HOÀNG LỬA có cần tăng liều không?"",""Cỏ cao 20cm dùng PHƯỢNG HOÀNG LỬA thế nào?""]",""

group_newfosinate150sl_master,"NEWFOSINATE 150SL / Khai Hoang Q7 / Khai Hoang Q10 / Trâu Rừng Mới là thuốc gì?","NHÓM SẢN PHẨM: NEWFOSINATE 150SLCÁC TÊN / NHÃN TƯƠNG ĐƯƠNG:- Khai Hoang Q7- Khai Hoang Q10- NEWFOSINATE- Trâu Rừng MớiHOẠT CHẤT:Glufosinate ammonium 150 g/lít + Phụ gia đặc biệt 850 g/lítNHÓM THUỐC:Thuốc trừ cỏ NỘI HẤP, KHÔNG chọn lọcHÃNG SẢN XUẤT:Jiangsu Huangma Agrochemicals Co., Ltd. ĐẶC TÍNH – CÔNG DỤNG:• Newfosinate 150SL là thuốc trừ cỏ nội hấp, không chọn lọc  • Diệt nhanh nhiều loại cỏ đã kháng Glyphosate IPA  • Diệt trừ cỏ hàng niên và đa niên trên đất trồng cây công nghiệp, vườn cây ăn trái và đất không trồng trọt   ĐỐI TƯỢNG CỎ HẠI:Mần trầu; cỏ tranh; cỏ chỉ; cỏ mực; cỏ chân vịt; cỏ lông vực; cỏ lẻ tre; đèn gai; rau sam; rau trai (thài lài); cỏ chắc lác; các loại cỏ lá rộng và lá hẹp khác. PHẠM VI SỬ DỤNG:• Đất trồng cây công nghiệp  • Vườn cây ăn trái  • Đất không trồng trọt   LIỀU DÙNG – CÁCH PHA – LƯỢNG NƯỚC:• Liều dùng: 3.0 lít/ha  • Bình 20 lít: pha 150 – 200 ml  • Bình 25 lít: pha 200 – 300 ml  • Lượng nước: 400 – 500 lít/ha   THỜI ĐIỂM PHUN – HIỆU LỰC:• Phun khi cỏ đang sinh trưởng phát triển xanh tốt  • Sau phun 3 – 5 ngày: cỏ vàng úa  • Sau 7 – 10 ngày: cỏ chết hoàn toàn   LƯU Ý AN TOÀN – KỸ THUẬT:• Thời gian cách ly: không xác định  • Pha thuốc với nước trong  • Không phun lên cỏ đang ngập nước  • Không phun lên phần xanh của cây trồng   TRƯỜNG HỢP CỎ GIÀ / RA HOA / KẾT HẠT:• Phun ướt đều từ gốc tới ngọn  • Lượng nước phun: 800 – 1.000 lít/ha   KINH NGHIỆM PHỐI TRỘN CỦA NHÀ NÔNG:Phối trộn: NEWFOSINATE 150SL + PARATO 200SL  (Parato 200SL – Hoạt chất: Diquat dibromide 200 g/l)PHẠM VI ÁP DỤNG PHỐI TRỘN:• Cây công nghiệp  • Vườn cây ăn trái  • Đất không trồng trọt  ĐỐI TƯỢNG CỎ:• Cỏ lá hẹp: cỏ chỉ, cỏ mực, cỏ tranh, cỏ chân vịt, cỏ lồng vực, cỏ mần trầu…  • Cỏ lá rộng: dền gai, rau sam, cỏ lá tre, rau trai (thài lài)…  LIỀU PHỐI TRỘN:• Newfosinate 100 ml + Parato 100 ml / bình 16 lít  • Newfosinate 150 ml + Parato 100 ml / bình 25 lít  LƯỢNG NƯỚC PHUN:• Bình thường: 500 – 750 lít/ha  • Cỏ cao > 30 cm hoặc đã ra hoa: 800 – 1.000 lít/ha  HIỆU QUẢ:• Bao xài cả cỏ lá rộng và cỏ lá hẹp   PHẠM VI ÁP DỤNG:Thông tin trên áp dụng cho các sản phẩm có CÙNG công thức:Glufosinate ammonium 150 g/lít + phụ gia đặc biệt 850 g/lít(Khai Hoang Q7, Khai Hoang Q10, NEWFOSINATE, Trâu Rừng Mới)","Thuốc BVTV > Thuốc trừ cỏ > Thông tin đầy đủ","group:newfosinate-150sl;alias:khai-hoang-q7;alias:khai-hoang-q10;alias:newfosinate;alias:trau-rung-moi;type:herbicide;selectivity:non-selective;mode:systemic;ai:glufosinate-ammonium;ai_rate:150g-l;adjuvant:850g-l;maker:jiangsu-huangma;mix:parato-200sl;ai_mix:diquat-dibromide","[""Khai Hoang Q7 là thuốc gì?"",""Khai Hoang Q10 dùng như thế nào?"",""Trâu Rừng Mới liều bao nhiêu lít/ha?"",""NEWFOSINATE 150SL pha bình 20 lít ra sao?"",""NEWFOSINATE phối Parato 200SL thế nào?"",""Thuốc NEWFOSINATE diệt cỏ kháng Glyphosate không?""]",""
