id,question,answer,category,tags,alt_questions_v2
kyodo_50wp_chunk_01,"Thuốc BVTV Kyodo 50WP có thành phần và công dụng chính là gì?","Kyodo 50WP chứa hoạt chất Diafenthiuron với nồng độ 500g/kg, được đóng gói dạng bột 100gr. Thuốc có tác dụng phòng trừ các loại sâu hại như bọ trĩ, nhện đỏ, nhện trắng, rầy xanh, bọ xít, bọ hà trên các cây trồng như cam, quýt, chè, hoa hồng, nho, khoai và các loại rau màu. Ngoài ra, thuốc còn hiệu quả với nhện đỏ, bọ trĩ trên hoa các loại và sâu xanh, sâu tơ trên rau màu. Lưu ý không phun thuốc trên cây lúa để tránh gây hại.","thuoc_sau","diafenthiuron|kyodo_50wp|bo_tri|nhen_do|sau_xanh|rau_mau","Kyodo 50WP là thuốc gì và dùng cho cây trồng nào? | Thành phần và công dụng của Kyodo 50WP là gì? | Thuốc Kyodo 50WP có tác dụng phòng trừ sâu bệnh nào?"
kyodo_50wp_chunk_02,"Kyodo 50WP dùng để phòng trừ sâu bệnh trên những loại cây nào?","Kyodo 50WP được sử dụng để phòng trừ bọ trĩ, nhện đỏ, nhện trắng, rầy xanh, bọ xít, bọ hà trên các cây cam, quýt, chè, hoa hồng, nho, khoai và các loại rau màu. Thuốc cũng hiệu quả với nhện đỏ, bọ trĩ trên hoa các loại và sâu xanh, sâu tơ trên rau màu. Tuy nhiên, không được phun thuốc trên cây lúa.","thuoc_sau","kyodo_50wp|bo_tri|nhen_do|rau_mau|hoa|cam_quyt","Kyodo 50WP dùng cho cây gì? | Thuốc Kyodo 50WP có phòng trừ sâu bệnh nào trên hoa? | Có thể dùng Kyodo 50WP trên cây lúa không?"
kyodo_50wp_qa_01,"Kyodo 50WP có thể phun trên cây lúa được không?","Không, Kyodo 50WP không được khuyến cáo phun trên cây lúa để tránh gây hại cho cây. Người dùng cần lưu ý không sử dụng thuốc này trên lúa.","thuoc_sau","kyodo_50wp|khong_phun_lua|bao_ve_cay|thuoc_sau|luu_y","Kyodo 50WP có phun được trên lúa không? | Có lưu ý gì khi dùng Kyodo 50WP trên cây lúa? | Tại sao không nên phun Kyodo 50WP trên lúa?"
kyodo_50wp_qa_02,"Liều lượng và cách dùng Kyodo 50WP để phòng trừ sâu bệnh như thế nào?","Thông tin chi tiết về liều lượng và cách dùng Kyodo 50WP không được cung cấp trong mô tả. Tuy nhiên, thuốc được dùng để phun phòng trừ các loại sâu như bọ trĩ, nhện đỏ, nhện trắng, rầy xanh, bọ xít, bọ hà trên nhiều loại cây trồng. Người dùng nên tham khảo hướng dẫn sử dụng trên bao bì hoặc tư vấn kỹ thuật trước khi dùng để đảm bảo hiệu quả và an toàn.","thuoc_sau","kyodo_50wp|huong_dan_su_dung|bo_tri|nhen_do|bao_ve_cay","Cách dùng Kyodo 50WP như thế nào? | Liều lượng phun Kyodo 50WP ra sao? | Hướng dẫn sử dụng thuốc Kyodo 50WP?"
kyodo_50wp_qa_03,"Kyodo 50WP có tác dụng phòng trừ những loại sâu bệnh nào trên rau màu?","Kyodo 50WP có tác dụng phòng trừ sâu xanh, sâu tơ, nhện đỏ và bọ trĩ trên các loại rau màu, giúp bảo vệ cây trồng khỏi các loại sâu bệnh phổ biến gây hại.","thuoc_sau","kyodo_50wp|sau_xanh|sau_to|nhen_do|bo_tri|rau_mau","Kyodo 50WP phòng trừ sâu bệnh nào trên rau màu? | Thuốc Kyodo 50WP có hiệu quả với sâu xanh không? | Dùng Kyodo 50WP để diệt sâu tơ trên rau màu như thế nào?"
lama_50ec_chunk_01,"Sản phẩm Lama 50EC có thành phần và công dụng chính là gì?","Lama 50EC chứa hoạt chất Hexythiazox với nồng độ 50g/l, được đóng gói dưới dạng chai 100ml, 240ml và 480ml. Sản phẩm dùng để diệt nhện ba pha, trứng nhện, ấu trùng nhện và nhện trưởng thành, đặc biệt hiệu quả trên nhện gié ở lúa và nhện đỏ trên cam. Thuốc dạng EC nóng, không được phun vào giai đoạn mẫn cảm như ra hoa, đọt non, lá non và trái non. Lama 50EC có khả năng diệt tốt trứng và con non, đồng thời làm con cái nhện không đẻ được. Nên kết hợp với các thuốc khác như Abamectin, King Kha, Abinsec nhện, Kyodo, Buti, Bipimai để phòng trừ hiệu quả hơn.","thuoc_sau","hexythiazox|nhen|lua|cam|thuoc_sau|thuoc_bvtv","Lama 50EC là thuốc gì và dùng cho cây trồng nào? | Thành phần và công dụng của Lama 50EC là gì? | Lama 50EC có những lưu ý khi sử dụng không? | Thuốc Lama 50EC dùng để diệt loại sâu bệnh nào?"
lama_50ec_chunk_02,"Lama 50EC được sử dụng như thế nào và có những lưu ý quan trọng nào khi phun?","Lama 50EC nên được phun đúng liều lượng theo hướng dẫn, tránh phun vào giai đoạn cây mẫn cảm như ra hoa, đọt non, lá non và trái non để tránh gây hại cho cây trồng. Thuốc có dạng EC nóng nên cần lưu ý khi sử dụng. Để tăng hiệu quả phòng trừ nhện, nên kết hợp Lama 50EC với các thuốc khác như Abamectin hoặc King Kha, Abinsec nhện, Kyodo, Buti, Bipimai. Việc kết hợp giúp diệt trứng, con non và ngăn ngừa nhện sinh sản.","thuoc_sau","huong_dan_su_dung|luu_y|phun_thuoc|hexythiazox|nhen","Cách sử dụng Lama 50EC đúng cách là gì? | Những lưu ý khi phun Lama 50EC trên cây trồng? | Có nên kết hợp Lama 50EC với thuốc khác không? | Khi nào không nên phun Lama 50EC?"
lama_50ec_qa_01,"Lama 50EC dùng để diệt loại sâu bệnh nào trên cây trồng?","Lama 50EC chuyên dùng để diệt nhện ba pha, trứng nhện, ấu trùng nhện và nhện trưởng thành, đặc biệt hiệu quả trên nhện gié ở lúa và nhện đỏ trên cam.","thuoc_sau","nhen|lua|cam|hexythiazox|thuoc_sau","Lama 50EC diệt loại sâu bệnh nào? | Thuốc Lama 50EC có tác dụng trên sâu bệnh nào? | Lama 50EC dùng để phòng trừ nhện nào?"
lama_50ec_qa_02,"Có thể phun Lama 50EC vào giai đoạn nào của cây trồng?","Không nên phun Lama 50EC vào các giai đoạn mẫn cảm của cây như ra hoa, đọt non, lá non và trái non để tránh gây hại cho cây trồng.","thuoc_sau","luu_y|phun_thuoc|lua|cam|hexythiazox","Khi nào không nên phun Lama 50EC? | Giai đoạn cây nào không được phun Lama 50EC? | Có nên phun Lama 50EC khi cây ra hoa không?"
lama_50ec_qa_03,"Tại sao nên kết hợp Lama 50EC với các thuốc khác như Abamectin hoặc King Kha?","Việc kết hợp Lama 50EC với các thuốc như Abamectin hoặc King Kha giúp tăng hiệu quả phòng trừ nhện bằng cách diệt trứng, con non và làm con cái nhện không đẻ được, từ đó kiểm soát tốt hơn sự phát triển của nhện trên cây trồng.","thuoc_sau","ket_hop|phong_tru|nhen|hexythiazox|thuoc_sau","Tại sao cần kết hợp Lama 50EC với thuốc khác? | Lợi ích khi phối hợp Lama 50EC với Abamectin là gì? | Có nên dùng riêng Lama 50EC hay phối hợp với thuốc khác?"
ic_top_28_1sc_booc_dor_chunk_01,"Sản phẩm Ic top 28.1SC (BOOC DOR) là thuốc bảo vệ thực vật có thành phần và công dụng như thế nào?","Sản phẩm Ic top 28.1SC (BOOC DOR) của công ty BMC Việt Nam chứa hoạt chất hỗn hợp đồng và vôi, được đóng gói dưới dạng 1kg/gói hoặc 1kg/chai. Thuốc có công dụng chính là phòng trừ bệnh loét vi khuẩn trên cây cam và bệnh sương mai trên cây nho. Sản phẩm trừ tốt nhóm bệnh A, trung bình nhóm B và yếu nhóm O. Đây là sản phẩm hợp tác giữa công ty Tỷ Phúc Thịnh và đối tác Nhật Bản, cạnh tranh với sản phẩm của công ty BMC.","thuoc_tru_benh","ic_top_28_1sc|thuoc_tru_benh|dong|voi|cam|nho|loet_vi_khuan|suong_mai","Ic top 28.1SC dùng để làm gì? | Thành phần và công dụng của Ic top 28.1SC là gì? | Ic top 28.1SC có thể dùng cho cây nào? | Liều lượng và cách dùng Ic top 28.1SC ra sao?"
ic_top_28_1sc_booc_dor_chunk_02,"Ic top 28.1SC (BOOC DOR) dùng cho cây trồng nào và phòng trừ bệnh gì?","Ic top 28.1SC (BOOC DOR) được sử dụng cho cây cam để phòng trừ bệnh loét vi khuẩn và cho cây nho để phòng trừ bệnh sương mai. Thuốc có hiệu quả trừ tốt nhóm bệnh A, trung bình nhóm B và yếu nhóm O, giúp bảo vệ cây trồng khỏi các bệnh phổ biến trên hai loại cây này.","thuoc_tru_benh","cam|nho|loet_vi_khuan|suong_mai|thuoc_tru_benh|dong|voi","Ic top 28.1SC dùng cho cây gì? | Ic top 28.1SC phòng trừ bệnh nào trên cam và nho? | Thuốc Ic top 28.1SC có hiệu quả ra sao trên các nhóm bệnh?"
ic_top_28_1sc_booc_dor_qa_01,"Ic top 28.1SC (BOOC DOR) có những lưu ý gì khi sử dụng?","Khi sử dụng Ic top 28.1SC (BOOC DOR), người dùng cần chú ý liều lượng phù hợp theo hướng dẫn của nhà sản xuất. Không phun thuốc lên cây ngoài đối tượng cam và nho để tránh gây hại. Tránh phun thuốc vào giai đoạn cây đang ra hoa hoặc quả non để không ảnh hưởng đến năng suất và chất lượng. Ngoài ra, cần bảo hộ lao động đầy đủ khi pha trộn và phun thuốc để đảm bảo an toàn sức khỏe.","thuoc_tru_benh","luu_y|an_toan|cam|nho|thuoc_tru_benh|dong|voi","Những lưu ý khi dùng Ic top 28.1SC là gì? | Có cần bảo hộ khi phun Ic top 28.1SC không? | Có thể phun Ic top 28.1SC cho cây khác ngoài cam và nho không?"
ic_top_28_1sc_booc_dor_qa_02,"Quy cách đóng gói và cách sử dụng Ic top 28.1SC (BOOC DOR) như thế nào?","Ic top 28.1SC (BOOC DOR) được đóng gói dưới dạng 1kg/gói hoặc 1kg/chai thuận tiện cho việc sử dụng và bảo quản. Thuốc được pha theo liều lượng hướng dẫn, phun đều lên cây cam và nho để phòng trừ bệnh loét vi khuẩn và sương mai. Việc sử dụng đúng liều lượng và thời điểm phun sẽ giúp đạt hiệu quả cao nhất trong phòng trừ bệnh.","thuoc_tru_benh","quy_cach|cach_dung|cam|nho|thuoc_tru_benh|dong|voi","Ic top 28.1SC đóng gói thế nào? | Cách sử dụng Ic top 28.1SC ra sao? | Liều lượng phun Ic top 28.1SC cho cam và nho là bao nhiêu?"
ohayo_100sc_chunk_01,"Thuốc Ohayo 100SC có thành phần và công dụng chính là gì?","Ohayo 100SC là thuốc bảo vệ thực vật chứa hoạt chất Chlorfenapyr với nồng độ 100g/lít. Sản phẩm được đóng gói dưới dạng chai 22ml trục, 100ml và 240ml. Ohayo 100SC chuyên dùng để diệt trừ sâu tơ trên rau màu, sâu hành trên hành lá và sâu cuốn lá trên lúa. Thuốc có đặc điểm nổi bật là khả năng diệt trừ sâu và chích hút tổng hợp, giúp bảo vệ cây trồng hiệu quả.","thuoc_sau","ohayo_100sc|chlorfenapyr_100g_l|thuoc_sau|sau_to|sau_cuon_la|sau_hanh","Thuốc Ohayo 100SC dùng để làm gì? | Thành phần và công dụng của Ohayo 100SC là gì? | Thuốc Ohayo 100SC có những quy cách đóng gói nào?"
ohayo_100sc_chunk_02,"Ohayo 100SC dùng cho những loại sâu bệnh và cây trồng nào?","Ohayo 100SC được sử dụng để phòng trừ các loại sâu hại như sâu tơ trên rau màu, sâu hành trên hành lá và sâu cuốn lá trên cây lúa. Thuốc phù hợp cho các loại rau màu, hành lá và lúa, giúp kiểm soát hiệu quả các đối tượng sâu chích hút và cắn phá lá.","thuoc_sau","ohayo_100sc|sau_to|sau_hanh|sau_cuon_la|rau_mau|hanh_la|lua","Ohayo 100SC dùng cho cây trồng nào? | Thuốc Ohayo 100SC có tác dụng diệt sâu gì? | Ohayo 100SC có dùng được cho lúa không?"
ohayo_100sc_qa_01,"Liều lượng và cách dùng thuốc Ohayo 100SC như thế nào?","Thuốc Ohayo 100SC được sử dụng theo liều lượng và cách dùng phù hợp với từng loại cây trồng và sâu bệnh cụ thể. Người dùng nên pha thuốc theo hướng dẫn trên nhãn sản phẩm và phun đều lên cây trồng khi phát hiện sâu hại. Lưu ý không phun quá liều để tránh gây hại cho cây và môi trường.","thuoc_sau","ohayo_100sc|lieu_luong|cach_dung|phun_thuoc|thuoc_sau","Cách dùng thuốc Ohayo 100SC ra sao? | Liều lượng phun thuốc Ohayo 100SC như thế nào? | Hướng dẫn sử dụng Ohayo 100SC?"
ohayo_100sc_qa_02,"Những lưu ý an toàn khi sử dụng thuốc Ohayo 100SC là gì?","Khi sử dụng Ohayo 100SC, cần lưu ý thuốc có khả năng tiếp xúc và lưu dẫn mạnh, do đó người dùng phải mặc đồ bảo hộ, tránh tiếp xúc trực tiếp với thuốc. Không phun thuốc vào giai đoạn cây trồng đang ra hoa hoặc khi có ong mật hoạt động để tránh ảnh hưởng đến môi trường và các loài có ích.","thuoc_sau","ohayo_100sc|luu_y|bao_ho|an_toan|thuoc_sau|phun_thuoc","Những lưu ý khi dùng Ohayo 100SC? | Cần chú ý gì khi phun thuốc Ohayo 100SC? | An toàn khi sử dụng Ohayo 100SC như thế nào?"
koto_gold_240sc_chunk_01,"Thuốc BVTV Koto Gold 240SC có thành phần và công dụng chính là gì?","Koto Gold 240SC là thuốc trừ rầy thế hệ mới chứa hoạt chất Thiacloprid với nồng độ 240g/lít, được đóng gói dạng chai 100ml. Thuốc có tác dụng phòng trừ nhiều loại sâu bệnh trên các cây trồng như bọ phấn, bọ trĩ, rầy mềm trên dâu tây, dưa chuột, dưa hấu, hoa cúc, hoa đồng tiền, hoa hồng, rau họ thập tự, bắp cải, súp lơ, su hào; sâu lá, rầy mềm trên táo; sâu đục quả trên đậu tương; sâu đục thân, cuốn lá, bọ trĩ, rầy nâu trên lúa; bọ xít muỗi, rầy xanh trên trà; bọ róm trên tràm, thông, tùng; rệp sáp, mọt đục cành trên cà phê. Thuốc là lựa chọn thay thế cho sản phẩm Pexena của Syngenta.","thuoc_sau","koto_gold_240sc|thuoc_tru_ray|thiacloprid_240g|thuoc_sau|dau_tay|dua_hau|lua","Thuốc Koto Gold 240SC dùng để làm gì? | Thành phần chính của Koto Gold 240SC là gì? | Koto Gold 240SC có tác dụng trên cây trồng nào? | Quy cách đóng gói của Koto Gold 240SC là gì?"
koto_gold_240sc_chunk_02,"Koto Gold 240SC dùng để phòng trừ sâu bệnh trên những cây trồng nào?","Koto Gold 240SC được sử dụng để phòng trừ các loại sâu bệnh trên nhiều cây trồng như dâu tây, dưa chuột, dưa hấu, các loại hoa như hoa cúc, hoa đồng tiền, hoa hồng, rau họ thập tự, bắp cải, súp lơ, su hào, táo, đậu tương, lúa, trà, tràm, thông, tùng và cà phê. Thuốc đặc biệt hiệu quả với các đối tượng sâu bệnh như bọ phấn, bọ trĩ, rầy mềm, sâu lá, sâu đục quả, sâu đục thân, cuốn lá, rầy nâu, bọ xít muỗi, bọ róm, rệp sáp và mọt đục cành.","thuoc_sau","koto_gold_240sc|thuoc_tru_sau|dau_tay|lua|ca_phe|tra|hoa","Koto Gold 240SC có thể dùng cho cây cà phê không? | Thuốc Koto Gold 240SC phòng trừ sâu bệnh nào trên lúa? | Koto Gold 240SC dùng cho cây nào?"
koto_gold_240sc_qa_01,"Liều lượng và cách dùng thuốc Koto Gold 240SC như thế nào?","Liều lượng và cách dùng cụ thể của Koto Gold 240SC cần tuân thủ theo hướng dẫn trên nhãn sản phẩm hoặc khuyến cáo của cơ quan chuyên môn. Thông thường, thuốc được pha với nước theo tỷ lệ phù hợp để phun đều lên cây trồng nhằm phòng trừ các loại sâu bệnh mục tiêu như rầy mềm, bọ trĩ, sâu đục thân, bọ phấn,... Cần phun thuốc khi sâu bệnh mới xuất hiện hoặc ở giai đoạn đầu phát sinh để đạt hiệu quả cao nhất. Tránh phun thuốc vào giai đoạn cây trồng đang ra hoa hoặc các thời điểm không được phép để đảm bảo an toàn cho cây và môi trường.","thuoc_sau","koto_gold_240sc|huong_dan_su_dung|lieu_luong|cach_dung|thuoc_tru_sau","Cách sử dụng Koto Gold 240SC đúng cách là gì? | Liều lượng phun thuốc Koto Gold 240SC cho cây dâu tây? | Khi nào nên phun Koto Gold 240SC?"
koto_gold_240sc_qa_02,"Những lưu ý quan trọng khi sử dụng thuốc Koto Gold 240SC?","Khi sử dụng Koto Gold 240SC, cần lưu ý không phun thuốc vào giai đoạn cây trồng đang ra hoa để tránh ảnh hưởng đến quá trình thụ phấn và phát triển của cây. Tránh phun thuốc trong điều kiện thời tiết nắng gắt hoặc mưa to để đảm bảo hiệu quả thuốc. Ngoài ra, cần tuân thủ đúng liều lượng, thời gian cách ly trước thu hoạch và các biện pháp an toàn lao động khi sử dụng thuốc để bảo vệ sức khỏe người dùng và môi trường. Không sử dụng thuốc cho các cây trồng không được khuyến cáo trong hướng dẫn.","thuoc_sau","koto_gold_240sc|luu_y|an_toan|thuoc_tru_sau|thuoc_bvtv","Những điều cần lưu ý khi dùng Koto Gold 240SC? | Có nên phun Koto Gold 240SC khi cây đang ra hoa không? | An toàn khi sử dụng Koto Gold 240SC như thế nào?"
kyodo_25sc_gold_chunk_01,"Thuốc BVTV Kyodo 25SC Gold có thành phần và công dụng chính là gì?","Kyodo 25SC Gold chứa hoạt chất Diafenthiuron với nồng độ 250g/lít, được đóng gói dưới dạng chai 240ml và 480ml. Sản phẩm dùng để phòng trừ các loại nhện như nhện lông nhung, nhện đỏ, nhện vàng, cũng như sâu tơ, sâu xanh, sâu ăn lá, bọ phấn, rệp, rầy xanh, sâu khoang và bọ nhảy trên các cây trồng như vải, cam, chè, nhãn, bắp cải, hoa hồng, lạc, rau cải, cà tím, su hào. Sản phẩm không được phun trên lúa. Kyodo 25SC Gold có ưu điểm trừ được cả trứng nhện và hiệu quả cao hơn so với sản phẩm Kyodo thường.","thuoc_sau","kyodo_25sc_gold|diafenthiuron_250g_l|thuoc_sau|nhen|sau_an_la|trung_nhen","Kyodo 25SC Gold là thuốc trừ sâu gì? | Thành phần và công dụng của Kyodo 25SC Gold là gì? | Thuốc Kyodo 25SC Gold dùng cho cây trồng nào? | Kyodo 25SC Gold có đặc điểm gì nổi bật?"
kyodo_25sc_gold_chunk_02,"Kyodo 25SC Gold dùng để trừ sâu bệnh trên những cây trồng nào?","Sản phẩm Kyodo 25SC Gold được sử dụng để trừ nhện và sâu bệnh trên nhiều loại cây trồng gồm vải, cam, chè, nhãn, bắp cải, hoa hồng, lạc, rau cải, cà tím và su hào. Đây là thuốc chuyên dùng cho các loại cây ăn quả, rau màu và hoa, không sử dụng cho cây lúa.","thuoc_sau","kyodo_25sc_gold|cay_trong|nhen|sau_benh|thuoc_sau","Kyodo 25SC Gold dùng cho cây gì? | Thuốc Kyodo 25SC Gold có dùng được cho cây lúa không? | Các cây trồng phù hợp với Kyodo 25SC Gold là gì?"
kyodo_25sc_gold_qa_01,"Liều lượng và cách dùng Kyodo 25SC Gold như thế nào?","Kyodo 25SC Gold được đóng gói trong chai 240ml và 480ml, dùng phun trực tiếp lên cây trồng bị nhiễm nhện và sâu bệnh. Liều lượng và cách pha thuốc cần tuân thủ theo hướng dẫn trên nhãn sản phẩm hoặc theo khuyến cáo của chuyên gia để đạt hiệu quả tối ưu và đảm bảo an toàn. Không phun thuốc lên cây lúa để tránh gây hại.","thuoc_sau","kyodo_25sc_gold|lieu_luong|cach_dung|phun_thuoc|an_toan","Cách dùng Kyodo 25SC Gold ra sao? | Liều lượng phun Kyodo 25SC Gold là bao nhiêu? | Có cần lưu ý gì khi sử dụng Kyodo 25SC Gold không?"
kyodo_25sc_gold_qa_02,"Những lưu ý quan trọng khi sử dụng Kyodo 25SC Gold là gì?","Khi sử dụng Kyodo 25SC Gold cần lưu ý không phun thuốc lên cây lúa vì có thể gây hại. Sản phẩm có khả năng trừ được cả trứng nhện nên nên phun đúng thời điểm để đạt hiệu quả cao nhất. Ngoài ra, cần tuân thủ đúng liều lượng, thời gian cách ly và các hướng dẫn an toàn lao động để bảo vệ sức khỏe người sử dụng và môi trường.","thuoc_sau","kyodo_25sc_gold|luu_y|an_toan|khong_phun_lua|trung_nhen","Những lưu ý khi dùng Kyodo 25SC Gold là gì? | Có cần tránh phun thuốc lên cây nào không? | Làm sao để sử dụng Kyodo 25SC Gold an toàn?"
