id,question,answer,category,tags,alt_questions_v2
maruka_5ec_chunk_01,"Maruka 5EC là thuốc bảo vệ thực vật có thành phần và công dụng như thế nào?","Maruka 5EC là thuốc trừ cỏ chọn lọc có hoạt chất chính Quizalofop-P-Ethyl với nồng độ 50g/l. Sản phẩm được đóng gói dưới các quy cách 100ml, 450ml, 480ml, 900ml tùy nhà phân phối. Maruka 5EC chuyên dùng để trừ cỏ lá hẹp hậu nảy mầm sớm trong giai đoạn 5-20 ngày sau khi trồng trên các cây trồng lá rộng như đậu tương, lạc, sắn, vừng và các cây khác như khoai lang, gừng, nghệ, mè. Thuốc không trừ được cỏ lá rộng và không được phun trên cây lá hẹp như bắp, mía, lúa. Hiệu quả cao khi cỏ ở giai đoạn 2-4 lá. Lưu ý không phun trên ruộng bầu, bí, dưa khi cây còn dưới 7 lá thật.","thuoc_co","maruka_5ec|thuoc_co|co_la_hep|dau_tuong|lac|san|vung","Maruka 5EC là thuốc gì? | Thành phần và công dụng của Maruka 5EC là gì? | Maruka 5EC dùng để trừ cỏ trên cây nào? | Quy cách đóng gói của Maruka 5EC ra sao?"
maruka_5ec_chunk_02,"Maruka 5EC có những lưu ý quan trọng nào khi sử dụng?","Khi sử dụng Maruka 5EC cần lưu ý không phun thuốc lên các cây trồng lá hẹp như bắp, mía, lúa vì thuốc không phù hợp và có thể gây hại. Không phun trên ruộng bầu, bí, dưa khi cây còn dưới 7 lá thật để tránh ảnh hưởng đến cây trồng. Thuốc chỉ hiệu quả khi cỏ ở giai đoạn 2-4 lá và nên phun trong khoảng 5-20 ngày sau khi trồng để đạt hiệu quả tốt nhất.","thuoc_co","maruka_5ec|luu_y|an_toan|thuoc_co|co_la_hep","Những lưu ý khi dùng Maruka 5EC là gì? | Có nên phun Maruka 5EC trên cây bắp không? | Khi nào nên phun Maruka 5EC để đạt hiệu quả cao?"
maruka_5ec_qa_01,"Maruka 5EC dùng để trừ cỏ trên những loại cây trồng nào?","Maruka 5EC dùng để trừ cỏ lá hẹp trên các cây trồng lá rộng như đậu tương (đậu nành), lạc (đậu phộng), sắn (mì), vừng (mè), khoai lang, gừng, nghệ, mè và các cây trồng lá rộng khác. Thuốc không dùng cho cây lá hẹp như bắp, mía, lúa.","thuoc_co","maruka_5ec|dau_tuong|lac|san|vung|co_la_hep","Maruka 5EC trừ cỏ cho cây gì? | Cây nào không nên dùng Maruka 5EC? | Maruka 5EC có trừ được cỏ trên cây lúa không?"
maruka_5ec_qa_02,"Liều lượng và thời điểm phun Maruka 5EC như thế nào để đạt hiệu quả tốt?","Maruka 5EC nên được phun trong giai đoạn 5-20 ngày sau khi trồng, khi cỏ đang ở giai đoạn 2-4 lá để đạt hiệu quả trừ cỏ tốt nhất. Liều lượng cụ thể tùy theo hướng dẫn trên bao bì sản phẩm và tình trạng cỏ, tuy nhiên cần tuân thủ đúng để tránh gây hại cho cây trồng.","thuoc_co","maruka_5ec|lieu_luong|thoi_diem|phun_thuoc|co_la_hep","Khi nào nên phun Maruka 5EC? | Liều lượng phun Maruka 5EC là bao nhiêu? | Phun Maruka 5EC vào giai đoạn nào hiệu quả nhất?"
maruka_5ec_qa_03,"Maruka 5EC có thể dùng thay thế cho sản phẩm thuốc trừ cỏ nào trên thị trường?","Maruka 5EC có hoạt chất Quizalofop-P-Ethyl và được xem là sản phẩm dẫn đầu tại Việt Nam trong nhóm này, có thể dùng thay thế cho các sản phẩm đối thủ như Targa Super (Nissei Nhật) và Cariza (Nicotex).","thuoc_co","maruka_5ec|doi_thu|thuoc_co|targa_super|cariza","Maruka 5EC có sản phẩm đối thủ nào? | Maruka 5EC có thể thay thế thuốc trừ cỏ nào? | Thuốc tương tự Maruka 5EC là gì?"
many_800wp_vua_tr_c_ng_m_a_chunk_01,"Many 800WP là thuốc gì và có thành phần hoạt chất nào?","Many 800WP là thuốc bảo vệ thực vật dạng bột ướt (WP) chứa hoạt chất Atrazine với nồng độ 800g/kg. Sản phẩm được đóng gói dưới dạng bao nhỏ 100gr và 500gr, do công ty Tỷ Phúc Thịnh sản xuất.","thuoc_co","many_800wp|atrazine_800gkg|thuoc_co|thuoc_tru_co|ty_phuc_thinh","Many 800WP là thuốc gì? | Thành phần hoạt chất của Many 800WP là gì? | Thuốc Many 800WP có chứa hoạt chất nào?"
many_800wp_vua_tr_c_ng_m_a_chunk_02,"Many 800WP dùng để trừ loại cỏ nào và áp dụng cho cây trồng nào?","Many 800WP dùng để trừ cỏ chọn lọc, đặc biệt là cỏ lá rộng trên cây trồng lá hẹp như mía, bắp (ngô), dứa (khóm, thơm). Thuốc có tác dụng trừ cỏ hậu nảy mầm sớm trong giai đoạn 5-20 ngày sau khi gieo trồng.","thuoc_co","many_800wp|tr_c_co_la_rong|mia|ngo|dua|thuoc_co","Many 800WP dùng để trừ cỏ gì? | Thuốc Many 800WP dùng cho cây nào? | Many 800WP có tác dụng trên loại cỏ nào?"
many_800wp_vua_tr_c_ng_m_a_qa_01,"Cách sử dụng Many 800WP để đạt hiệu quả cao nhất?","Phun Many 800WP trước khi cỏ mọc (tiền nảy mầm) hoặc sau khi cỏ đã mọc nhưng còn nhỏ (hậu nảy mầm sớm). Trên ngô (bắp), phun ngay sau khi tỉa hạt, khi cỏ chưa mọc hoặc cỏ mới mọc 1-2 lá. Liều lượng và cách pha thuốc cần tuân thủ theo hướng dẫn trên bao bì để đạt hiệu quả tối ưu.","thuoc_co","many_800wp|huong_dan_su_dung|phun_thuoc|tr_c_co","Cách dùng Many 800WP như thế nào? | Khi nào nên phun Many 800WP? | Hướng dẫn sử dụng Many 800WP ra sao?"
many_800wp_vua_tr_c_ng_m_a_qa_02,"Những lưu ý quan trọng khi sử dụng Many 800WP?","Khi phun Many 800WP cần tránh để thuốc bay tạt sang các cây trồng mẫn cảm như đậu nành, đay. Không phun thuốc ngoài giai đoạn 5-20 ngày sau gieo trồng và không phun khi cỏ đã lớn. Đảm bảo phun thuốc đúng thời điểm tiền hoặc hậu nảy mầm sớm để đạt hiệu quả cao nhất.","thuoc_co","many_800wp|luu_y|an_toan|phun_thuoc|cay_trong_man_cam","Những lưu ý khi dùng Many 800WP là gì? | Có cần tránh phun thuốc lên cây nào không? | Lưu ý an toàn khi sử dụng Many 800WP?"
many_800wp_vua_tr_c_ng_m_a_qa_03,"Many 800WP có thể phun trên cây ngô (bắp) khi nào?","Many 800WP có thể phun trên cây ngô ngay sau khi tỉa hạt, khi cỏ chưa mọc hoặc cỏ mới mọc 1-2 lá để đạt hiệu quả trừ cỏ tốt nhất. Không nên phun khi cỏ đã lớn hoặc ngoài giai đoạn 5-20 ngày sau gieo trồng.","thuoc_co","many_800wp|phun_tren_ngo|thoi_diem_phun|tr_c_co","Khi nào phun Many 800WP trên ngô? | Có thể phun Many 800WP trên bắp lúc nào? | Thời điểm phun Many 800WP cho cây ngô là gì?"
