id,question,answer,category,tags,alt_questions
1,mục lục vật tư phụ,I.Bộ chai II.Thùng III.Nhãn + màng + túi,chai,,mục lục vật tư phụ là gì?
2,phân biệt cấu tạo chai,1. CHAI PET (IMG_KEY: chai-pet) 2. CHAI HDPE (IMG_KEY: chai-hdpe) 3. CHAI 3 LỚP (IMG_KEY: chai-3-lop) 4. CHAI NHÔM (hinh chai-nhom),chai,HDPE|NHOM|NHÔM|PET,phân biệt cấu tạo chai là gì?
3,bộ chai,1. Bộ chai dùng chung 2. Chai đặt riêng cho khách 3. Chai khách hàng mang tới,chai,,bộ chai là gì?
4,bộ chai dùng chung,1. Bộ 3 lớp 2. Bộ pet vàng 3. Bộ pet tròn trắng 4. Bộ pet vuông 5. Bộ pet đóng cỏ 6. Bộ HD xám 7. Một số mã chai lẻ khác,chai,PET,bộ chai dùng chung là gì?
5,bộ 3 lớp,1. Chai 30-02 (IMG_KEY: chai-30-02) 2. Chai 100-04 (IMG_KEY: chai-100-04) 3. Chai TEEN (IMG_KEY: chai-teen) 4. Chai Asmil (IMG_KEY: chai-asmil),chai,,bộ 3 lớp là gì?
6,cha30-02,"(IMG_KEY: chai-30-02) - Chai 30-02 (Chai vuông trắng đục 30ml phi 22, nắp đỏ) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU30-01 + HO30-01 - 100 chai / hộp; 500 chai / thùng - Đóng được Gone super và các loại EC dung môi mạnh",chai,30ml|EC|SC|SL|dung_môi_mạnh,cha30-02 là gì? | thông tin chi tiết về cha30-02
7,cha100-04,"(IMG_KEY: chai-100-04) - Chai 100-04 (Chai tròn trắng 100ml 3 lớp, phi 22, nắp vàng) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU100-04 - 100 chai / thùng - Đóng được Gone super và các loại EC dung môi mạnh",chai,100ml|EC|SC|SL|dung_môi_mạnh,cha100-04 là gì? | thông tin chi tiết về cha100-04
8,cha240-teen," (IMG_KEY: CHA240-TEEN) - Chai 240-TEEN (Chai tròn trắng 240ml 3 lớp, phi 45, nắp xanh dương) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU240-TEEN, THU240-02 kích thước, đóng gói 2 tầng đối với nhãn không phải Teen Super - 40 chai / thùng (đóng 2 tầng) - Đóng được Gone super, Bretil Super (KQ kiểm tra PTN 0 5.09.2024) và các loại EC dung môi mạnh",chai,240ml|EC|SC|SL|dung_môi_mạnh|kiểm_tra,cha240-teen là gì? | thông tin chi tiết về cha240-teen
9,cha240-asmil," (IMG_KEY: CHA240-ASMIL) - Chai 240-ASMIL (Chai tròn trắng 240ml 3 lớp, phi 45, nắp màu tím) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU240-ASMIL, THU240-02 kích thước, đóng 2 tầng đối với nhãn không phải Asmilka Top - 40 chai / thùng (đóng 2 tầng) - Đóng được Gone super, Bretil Super (KQ kiểm tra PTN 0 5.09.2024) và các loại EC dung môi mạnh",chai,240ml|EC|SC|SL|dung_môi_mạnh|kiểm_tra,cha240-asmil là gì? | thông tin chi tiết về cha240-asmil
10,cha240-teen,"NHÃN CHAI GONE SUPER 350EC (TEEN SUPER) - 240ML - AGRISHOP (CHAI 3 LỚP TRẮNG 240-TEEN (NẮP XANH DƯƠNG)) - Chai 240-TEEN (chai tròn trắng 240ml 3 lớp, phi 45, nắp xanh dương) - Đóng được tất cả các sản phẩm dạng : SC; EC; SL - THU240-TEEN (Thùng riêng) - 40 CHAI/ THÙNG - Đóng được Gone super, Bretil Super (KQ ktra PTN  5.09.24 ) và các loại EC dung môi mạnh (IMG_KEY: CHA240-TEEN) (IMG_KEY: nhan-THU240-TEEN)",chai,240ml|EC|SC|SL|dung_môi_mạnh,cha240-teen là gì? | thông tin chi tiết về cha240-teen
11,cha240-asmil,"NHÃN CHAI AFENZOLE 325SC (ASMILKA TOP) - 240ML - DELTA THỤY SĨ (CHAI 3 LỚP TRẮNG 240-ASMIL (NẮP TÍM)) - Chai 240-ASMIL (chai tròn trắng 240ml 3 lớp, phi 45, nắp màu tím) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU240-ASMIL (thùng riêng) - 40 CHAI/ THÙNG  - Đóng được Gone super, Bretil Super ( KQ ktra PTN  5.09.24 ) và các loại EC dung môi mạnh (IMG_KEY: CHA240-ASMIL) (IMG_KEY: nhan-THU240-ASMIL)",chai,240ml|EC|SC|SL|dung_môi_mạnh,cha240-asmil là gì? | thông tin chi tiết về cha240-asmil
12,chai 240-teen và 240-asmil,GIỐNG NHAU VỀ LOẠI CHAI 3 LỚP – MÀU SẮC CHAI- CHỈ KHÁC MÀU NẮP - (IMG_KEY: chai-CHA240-TEEN)  - (IMG_KEY: chai-CHA240-ASMIL),chai,,chai 240-teen và 240-asmil là gì?
13,bộ pet vàng,1. Chai pet 100-14 (IMG_KEY: chai-pet-vang-100-14) 2. Chai 3 lớp 240-06 (IMG_KEY: chai-pet-vang-3-lop-240-06) 3. Chai 240-HELP (IMG_KEY: chai-pet-vang-240-HELP) 4. Chai 480-04 (IMG_KEY: chai-pet-vang-480-04) 5. Chai Pet 1000-09 (IMG_KEY: chai-pet-vang-1000-09),chai,PET,bộ pet vàng là gì?
14,cha100-14,"- (IMG_KEY: chai-pet-vang-100-14) - Chai 100-14 (Chai tròn vàng 100ml pet, phi 38, nắp trắng) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU100-14 - 100 chai  / thùng - Có thể đóng được các loại EC dung môi mạnh. Với Gone Super muốn đóng cần test chai lại",chai,100ml|EC|PET|SC|SL|dung_môi_mạnh,cha100-14 là gì? | thông tin chi tiết về cha100-14
15,cha240-06,"- (IMG_KEY: chai-pet-vang-3-lop-240-06) - Chai 240-06 (Chai tròn vàng 240ml 3 lớp, phi 35, nắp trắng, cốc đong 20ml) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU240-06 - 40 chai  / thùng - Đóng được Gone Super và các loại EC dung môi mạnh",chai,20ml|240ml|EC|PET|SC|SL|dung_môi_mạnh,cha240-06 là gì? | thông tin chi tiết về cha240-06
16,cha480-04,"- (IMG_KEY: chai-pet-vang-480-04) - Chai 480-04 (Chai tròn vàng 480ml pet, phi 38, nắp trắng) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU480-04 - 30 chai  / thùng - Có thể đóng được các loại EC dung môi mạnh. Với Gone Super muốn đóng cần test chai lại",chai,480ml|EC|PET|SC|SL|dung_môi_mạnh,cha480-04 là gì? | thông tin chi tiết về cha480-04
17,cha1000-09,"- (IMG_KEY: chai-pet-vang-1000-09) - Chai 1000-09 (Chai tròn vàng 1 lit pet, phi 50, nắp trắng) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU1000-03 - 20 chai  / thùng - Có thể đóng được các loại EC dung môi mạnh. Với Gone Super muốn đóng cần test chai lại",chai,1lit|EC|PET|SC|SL|dung_môi_mạnh,cha1000-09 là gì? | thông tin chi tiết về cha1000-09
18,cha240-help,"- (IMG_KEY: chai-pet-vang-240-HELP) - Chai 240-HELP (Chai pet tròn vàng 240ml pet (46gr), phi 43, nắp màu xanh ngọc bích, cốc đong) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU240-06 - 40 chai  / thùng - Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL - Chai chưa test SP > Cần test lại khi đóng hàng",chai,240ml|EC|PET|SC|SL,cha240-help là gì? | thông tin chi tiết về cha240-help
19,bộ pet tròn trắng,1. Chai CHA100-03 (IMG_KEY: chai-pet-tron-trang-100-03) 2. Chai CHA240-04 (IMG_KEY: chai-pet-tron-trang-240-04) 3. Chai CHA480-01 (IMG_KEY: chai-pet-tron-trang-480-01) 4. Chai CHA480-09 (IMG_KEY: chai-pet-tron-trang-480-09) 5. Chai CHA480-10 (IMG_KEY: chai-pet-tron-trang-480-10) 6. Chai CHA480-12 (IMG_KEY: chai-pet-tron-trang-480-12) 7. Chai CHA1000-03 (IMG_KEY: chai-pet-tron-trang-1000-03),chai,PET,bộ pet tròn trắng là gì?
20,cha100-03,"- (IMG_KEY: chai-pet-tron-trang-100-03) - Chai 100-03 (Chai tròn trắng 100ml pet, phi 44, nắp đỏ) - Đóng được tất cả các dạng EC; SC; SL - THU100-03 - 100 chai / thùng - Không nên đóng Gone Super, Kajio 5EC (siêu rẻ và gold), Arriphos, Forsan, Forgon, Cythrin, Betaway, hoạt chất Profenofos, Abinsec gold, Gardona 250SL",chai,100ml|EC|PET|SC|SL,cha100-03 là gì? | thông tin chi tiết về cha100-03
