id,question,answer,category,tags,alt_questions,img_keys
1,Vật tư phụ gồm những đầu mục nào?,I.Bộ chai II.Thùng III.Nhãn + màng + túi,chai,,cho tôi biết nhừng đầu mục của vật tư phụ?,
2,phân biệt cấu tạo chai,1. CHAI PET 2. CHAI HDPE 3. CHAI 3 LỚP 4. CHAI NHÔM (hinh chai-nhom),chai,HDPE|NHOM|NHÔM|PET,phân biệt cấu tạo chai là gì?,chai-pet|chai-hdpe|chai-3-lop
3,bộ chai gồm những loại nào,1. Bộ chai dùng chung 2. Chai đặt riêng cho khách 3. Chai khách hàng mang tới,chai,,thông tin về bộ chai?,
4,bộ chai dùng chung bao gồm những bộ nào,1. Bộ 3 lớp 2. Bộ pet vàng 3. Bộ pet tròn trắng 4. Bộ pet vuông 5. Bộ pet đóng cỏ 6. Bộ HD xám 7. Một số mã chai lẻ khác,chai,PET,bộ chai dùng chung có những mục nào?,
5,bộ chai 3 lớp gồm những chai nào,1. Chai 30-02 2. Chai 100-04 3. Chai TEEN 4. Chai Asmil,chai,,toàn bộ thông tin về bộ chai 3 lớp?,chai-30-02|chai-100-04|chai-teen|chai-asmil
CHA30-02,Chai 30-02 là gì và dùng để đóng những sản phẩm nào?,"Chai 30-02 là chai vuông trắng ĐỰC dung tích 30 ml, phi 22, nắp đỏ. Được dùng để đóng tất cả các sản phẩm dạng SC, EC, SL. Quy cách: THU30-01 + HO30-01; 100 chai/hộp, 500 chai/thùng. Ứng dụng: đóng Gone Super và các loại EC dung môi mạnh.",chai,PET,"Chai 30ml phi 22 dùng cho sản phẩm nào?|Cấu tạo chai 30-02?|Chai 30-02 phù hợp cho thuốc EC hay SC?",chai-30-02
CHA100-04,Chai 100-04 có đặc điểm gì và đóng được sản phẩm nào?,"Chai 100-04 là chai tròn trắng dung tích 100 ml, cấu trúc 3 lớp, phi 22, nắp vàng. Dùng để đóng các sản phẩm SC, EC, SL. Quy cách: THU100-04; 100 chai/thùng. Ứng dụng: đóng Gone Super và các loại EC dung môi mạnh.",chai,PET|HDPE,"Chai 100ml 3 lớp dùng cho thuốc nào?|Chai 100-04 có ưu điểm gì?|Nhận diện chai 100-04 như thế nào?",chai-100-04
CHA240-TEEN,Chai 240-TEEN có thông số và ứng dụng ra sao?,"Chai 240-TEEN là chai tròn trắng dung tích 240 ml, cấu trúc 3 lớp, phi 45, nắp xanh dương. Dùng cho các sản phẩm dạng SC, EC, SL. Quy cách: THU240-TEEN THU240-02; đóng 40 chai/thùng (đóng 2 tầng). Ứng dụng: đóng Gone Super, Bretil Super (KQ kiểm tra PTN 5.09.24) và các loại EC dung môi mạnh.",chai,PET|HDPE,"Chai TEEN khác gì chai ASMIL?|Chai 240ml nắp xanh dùng cho thuốc nào?|Cấu tạo chai 240-TEEN ra sao?",CHA240-TEEN
CHA240-ASMIL,Chai 240-ASMIL được dùng cho sản phẩm nào và có cấu tạo như thế nào?,"Chai 240-ASMIL là chai tròn trắng 240 ml, cấu trúc 3 lớp, phi 45, nắp màu tím. Dùng cho các sản phẩm SC, EC, SL. Quy cách: THU240-ASMIL THU240-02; đóng 40 chai/thùng (đóng 2 tầng). Ứng dụng: Gone Super, Bretil Super (KQ kiểm tra PTN 5.09.24) và các loại EC dung môi mạnh.",chai,PET|HDPE,"Chai ASMIL khác chai TEEN ở điểm nào?|Chai 240ml nắp tím dùng cho thuốc nào?|Chai ASMIL có bao nhiêu lớp?",CHA240-ASMIL
10,nhãn của chai cha240-teen,"NHÃN CHAI GONE SUPER 350EC (TEEN SUPER) - 240ML - AGRISHOP (CHAI 3 LỚP TRẮNG 240-TEEN (NẮP XANH DƯƠNG)) - Chai 240-TEEN (chai tròn trắng 240ml 3 lớp, phi 45, nắp xanh dương) - Đóng được tất cả các sản phẩm dạng : SC; EC; SL - THU240-TEEN (Thùng riêng) - 40 CHAI/ THÙNG - Đóng được Gone super, Bretil Super (KQ ktra PTN 5.09.24 ) và các loại EC dung môi mạnh",nhãn,240ml|EC|SC|SL|dung_môi_mạnh,nhãn của chai cha240-teen là gì? | thông tin chi tiết về nhãn của chai cha240-teen,CHA240-TEEN|nhan-THU240-TEEN
11,nhãn của chai cha240-asmil,"NHÃN CHAI AFENZOLE 325SC (ASMILKA TOP) - 240ML - DELTA THỤY SĨ (CHAI 3 LỚP TRẮNG 240-ASMIL (NẮP TÍM)) - Chai 240-ASMIL (chai tròn trắng 240ml 3 lớp, phi 45, nắp màu tím) - Đóng được tất cả các sản phẩm dạng: SC; EC; SL - THU240-ASMIL (thùng riêng) - 40 CHAI/ THÙNG - Đóng được Gone super, Bretil Super ( KQ ktra PTN 5.09.24 ) và các loại EC dung môi mạnh",chai,240ml|EC|SC|SL|dung_môi_mạnh,nhãn của chai cha240-asmil là gì? | thông tin chi tiết về nhãn của chai cha240-asmil,CHA240-ASMIL|nhan-THU240-ASMIL
