id,question,answer,category,tags,alt_questions,img_keys
Maruka,Maruka 5EC,"Nhóm sản phẩm: Thuốc trừ cỏ. Các tên / nhãn tương đương: Maruka 5EC. Hoạt chất: Quizalofop-P-ethyl 50g/lít, Phụ gia đặc biệt 950g/lít. Nhóm thuốc: Thuốc trừ cỏ. Hãng sản xuất: Anhui Fengle Agrochemical Co., Ltd. Đặc tính – công dụng: Maruka 5EC là thuốc trừ cỏ chọn lọc, nội hấp, hậu nảy mầm sớm, tác động lên đỉnh sinh trưởng và rễ của cỏ dại làm cho cỏ dại không tổng hợp được acid amin. Diệt trừ được các loại cỏ lá hẹp mọc từ hạt thuộc nhóm hòa bản, lúa rài trong ruộng khoai tây, khoai lang, lạc, đậu tương, đậu xanh, bông vải, súp lơ, cải bắp, khoai mì (sắn).. Đối tượng: Khoai tây, khoai lang, đậu tương, lạc, đậu xanh, khoai môn, súp lơ, cải bắp, vừng, khoai mì (sắn).. Phạm vi: Cỏ đuôi phụng, lúa rài, cỏ chỉ, cỏ mần trầu, cỏ lông công, cỏ lồng vực.. Liều dùng – cách pha – lượng nước: 0.8 - 1.2 lít/ha. Pha 35ml/bình 16 lít. Pha 50-70ml/bình 25 lít. Phun 400-500 lít nước/ha.. Thời điểm – hiệu lực: Phun sau khi gieo trồng được 10-15 ngày (cỏ 2 - 3 lá), nếu quá thời gian trên (khi cỏ 5 - 6 lá) phải tăng liều dùng hoặc dùng thuốc khác.. Lưu ý an toàn: Không phun thuốc khi có gió to hoặc sắp có mưa to. Không phun thuốc vào ruộng cây họ bầu, bí, dưa ở giai đoạn ít hơn 7 lá thật. Không sử dụng trên cây trồng lá hẹp như: bắp, lúa, mía.. Trường hợp cỏ già: Nếu cỏ 5 - 6 lá phải tăng liều dùng hoặc dùng thuốc khác.. Kinh nghiệm phối trộn: 1. Maruka 5EC + Bpsaco 500EC (Hoạt chất: Acetochlor 500g/lít) - Liều lượng: Maruka 40ml + Bpsaco 40ml/bình 16 lít. Maruka 70ml + Bpsaco 50ml/bình 25 lít. Phun 500-750 lít nước/ha. 2. Maruka 5EC + Whip 6.5EC (Hoạt chất: Fenoxaprop-P-Ethyl 65g/lít) - Liều lượng: Maruka 40ml + Bpsaco 15ml/bình 16 lít. Maruka 70ml + Bpsaco 20ml/bình 25 lít. Phun 500-750 lít nước/ha.",Thuốc BVTV,"group:herbicide, alias:maruka-5ec, ai:quizalofop-p-ethyl, ai_rate:50g/lít, type:herbicide","[""Thông tin về Maruka 5EC"", ""Cách sử dụng Maruka 5EC"", ""Maruka 5EC có tác dụng gì?"", ""Liều dùng của Maruka 5EC là bao nhiêu?"", ""Maruka 5EC có an toàn không?"", ""Maruka 5EC và Bpsaco 500EC phối trộn như thế nào?"", ""Maruka 5EC có thể dùng cho cây nào?"", ""Maruka 5EC có diệt được cỏ nào?""]",
Laoton,Laoton 108EC,"Nhóm sản phẩm: Thuốc trừ cỏ. Các tên / nhãn tương đương: Laoton 108EC. Hoạt chất: Haloxyfop-p-methyl: 108g/l - Special Additives: 892g/l. Nhóm thuốc: Thuốc trừ cỏ chọn lọc. Hãng sản xuất: Hailir Pesticides and Chemicals Group Co., Ltd.. Đặc tính – công dụng: Haloxyfop-P-methyl là thuốc trừ cỏ chọn lọc, được hấp thụ bởi lá và rễ, thủy phân thành haloxyfop-P chuyển đến các mô phân sinh gây ức chế sự phát triển của chúng. Haloxyfop-P-methyl được sử dụng trừ cỏ hằng năm và lâu năm trên lạc (đậu phộng), sắn (khoai mì), đậu nành (đậu tương).. Đối tượng: Lạc (đậu phộng), Sắn (khoai mì), Đậu nành (đậu tương), Khoai lang, hành lá. Phạm vi: Cỏ hòa thảo, cỏ gạo, mần trầu, cỏ bông, cỏ chỉ, cỏ đuôi phụng.... Liều dùng – cách pha – lượng nước: Lượng thuốc 0,8 lít/ha. Pha từ 50 - 70ml/bình 20 lít. Phun 3 bình cho 1000m². Lượng nước phun từ 400-600 lít/ha.. Thời điểm – hiệu lực: Phun sau khi gieo từ 5-10 ngày, khi cây từ 1-3 lá, cây trồng sẽ phục hồi lại sau phun 1 thời gian ngắn.. Lưu ý an toàn: Hành lá bền rễ tốt mới cho xịt. Phun thuốc khi cỏ còn nhỏ, từ 1-3 lá, không phun cho các cây trồng khác. Thời gian cách ly: Không xác định.",herbicide,group:herbicide; alias:laoton-108ec; ai:haloxyfop-p-methyl; ai_rate:108g/l; type:herbicide,"[""Thông tin về Laoton 108EC"", ""Cách sử dụng Laoton 108EC"", ""Laoton 108EC có tác dụng gì?"", ""Liều dùng của Laoton 108EC là bao nhiêu?"", ""Laoton 108EC có an toàn không?"", ""Hãng sản xuất Laoton 108EC là ai?"", ""Laoton 108EC dùng để trừ cỏ nào?"", ""Hướng dẫn pha Laoton 108EC""]",
Gardona,Gardona 250SL,"Nhóm sản phẩm: Thuốc trừ cỏ. Các tên / nhãn tương đương: Gardona 250SL. Hoạt chất: Fomesafen 250g/L - Special Additives: 750g/l. Nhóm thuốc: Thuốc trừ cỏ. Hãng sản xuất: Dengfeng Jinbo Pesticde Chemical Co., Ltd.. Đặc tính – công dụng: Thuốc trừ cỏ Gardona 250SL là thuốc trừ cỏ thế hệ mới, tiên tiến. Thuốc được hấp thu nhanh qua lá, thân, rễ cỏ vào mô thực vật làm mất diệp lục, phá hủy màng tế bào khiến cỏ bị héo và chết. Thuốc diệt trừ hữu hiệu các loại cỏ lá rộng như: Cỏ hôi (lông hôi), mắc cỡ (cây xấu hổ), rau sam, chua me, dền gai, cỏ cúc, chó đẻ, tầm bóp... Sau khi phun, lá cây trồng có thể bị táp hoặc xoăn, cây sẽ phục hồi lại, ra lá mới bình thường sau 5 - 7 ngày. Không ảnh hưởng tới năng suất cây trồng.. Đối tượng: Cây trồng: Đậu nành (đậu tương), đậu phộng (lạc), củ đậu, khoai mì (sắn). Cỏ hại: Mắc cỡ (cây xấu hổ), rau sam, cỏ cúc, cỏ hôi (lông hôi), chó đẻ, chua me, dền gai, tầm bóp.... Phạm vi: Không xác định.. Liều dùng – cách pha – lượng nước: 1.0 lít/ha, pha 25 - 30 ml/bình 20 lít. Lượng nước phun 400 - 600 lít/ha. Phun sau khi gieo, trồng 10-15 ngày, khi cỏ từ 2 - 3 lá.. Thời điểm – hiệu lực: Phun sau khi gieo, trồng 10-15 ngày, khi cỏ từ 2 - 3 lá.. Lưu ý an toàn: Riêng với khoai mì, bà con nên dùng béc phun chùm, xịt tập trung phía dưới gốc mì. Hạn chế xịt lên ngọn. Lá cây có thể bị táp khi dính thuốc. Lá mới, lộc non sẽ ra lại sau 5 - 7 ngày. Khi phun, có thể kết hợp với thuốc trừ cỏ Maruka hoặc Laoton để tăng cường hiệu quả phòng trừ cỏ dại lá hẹp. Không phun thuốc cho các cây trồng khác nếu chưa thử. Trước khi phun cần làm ẩm nền đất, phun khi trời mát, không có mưa.. Trường hợp cỏ già: Không có.. Kinh nghiệm phối trộn: Không có.",Pesticide,"group:herbicide, alias:gardona-250sl, ai:fomesafen, ai_rate:250g/L, type:herbicide","[""Thông tin về Gardona 250SL"", ""Cách sử dụng Gardona 250SL"", ""Gardona 250SL có tác dụng gì?"", ""Liều dùng của Gardona 250SL là bao nhiêu?"", ""Gardona 250SL có an toàn cho cây trồng không?"", ""Hãng sản xuất Gardona 250SL là ai?"", ""Gardona 250SL có thể diệt cỏ nào?"", ""Lưu ý khi sử dụng Gardona 250SL là gì?""]",
Dusan,Dusan 240EC,"Nhóm sản phẩm: Thuốc trừ cỏ. Các tên / nhãn tương đương: Dusan 240EC. Hoạt chất: Lactofen 240g/L + Special additives 760g/L. Nhóm thuốc: Thuốc trừ cỏ. Hãng sản xuất: Dengfeng Jinbo Pesticde Chemical Co., Ltd.. Đặc tính – công dụng: Thuốc trừ cỏ Dusan 240EC là thuốc trừ cỏ thế hệ mới, tiên tiến. Thuốc được hấp thu nhanh qua lá, thân, rễ cỏ vào mô thực vật làm mất diệp lục, phá hủy màng tế bào khiến cỏ bị héo và chết. Thuốc diệt trừ hữu hiệu các loại cỏ lá rộng như: Cỏ hôi (lông hôi), mắc cỡ (cây xấu hổ), rau sam, chua me, dền gai, cỏ cúc, chó đẻ, tầm bóp... Sau khi phun, lá cây trồng có thể bị táp hoặc xoăn, cây sẽ phục hồi lại, ra lá mới bình thường sau 5 - 7 ngày. Không ảnh hưởng tới năng suất cây trồng.. Đối tượng: Cây trồng: Đậu nành (đậu tương), đậu phộng (lạc), củ đậu, khoai mì (sắn). Cỏ hại: Mắc cỡ (cây xấu hổ), rau sam, cỏ cúc, cỏ hôi (lông hôi), chó đẻ, chua me, dền gai, tầm bóp.... Phạm vi: Không xác định.. Liều dùng – cách pha – lượng nước: 0.3 - 0.4 lít/ha, pha 15-20ml/bình 20 lít. Lượng nước phun 400-600 lít/ha.. Thời điểm – hiệu lực: Phun sau khi gieo, trồng 10-15 ngày, khi cỏ từ 2 - 3 lá.. Lưu ý an toàn: Riêng với khoai mì, bà con nên dùng béc phun chùm, xịt tập trung phía dưới gốc mì. Hạn chế xịt lên ngọn. Lá cây có thể bị táp khi dính thuốc. Lá mới, lộc non sẽ ra lại sau 5 - 7 ngày. Khi phun, có thể kết hợp với thuốc trừ cỏ Maruka hoặc Laoton để tăng cường hiệu quả phòng trừ cỏ dại lá hẹp. Không phun thuốc cho các cây trồng khác nếu chưa thử. Trước khi phun cần làm ẩm nền đất, phun khi trời mát, không có mưa.. Thời gian cách ly: Không xác định.",Pesticide,"group:herbicide, alias:dusan-240ec, ai:lactofen, ai_rate:240g/L, type:herbicide","[""Thông tin về Dusan 240EC"", ""Cách sử dụng Dusan 240EC"", ""Dusan 240EC có tác dụng gì?"", ""Liều lượng Dusan 240EC là bao nhiêu?"", ""Dusan 240EC có an toàn không?"", ""Hãng sản xuất Dusan 240EC là ai?"", ""Dusan 240EC có thể diệt cỏ nào?"", ""Hướng dẫn pha Dusan 240EC""]",
AMESIP,AMESIP 80WP - Voi Rừng,"Nhóm sản phẩm: Thuốc diệt cỏ. Các tên / nhãn tương đương: AMESIP 80WP - Voi Rừng. Hoạt chất: Ametryn 80% w/w - Phụ gia đặc biệt 20% w/w. Nhóm thuốc: Thuốc diệt cỏ. Hãng sản xuất: Forward (Beihai) Hepu Pesticide Co., Ltd.. Đặc tính – công dụng: Sản phẩm là thuốc chọn lọc, phổ tác dụng rộng, có tác dụng tiếp xúc nội hấp và lưu dẫn mạnh. Thuốc diệt cỏ ở giai đoạn tiền nảy mầm và hậu nảy mầm sớm, các loại cỏ hằng niên và đa niên, lá rộng và lá hẹp thường xuất hiện trên ruộng mía, thơm (dứa), thanh long như: Cỏ mần trầu, đuôi phụng, lông vực, cỏ đuôi chồn, dền gai, rau sam, cỏ chắc lác.... Đối tượng: Cây trồng: Mía. Phạm vi: Cỏ hại: Cỏ mần trầu, đuôi phụng, lồng vực, cỏ đuôi chồn, dền gai, rau sam, cỏ chác lác.... Liều dùng – cách pha – lượng nước: Liều lượng: 3.0 - 5.0 kg/ha. Pha 100 - 150g cho bình 18 lít nước.. Thời điểm – hiệu lực: Lưu ý: Lượng nước phun từ 400 - 600 lít/ha. Phun thuốc trãi đều, không phun trực tiếp vào ngọn mía, ngô, dứa. Giữ đất có độ ẩm trước và sau khi phun thuốc. Thời gian cách ly: 45 ngày sau khi phun.",Pesticide,"group:herbicide, alias:amesip-80wp-voi-rung, ai:ametryn, ai_rate:80%, type:herbicide","[""Thông tin về AMESIP 80WP - Voi Rừng"", ""Cách sử dụng AMESIP 80WP - Voi Rừng"", ""Liều lượng AMESIP 80WP - Voi Rừng"", ""Đặc tính của AMESIP 80WP - Voi Rừng"", ""Hãng sản xuất AMESIP 80WP - Voi Rừng"", ""Cỏ hại của AMESIP 80WP - Voi Rừng"", ""Thời gian cách ly của AMESIP 80WP - Voi Rừng"", ""Hướng dẫn pha AMESIP 80WP - Voi Rừng""]",
DURONG,DURONG 800WP,"Nhóm sản phẩm: Thuốc trừ cỏ. Các tên / nhãn tương đương: DURONG 800WP. Hoạt chất: Diuron 80% w/w - Phụ gia đặc biệt 20% w/w. Nhóm thuốc: Thuốc trừ cỏ. Hãng sản xuất: Jingma Chemicals Co., Ltd. Đặc tính – công dụng: DURONG 800WP là thuốc trừ cỏ tác động nội hấp và chọn lọc, diệt trừ các loại cỏ lá hẹp và lá rộng trên ruộng mía, bông vải, cà phê, khoai mì (sắn) như: Cỏ lá rộng, cỏ hòa thảo, mần trầu, cỏ túc, cỏ ống, cỏ chân gà, dền gai, rau sam, mắc cỡ... DURONG 800WP chủ yếu trừ cỏ trước khi mọc (tiền nảy mầm) hoặc cỏ mới mọc, còn nhỏ có từ 1-2 lá. DURONG 800WP có hiệu quả diệt cỏ kéo dài nên làm giảm chi phí diệt cỏ.. Đối tượng: Cây trồng: Mía, Ngô (bắp). Phạm vi: Cỏ hại: Cỏ lá rộng, cỏ hòa thảo. Liều dùng – cách pha – lượng nước: Liều lượng: 3.5 kg/ha. Pha 40g/bình 12-16 lít nước. Phun 600 - 800 lít nước/ha. Phun thuốc sau khi gieo hạt bông 1-2 ngày. Tránh phun trực tiếp.. Thời điểm – hiệu lực: Nên phun trước khi cỏ mọc hay khi cỏ còn nhỏ (có 1-2 lá) hiệu quả trừ cỏ sẽ cao. Nếu phun khi mía đã mọc, tránh phun trực tiếp vào ngọn mía. Khi phun thuốc đất càng ẩm càng tốt, nếu đất khô cần tưới ẩm trước khi phun.. Lưu ý an toàn: Thời gian cách ly: Không xác định.",herbicide,group:herbicide; alias:durong-800wp; ai:diuron; ai_rate:80%; type:herbicide,"[""Thông tin về DURONG 800WP"", ""Cách sử dụng DURONG 800WP"", ""DURONG 800WP có tác dụng gì?"", ""Liều lượng sử dụng DURONG 800WP"", ""DURONG 800WP có an toàn không?"", ""Hướng dẫn pha DURONG 800WP"", ""DURONG 800WP có hiệu quả với loại cỏ nào?"", ""Thời gian cách ly của DURONG 800WP là bao lâu?""]",
Many,Many 800WP,"Nhóm sản phẩm: Thuốc trừ cỏ. Các tên / nhãn tương đương: Many 800WP. Hoạt chất: Atrazine 800g/kg - Phụ gia đặc biệt 200g/kg. Nhóm thuốc: Thuốc trừ cỏ. Hãng sản xuất: Jinan Kesai Agrochem Co., Ltd. Đặc tính – công dụng: Many 800WP là thuốc trừ cỏ hậu nảy mầm “cỏ mới mọc được 2-3 lá”. Thuốc tác động trên mầm cỏ, lá cỏ và rễ cỏ làm cho cây cỏ không tổng hợp được acid amin. Many 800WP trừ được nhiều nhóm cỏ hòa bản như: Cỏ chỉ, cỏ mực, cỏ chân vịt, cỏ lông vực, cỏ mần trầu..., cỏ lá rộng như: dền gai, rau sam... trên dứa (khóm, thơm), mía, ngô.... Đối tượng: Dứa (khóm, thơm), Mía, Ngô (bắp). Phạm vi: Cỏ chỉ, cỏ mực, cỏ chân vịt, cỏ lông vực, cỏ mần trầu, dền gai, rau sam.... Liều dùng – cách pha – lượng nước: 1 - 2 kg/ha. Pha 50 - 100g/bình 16 - 20 lít. Phun khi cỏ chưa mọc hoặc đang mọc (cỏ non). Lượng nước phun từ 400 - 500 lít nước/ha.. Thời điểm – hiệu lực: Phun sau khi gieo trồng được 5 – 15 ngày, nếu quá thời gian trên (khi cỏ có 5-6 lá) phải tăng liều dùng.. Lưu ý an toàn: Không phun thuốc khi có gió to hoặc sắp có mưa lớn. Không để thuốc bay vào lúa, rau cải, ngũ cốc, măng tây, đậu nành, đậu phộng, đậu xanh, đay, khoai tây.... Thời gian cách ly: Không xác định.",herbicide,group:herbicide; alias:many-800wp; ai:Atrazine; ai_rate:800g/kg; type:herbicide,"[""Thông tin về Many 800WP"", ""Cách sử dụng Many 800WP"", ""Many 800WP có tác dụng gì?"", ""Liều dùng của Many 800WP là bao nhiêu?"", ""Many 800WP có an toàn không?"", ""Hãng sản xuất Many 800WP là ai?"", ""Many 800WP dùng cho cây gì?"", ""Nên phun Many 800WP khi nào?""]",
vua_co_ngo,Vua Cỏ Ngô,"Nhóm sản phẩm: Thuốc trừ cỏ. Các tên / nhãn tương đương: Vua Cỏ Ngô. Hoạt chất: Tembotrione 8%w/w (80g/kg). Nhóm thuốc: Thuốc trừ cỏ. Hãng sản xuất: Anhui JiuYi Agriculture Co., Ltd.. Đặc tính – công dụng: Tembotrione là hoạt chất thuốc trừ cỏ trên ngô, mía thế hệ mới nhất hiện nay. Là thế hệ sau của thuốc trừ cỏ Mesotrione. Tembotrione làm mất diệp lục xanh, khiến cỏ bạc trắng nhanh - chết sạch gọn. Thuốc an toàn cho ngô, mía. Thuốc hấp thu qua lá, diệt cỏ bằng cách ức chế tổng hợp sắc tố, làm cỏ vàng trắng và chết dần; an toàn cho cây ngô khi dùng đúng liều lượng. Diệt trừ hiệu quả các loại cỏ lá rộng và cỏ lá hẹp trên ruộng ngô/mía, như cỏ lồng vực, cỏ mần trầu, cỏ chỉ, cỏ lác, cỏ cứt lợn…. Đối tượng: Ngô, mía. Phạm vi: Cỏ dại. Liều dùng – cách pha – lượng nước: Pha 35-40ml/20L nước. Thời điểm – hiệu lực: Phun xịt thuốc vào lúc sáng sớm hoặc chiều mát.. Lưu ý an toàn: Thời gian cách ly: Không xác định. Hạn chế xịt vào nõn và lá non của bắp (ngô)/cây mía. Không xịt khi trời nắng nóng.",herbicide,group:herbicide; alias:vua-co-ngo; ai:tembotrione; ai_rate:8%; type:herbicide,"[""Thông tin về Vua Cỏ Ngô"", ""Cách sử dụng Vua Cỏ Ngô"", ""Vua Cỏ Ngô có tác dụng gì?"", ""Liều dùng của Vua Cỏ Ngô là bao nhiêu?"", ""Vua Cỏ Ngô có an toàn cho ngô không?"", ""Hãng sản xuất Vua Cỏ Ngô là ai?"", ""Vua Cỏ Ngô diệt cỏ nào hiệu quả?"", ""Hướng dẫn sử dụng Vua Cỏ Ngô""]",
Topmesi,Topmesi 40SC,"Nhóm sản phẩm: Thuốc trừ cỏ. Các tên / nhãn tương đương: Topmesi 40SC. Hoạt chất: Topramezone 3%w/w (30g/kg), Terbuthylazine 37%w/w (370g/kg). Nhóm thuốc: Thuốc trừ cỏ. Hãng sản xuất: Shandong Sinomey Co., Ltd.. Đặc tính – công dụng: Bộ đôi Topramezone + Terbuthylazine là “chuẩn mực vàng” mới, hiệu quả nhất hiện nay trong các loại thuốc trừ cỏ bắp, mía. Sự kết hợp hoàn hảo của 2 hạt chất hậu nảy mầm, giúp diệt trừ các loại cỏ lá rộng, lá hẹp kháng thuốc: diệt nhanh - sâu - bền. Topramezone “tắt đèn” diệp lục khiến cỏ bạc trắng, ngừng sinh trưởng chỉ sau vài ngày, trong khi Terbuthylazine tạo lớp khiên bảo vệ ruộng, vườn khỏi mầm cỏ từ 4-6 tuần. Topmesi rất an toàn với bắp, mía.. Đối tượng: Cây trồng: Ngô, mía; Cỏ hại: Cỏ dại. Phạm vi: Không xác định. Liều dùng – cách pha – lượng nước: Pha 35-40ml/20L nước. Thời điểm – hiệu lực: Nên phun xịt thuốc vào lúc sáng sớm hoặc chiều mát. Thuốc phun xịt hiệu quả cao nhất khi cỏ nhỏ, dưới 4-5 lá.. Lưu ý an toàn: Thời gian cách ly: Không xác định; Không xịt khi trời nắng nóng; Hạn chế phun xịt vào nõn và lá non của bắp (ngô).",herbicide,"group:herbicide, alias:topmesi-40sc, ai:topramezone, ai_rate:3%w/w, type:herbicide","[""Thông tin về Topmesi 40SC"", ""Cách sử dụng Topmesi 40SC"", ""Topmesi 40SC có tác dụng gì?"", ""Liều dùng của Topmesi 40SC là bao nhiêu?"", ""Topmesi 40SC có an toàn cho cây trồng không?"", ""Hãng sản xuất Topmesi 40SC là ai?"", ""Topmesi 40SC có những hoạt chất nào?"", ""Topmesi 40SC có hiệu lực trong bao lâu?""]",
Abinsec,"Abinsec 1.8EC, OxaTIr1 1.8EC","Nhóm sản phẩm: Thuốc trừ sâu. Các tên / nhãn tương đương: OxaTIr1 1.8EC. Hoạt chất: Abamectin 1.8% w/w + Phụ gia đặc biệt vừa đủ 1 lít. Nhóm thuốc: Thuốc trừ sâu. Hãng sản xuất: Shandong Weifang Rainbow Chemical Co., Ltd.. Đặc tính – công dụng: Abinsec 1.8EC chứa hoạt chất Avermectin B1a, B1b (Abamectin) là thuốc có cơ chế tiếp xúc, nội hấp và lưu dẫn mạnh. Đặc trị nhiều loại sâu rầy như: Sâu cuốn lá, sâu xanh, bọ trĩ, sâu vẽ bùa, nhện đỏ, rầy xanh, rầy mềm, sâu đục thân, dòi đục quả, ốc bươu vàng, bọ phấn... trên nhiều cây trồng khác nhau.. Đối tượng: Cây trồng: Dâu tây, dưa chuột, dưa hấu, hoa cúc, hoa đồng tiền, hoa hồng, rau họ thập tự (bắp cải, súp lơ, su hào), táo, trà (chè), lúa, thông, tùng.. Phạm vi: Sâu hại: Bọ phấn, bọ trĩ, dòi đục lá, rầy mềm, nhện đỏ, nhện trắng, sâu đục thân, bọ cánh tơ, rầy xanh, sâu cuốn lá, ốc bươu vàng, sâu róm.. Liều dùng – cách pha – lượng nước: Pha 15-20ml/bình 25 lít cho cây non, cây trồng trong nhà kính; Pha 30-50ml/bình 25 lít cho lúa. Lượng nước phun từ 400 - 500 lít/ha.. Thời điểm – hiệu lực: Phun thuốc ướt đều lá khi sâu mới nở, sâu còn nhỏ (tuổi 1 - 2).. Lưu ý an toàn: Thời gian cách ly 7 ngày. Không phun thuốc khi có gió lớn hoặc trời sắp mưa to. Giảm thuốc khi pha cho cây non (cây còn nhỏ).. Trường hợp cỏ già: Không có thông tin.. Kinh nghiệm phối trộn: Không có thông tin.",Thuốc BVTV,"group:herbicide, alias:abinsec, alias:oxatir1, ai:abamectin, ai_rate:1.8%, type:insecticide","[""Thông tin về Abinsec 1.8EC"", ""Cách sử dụng OxaTIr1 1.8EC"", ""Abamectin 1.8% w/w trong Abinsec 1.8EC"", ""Đặc tính của OxaTIr1 1.8EC"", ""Liều dùng cho Abinsec 1.8EC"", ""Hãng sản xuất OxaTIr1 1.8EC"", ""Công dụng của Abinsec 1.8EC"", ""Sâu hại nào được điều trị bởi OxaTIr1 1.8EC""]",
