id,question,answer,category,tags,alt_questions,img_keys
Probicol,Probicol 200WP,"Nhóm sản phẩm: Thuốc BVTV. Các tên / nhãn tương đương: Probicol 200WP. Hoạt chất: Bismerthiazol 190 g/kg, Kasugamycin 10 g/kg, Special additives 800 g/kg. Nhóm thuốc: Fungicide. Hãng sản xuất: Guangxi Hui Feng Biotechnology Co., Ltd.. Đặc tính – công dụng: Probicol 200WP chứa 2 hoạt chất Bisomerthiazol và Kasugamycin có tác động nội hấp mạnh. Phòng trừ được các loại nấm bệnh do vi khuẩn gây hại cây trồng như: Bạc lá, vàng lá, loét vi khuẩn, thán thư, đốm nâu, đốm đen, phấn trắng, rỉ sắt, sương mai, héo rủ, thối gốc vi khuẩn, nấm hồng.. Đối tượng: Lúa, Cam, Bắp cải, Cà chua, Hành, Đậu tương, Khoai lang, Ớt, Hoa hồng, Cà phê, Xoài. Phạm vi: Thối gốc vi khuẩn, Bạc lá (cháy bìa lá), Loét vi khuẩn, Thối đen, Thối nhũn, Đốm lá vi khuẩn, Héo rủ, Héo xanh, Phấn trắng, Thán thư, Nấm hồng, Đốm đen, Xì mủ. Liều dùng – cách pha – lượng nước: Phun 1.0 - 1.2kg/ha (40 - 50g/bình 20 lít nước). Thời điểm – hiệu lực: Phun thuốc khi vết bệnh chớm xuất hiện, tỷ lệ bệnh khoảng 5 - 10%. Thời gian cách ly: 10 ngày trước khi thu hoạch.. Lưu ý an toàn: Không phun thuốc khi có gió lớn hoặc trời sắp mưa to.",Thuốc BVTV,"group:fungicide, alias:probicol-200wp, ai:bismerthiazol, ai_rate:190 g/kg, type:fungicide","[""Thông tin về Probicol 200WP"", ""Cách sử dụng Probicol 200WP"", ""Probicol 200WP có tác dụng gì?"", ""Liều dùng của Probicol 200WP là bao nhiêu?"", ""Probicol 200WP phòng trừ bệnh gì?"", ""Hãng sản xuất của Probicol 200WP là ai?"", ""Probicol 200WP có những hoạt chất nào?"", ""Lưu ý khi sử dụng Probicol 200WP""]",
Xiexie,Xiexie 200WP ANH HÙNG KHUẨN,"Nhóm sản phẩm: Thuốc trừ nấm bệnh do vi khuẩn. Các tên / nhãn tương đương: Xiexie 200WP ANH HÙNG KHUẨN. Hoạt chất: Bismerthiazol (Sai ku zuo) 200g/kg - Special additives 800g/kg. Nhóm thuốc: Thuốc trừ nấm. Hãng sản xuất: Shenzhen Dehao Pesticides Co., Ltd. Đặc tính – công dụng: Xiexie 200WP là thuốc trừ nấm bệnh do vi khuẩn, có tác động nội hấp mạnh. Thuốc được dùng phòng trừ các loại bệnh do vi khuẩn gây hại cây trồng như: Bạc lá, vàng lá, loét vi khuẩn, thán thư, đốm nâu, đốm đen, phấn trắng, rỉ sắt, sương mai, héo rủ,.... Đối tượng: Lúa, Cam, chanh, Bắp cải, xoài, Cải, cà chua, hành, sầu riêng, đậu tương (đậu nành), Khoai lang, ớt, dưa hấu, dưa lưới, dưa leo, Hoa hồng. Phạm vi: Thối gốc vi khuẩn, Bạc lá (cháy bìa lá), Loét vi khuẩn, ghẻ, Thối đen, thối nhũn, Đốm lá vi khuẩn, Héo rủ, héo xanh, Phấn trắng, Đốm đen, xì mủ. Liều dùng – cách pha – lượng nước: Phun 1.5kg/ha (Pha 30 - 50g/bình 20 lít nước). Lượng nước phun từ 500 lít/ha.. Thời điểm – hiệu lực: Phun thuốc khi vết bệnh chớm xuất hiện. Thời điểm: Phun vào sáng sớm hoặc chiều mát để đạt hiệu quả cao.. Lưu ý an toàn: Không phun khi trời sắp mưa to hoặc khi có gió lớn. Thời gian cách ly: 7 ngày sau khi phun.",Pesticides,"group:fungicide, alias:xiexie-200wp-anh-hung-khuan, ai:bismerthiazol, ai_rate:200g/kg, type:fungicide","[""Thông tin về Xiexie 200WP ANH HÙNG KHUẨN"", ""Cách sử dụng Xiexie 200WP ANH HÙNG KHUẨN"", ""Xiexie 200WP ANH HÙNG KHUẨN có tác dụng gì?"", ""Liều dùng của Xiexie 200WP ANH HÙNG KHUẨN là bao nhiêu?"", ""Xiexie 200WP ANH HÙNG KHUẨN có an toàn không?"", ""Hướng dẫn sử dụng Xiexie 200WP ANH HÙNG KHUẨN"", ""Xiexie 200WP ANH HÙNG KHUẨN phòng trừ bệnh gì?"", ""Thông tin về hoạt chất trong Xiexie 200WP ANH HÙNG KHUẨN""]",
Emycin,Emycin 4WP,"Nhóm sản phẩm: Thuốc trừ nấm bệnh vi khuẩn. Các tên / nhãn tương đương: Emycin 4WP. Hoạt chất: Zhongshengmycin 2%w/w - Kasugamycin 2%w/w. Nhóm thuốc: Thuốc trừ nấm. Hãng sản xuất: Fujian Kaili Bio-product Co., Ltd. Đặc tính – công dụng: Emycin 4WP là thuốc trừ nấm bệnh vi khuẩn được kết hợp giữa 2 hoạt chất Zhongshengmycin và Kasugamycin, thuốc ức chế quá trình tổng hợp protein của vi khuẩn, ngăn chặn sự hình thành và sự phát triển của chúng. Emycin 4WP dùng điều trị bệnh do nấm bệnh vi khuẩn như: Bạc lá lúa, cháy bìa lá, thối nhũn, đốm lá vi khuẩn, ghẻ sẹo trên cam, quýt, bưởi và nhiều cây trồng khác. Đối tượng: Lúa, Cam, Bắp cải, Cải, Cà chua, Hành, Sầu riêng, Đậu tương, Khoai lang, Ớt, Hoa hồng, Xoài. Phạm vi: Thối gốc vi khuẩn, Bạc lá (cháy bìa lá), Loét vi khuẩn, Ghẻ sẹo, Thối đen, Thối nhũn, Đốm lá vi khuẩn, Héo rủ, Héo xanh, Phấn trắng, Đốm đen, Xì mủ. Liều dùng – cách pha – lượng nước: 2.0kg/ha hoặc 0.3%. (Pha 40-50g/bình 20 lít nước). Lượng nước phun: 400-800 lít/ha. Thời điểm – hiệu lực: Phun thuốc 2 lần cách nhau 7 ngày, lần đầu khi bệnh mới xuất hiện, tỷ lệ bệnh khoảng 5-7%. Lưu ý an toàn: Phun vào lúc sáng sớm hoặc chiều mát lúc trời không có gió và mưa to. Thời gian cách ly: 3 ngày sau khi phun.",Thuốc BVTV,"group:herbicide, alias:emysin-4wp, ai:Zhongshengmycin, ai_rate:2%w/w;Kasugamycin, ai_rate:2%w/w, type:fungicide","[""Thông tin về Emycin 4WP"", ""Cách sử dụng Emycin 4WP"", ""Emycin 4WP có tác dụng gì?"", ""Liều dùng của Emycin 4WP là bao nhiêu?"", ""Emycin 4WP dùng cho cây gì?"", ""Emycin 4WP có những hoạt chất nào?"", ""Hãng sản xuất Emycin 4WP là ai?"", ""Emycin 4WP có lưu ý gì khi sử dụng?""]",
Cocosieu,Cocosieu 15.5WP,"Nhóm sản phẩm: Thuốc trừ bệnh. Các tên / nhãn tương đương: Cocosieu 15.5WP. Hoạt chất: Triadimefon 9.3%w.w, Jingangmycin(Validamycin) 6.2%w/w. Nhóm thuốc: Thuốc trừ bệnh. Hãng sản xuất: Zhejiang Pinghu Pestricide Factory. Đặc tính – công dụng: Sản phẩm là thuốc trừ bệnh phổ tác dụng rộng. Vừa diệt nấm vừa trừ khuẩn! Bảo vệ toàn diện cây trồng. Đặt trị nhiều loại nấm bệnh trên nhiều cây trồng như: Phấn trắng/ hoa hồng; đạo ôn, khô vằn/ lúa; thối nhũn, cháy lá do vi khuẩn/ bắp cải; khô đầu lá/ hành; đốm nâu, đốm vòng, thán thư/ ớt; sương mai/ dưa leo; rỉ sắt, nấm cóc/ hoa cúc; rỉ sắt/ cà phê; nấm lông chuột (mốc xám)/ dâu tây, cà chua; đốm lá/ cà chua; thối rễ, héo rũ cây con/ đậu phộng,.... Đối tượng: Hoa hồng, lúa, bắp cải, hành, ớt, dưa leo, hoa cúc, cà phê, dâu tây, cà chua, đậu phộng,.... Phạm vi: Phấn trắng, đạo ôn, khô vằn, thối nhũn, cháy lá do vi khuẩn, khô đầu lá, đốm nâu, đốm vòng, thán thư, sương mai, rỉ sắt, nấm cóc, nấm lông chuột (mốc xám), đốm lá, thối rễ, héo rũ cây con.. Liều dùng – cách pha – lượng nước: Sử dụng 0.24%. Pha 24 - 30g/bình 20 lít nước.. Thời điểm – hiệu lực: Phun thuốc khi bệnh mới xuất hiện, tỷ lệ bệnh khoảng 5 - 6%. Phun vào lúc sáng sớm hoặc chiều mát lúc trời không có gió và mưa to.. Lưu ý an toàn: Lượng nước phun từ 600 - 800 lít/ha. Thời gian cách ly: 7 ngày sau khi phun.",Thuốc BVTV,"group:herbicide, alias:cocosieu-15-5wp, ai:triadimefon,jingangmycin, ai_rate:9.3%,6.2%, type:fungicide","[""Thông tin về Cocosieu 15.5WP"", ""Cách sử dụng Cocosieu 15.5WP"", ""Cocosieu 15.5WP có tác dụng gì?"", ""Liều dùng của Cocosieu 15.5WP là bao nhiêu?"", ""Cocosieu 15.5WP có những hoạt chất nào?"", ""Cocosieu 15.5WP được sản xuất bởi hãng nào?"", ""Cocosieu 15.5WP có thể dùng cho cây nào?"", ""Những bệnh nào có thể trị bằng Cocosieu 15.5WP?""]",
NAKANO,NAKANO 50WP,"Nhóm sản phẩm: Thuốc trừ bệnh. Các tên / nhãn tương đương: NAKANO 50WP. Hoạt chất: Dithianon 50%w/w - Special additives 50%w/w. Nhóm thuốc: Thuốc trừ bệnh. Hãng sản xuất: Hailir Pesticides and Chemicals Group Co., Ltd. Đặc tính – công dụng: Dithianon là hoạt chất trừ bệnh thế hệ mới, dạng tiếp xúc, thấm sâu thuộc nhóm Quinone. Thuốc có phổ phòng bệnh rộng, ít gây kháng thuốc nhờ cơ chế đa điểm. Thuốc bám tốt trên bề mặt lá và trái, hiệu quả phòng bệnh trên lá và trái cây cực kỳ tốt. Dithianon ức chế nhiều quá trình sinh lý của tế bào nấm (đa điểm), giúp phòng ngừa hiệu quả các bệnh như: Ghẻ sẹo, sương mai, thán thư, đốm lá,.... Đối tượng: Lạc (đậu phộng), rau cải, khoai tây, hoa hồng, dưa leo, cà phê, ớt, dâu tây, dưa hấu, cam, quýt, bưởi, xoài. Phạm vi: Đốm lá, sương mai, ghẻ sẹo, nám quả. Liều dùng – cách pha – lượng nước: 1.5 kg/ha. Pha từ 10 - 20g/Thán thư bình 20 lít nước. Lượng nước phun từ 400 - 600 lít/ha.. Thời điểm – hiệu lực: Phun thuốc khi bệnh mới xuất hiện, tỷ lệ bệnh khoảng 5%. Phun vào lúc sáng sớm hoặc chiều mát để đạt hiệu quả cao nhất.. Lưu ý an toàn: Thời gian cách ly: 14 ngày sau khi phun.",Pesticides,group:herbicide; alias:nakano-50wp; ai:dithianon; ai_rate:50%; type:fungicide,"[""Thông tin về NAKANO 50WP"", ""Cách sử dụng NAKANO 50WP"", ""NAKANO 50WP có tác dụng gì?"", ""Liều dùng của NAKANO 50WP là bao nhiêu?"", ""NAKANO 50WP có an toàn không?"", ""NAKANO 50WP dùng cho cây gì?"", ""Hãng sản xuất NAKANO 50WP là ai?"", ""NAKANO 50WP có những bệnh nào được phòng ngừa?""]",
SANTOSO,SANTOSO 100SC CHIM SÂU,"Nhóm sản phẩm: Thuốc diệt côn trùng tổng hợp. Các tên / nhãn tương đương: SANTOSO 100SC. Hoạt chất: Alpha Cypermethrin 10%w/v - Phụ gia đặc biệt 90%w/v. Nhóm thuốc: Insecticide. Hãng sản xuất: Modern Insecticides Limited (Ấn Độ). Đặc tính – công dụng: SANTOSO 100SC là thuốc diệt côn trùng tổng hợp, có cơ chế tiếp xúc vị độc, xông hơi, thấm sâu nhanh, hoạt chất ức chế thần kinh làm cho côn trùng ngừng thở và chết nhanh, hiệu quả nhanh chóng hiệu lực kéo dài. Diệt trừ các loại côn trùng gây hại. Đối tượng: Lúa, Cà phê, Hồ tiêu, Sắn, Điều, Lạc, Khoai lang, Đậu tương, Cây ăn trái. Phạm vi: Sâu hại: Sâu phao, sâu đục bẹ, bọ trĩ, bọ xít, sâu cuốn lá, sâu đục thân, Rệp sáp, kiến, mối, Bọ phấn trắng, Bọ xít muỗi, Sâu khoang, Sâu đục quả, Ruồi vàng. Liều dùng – cách pha – lượng nước: Pha 10-30ml cho bình 18 lít nước. Thời điểm – hiệu lực: Vào sáng sớm hoặc chiều mát để đạt hiệu quả cao. Lưu ý an toàn: Không phun khi trời sắp mưa to hoặc khi có gió lớn.",Pesticide,"group:insecticide, alias:santoso-100sc, ai:Alpha Cypermethrin, ai_rate:10%w/v, type:insecticide","[""Thông tin về SANTOSO 100SC CHIM SÂU"", ""Cách sử dụng SANTOSO 100SC"", ""SANTOSO 100SC có tác dụng gì?"", ""Liều dùng của SANTOSO 100SC là gì?"", ""SANTOSO 100SC diệt côn trùng nào?"", ""Hãng sản xuất SANTOSO 100SC là ai?"", ""SANTOSO 100SC có an toàn không?"", ""Hướng dẫn pha SANTOSO 100SC""]",
TAMIKO,TAMIKO 50EC Tổ chim sâu,"Nhóm sản phẩm: Thuốc diệt côn trùng tổng hợp. Các tên / nhãn tương đương: TAMIKO 50EC. Hoạt chất: Permethrin 50% w/v. Nhóm thuốc: Diệt côn trùng. Hãng sản xuất: Mordern Insecticides Limited (Ấn Độ). Đặc tính – công dụng: TAMIKO 50EC là thuốc diệt côn trùng tổng hợp, có cơ chế tiếp xúc, vị độc, xông hơi, thấm sâu nhanh, hoạt chất ức chế thần kinh làm cho côn trùng ngừng thở và chết nhanh, hiệu quả nhanh chóng hiệu lực kéo dài. Đối tượng: Cây trồng như lúa, cà phê, đậu tương, lạc, mía, điều, bắp (ngô). Phạm vi: Sâu hại như sâu đục thân, sâu keo, sâu cuốn lá, sâu phao, bọ trĩ, rầy nâu, mọt đục cành, rệp sáp, sâu khoang, sâu xanh, sâu đục quả, dòi đục lá, sâu róm, bọ xít muỗi, sâu keo mùa thu. Liều dùng – cách pha – lượng nước: Pha 10-20ml cho bình 18 lít nước. Thời điểm – hiệu lực: Phun vào sáng sớm hoặc chiều mát để đạt hiệu quả cao. Lưu ý an toàn: Không phun khi trời sắp mưa to hoặc khi có gió lớn.",Thuốc BVTV,group:insecticide; alias:tamiko-50ec; ai:permethrin; ai_rate:50%; type:insecticide,"[""Thông tin về TAMIKO 50EC Tổ chim sâu"", ""Cách sử dụng TAMIKO 50EC Tổ chim sâu"", ""TAMIKO 50EC Tổ chim sâu có tác dụng gì?"", ""Liều dùng của TAMIKO 50EC Tổ chim sâu"", ""TAMIKO 50EC Tổ chim sâu có an toàn không?"", ""Hướng dẫn sử dụng TAMIKO 50EC Tổ chim sâu"", ""TAMIKO 50EC Tổ chim sâu diệt những loại sâu nào?"", ""TAMIKO 50EC Tổ chim sâu có hiệu lực trong bao lâu?""]",
PHONIX_DRAGON,PHONIX DRAGON 20EC,"Nhóm sản phẩm: Thuốc diệt côn trùng tổng hợp. Các tên / nhãn tương đương: PHONIX DRAGON 20EC. Hoạt chất: Phoxim 18.5%w/w - Beta-Cypermethrin 1.5%w/w. Nhóm thuốc: Insecticide. Hãng sản xuất: Shanghai E-Tong Chemical Co. Đặc tính – công dụng: Phonix Dragon 20EC là thuốc diệt côn trùng tổng hợp có cơ chế tiếp xúc, vị độc, xông hơi, thấm sâu nhanh, hoạt chất ức chế thần kinh làm cho côn trùng ngạt, ngừng thở và chết nhanh. Đối tượng: Lúa, Lạc, Cà phê, Cây ăn trái. Phạm vi: Rầy lưng trắng, bọ trĩ, sâu cuốn lá, rầy nâu, sâu đục thân, bọ xít, sâu khoang, rệp sáp, ruồi vàng. Liều dùng – cách pha – lượng nước: Pha 30-50ml cho bình 20 lít. Thời điểm – hiệu lực: Phun xịt ướt đều hoặc tưới để đạt hiệu quả cao. Lưu ý an toàn: Không phun khi trời sắp mưa to hoặc khi có gió lớn.",Insecticide,"group:insecticide, alias:phonix-dragon-20ec, ai:phoxim, ai_rate:18.5%w/w - beta-cypermethrin 1.5%w/w, type:insecticide","[""Thông tin về PHONIX DRAGON 20EC"", ""Cách sử dụng PHONIX DRAGON 20EC"", ""PHONIX DRAGON 20EC có tác dụng gì?"", ""Liều dùng của PHONIX DRAGON 20EC là gì?"", ""PHONIX DRAGON 20EC có an toàn không?"", ""Hướng dẫn sử dụng PHONIX DRAGON 20EC"", ""PHONIX DRAGON 20EC có hiệu quả với sâu nào?"", ""PHONIX DRAGON 20EC được sản xuất bởi hãng nào?""]",
Wusso,Wusso,"Nhóm sản phẩm: Thuốc diệt côn trùng tổng hợp. Các tên / nhãn tương đương: Wusso. Hoạt chất: Chlorpyrifos Methyl 40%w/v - Phụ gia đặc biệt vừa đủ. Nhóm thuốc: Diệt côn trùng. Hãng sản xuất: Hemani Industries Ltd. Đặc tính – công dụng: Hoạt chất Chlorpyrifos Methyl là thuốc diệt côn trùng tổng hợp có cơ chế tiếp xúc, vị độc, xông hơi, thấm sâu nhanh, hoạt chất ức chế thần kinh làm cho côn trùng ngạt, ngừng thở và chết nhanh. Đối tượng: Cây trồng: Lúa, cà phê, ngô, đậu tương, khoai lang, lạc, hành, chè, cam. Phạm vi: Sâu hại: Sâu đục thân, ve sầu, sâu xanh da láng, bọ hà, sâu vẽ bùa, rầy nâu, muỗi hành, sâu đục ngọn, rệp sáp, rệp muội. Liều dùng – cách pha – lượng nước: Pha 20-25ml/bình 16-25 lít để phun xịt hoặc tưới lên côn trùng. Thời điểm – hiệu lực: Không có thông tin. Lưu ý an toàn: Không phun khi trời sắp mưa to hoặc khi có gió lớn. Trường hợp cỏ già: Không có thông tin. Kinh nghiệm phối trộn: Không có thông tin.",Thuốc BVTV,"group:insecticide, alias:wusso, ai:chlorpyrifos methyl, ai_rate:40%w/v, type:insecticide","[""Thông tin về Wusso"", ""Cách sử dụng Wusso"", ""Wusso có tác dụng gì?"", ""Liều dùng của Wusso là bao nhiêu?"", ""Wusso có an toàn không?"", ""Wusso dùng cho cây gì?"", ""Wusso có thể diệt những loại sâu nào?"", ""Hãng sản xuất Wusso là ai?""]",
Topxapy,Topxapy 30SC,"Nhóm sản phẩm: Thuốc diệt côn trùng tổng hợp. Các tên / nhãn tương đương: Topxapy 30SC. Hoạt chất: Chlorfenapyr 20%w/v, Pyriproxyfen 10%w/v. Nhóm thuốc: Diệt côn trùng. Hãng sản xuất: Shanghai E-Tong Chemical Co., Ltd. Đặc tính – công dụng: Topxapy 30SC là thuốc diệt trừ côn trùng tổng hợp, có cơ chế tiếp xúc mạnh, vị độc, diệt trứng (làm cho trứng côn trùng không nở được), tiêu diệt cả con non và côn trùng lớn. Hiệu lực kéo dài. Đối tượng: Lúa, Đậu tương, Lạc, đậu xanh, Hoa hồng, Hoa mai, Rau màu. Phạm vi: Nhện gié, sâu cuốn lá, rầy nâu, sâu đục thân, bọ trĩ, sâu đục bẹ, sâu xanh, sâu xanh da láng, nhện đỏ. Liều dùng – cách pha – lượng nước: Pha 24ml cho bình 20 lít nước hoặc 30ml cho bình 25 lít nước. Phun xịt ướt đều. Thời điểm – hiệu lực: Không phun khi trời sắp mưa to hoặc khi có gió lớn. Lưu ý an toàn: Không phun khi trời sắp mưa to hoặc khi có gió lớn.",Thuốc BVTV,"group:insecticide, alias:topxapy-30sc, ai:chlorfenapyr,pyriproxyfen, ai_rate:20%w/v-10%w/v, type:insecticide","[""Thông tin về Topxapy 30SC"", ""Cách sử dụng Topxapy 30SC"", ""Topxapy 30SC có tác dụng gì?"", ""Liều dùng của Topxapy 30SC là gì?"", ""Topxapy 30SC diệt những loại sâu nào?"", ""Hãng sản xuất Topxapy 30SC là ai?"", ""Topxapy 30SC có an toàn không?"", ""Cách pha Topxapy 30SC như thế nào?""]",
