row_index,id,issue_type,severity,detail
1,gussi_bastar_200sl_c_nh_n_xanh_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
6,gussi_bastar_200sl_c_nh_n_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
7,gussi_bastar_200sl_c_nh_n_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
10,gussi_bastar_200sl_c_h_ng_h_nhi_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
13,gussi_bastar_200sl_c_h_ng_h_nhi_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
15,kenbast_15sl_tr_u_r_ng_m_i_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
17,kenbast_15sl_tr_u_r_ng_m_i_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
18,kenbast_15sl_tr_u_r_ng_m_i_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
20,kenbast_15sl_v_t_xanh_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
27,kenbast_15sl_khai_hoang_q10_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
30,kenbast_15sl_tir_u_eni_150_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
34,kenbast_15sl_tr_u_v_ng_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
35,kenbast_15sl_tr_u_v_ng_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
39,kenbast_15sl_b_r_ng_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
44,kenbast_15sl_p_avo_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
49,kenbast_15sl_lyrhoxini_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
54,kenbast_15sl_gly_888_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
55,kenbast_15sl_gly_888_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
58,kenbast_15sl_s_t_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
62,kenbast_15sl_gold_parato_th_n_l_a_chunk_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
64,kenbast_15sl_gold_parato_th_n_l_a_qa_02,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
66,azin_rio_45sc_anh_h_ng_c_chunk_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
68,azin_rio_45sc_anh_h_ng_c_qa_01,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
70,azin_rio_45sc_anh_h_ng_c_qa_03,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
