row_index,id,issue_type,severity,detail
2,citrus_melanose_chunk_03,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
8,citrus_scab_chunk_02,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
12,citrus_sweet_scab_chunk_02,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
29,citrus_brown_rot_chunk_02,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
33,citrus_green_blue_mold_chunk_02,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
49,scab_fungicide_chunk_04,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
51,scab_fungicide_chunk_06,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
55,citrus_fungicide_chunk_01,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
56,citrus_fungicide_chunk_02,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
57,citrus_fungicide_chunk_03,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
58,citrus_fungicide_chunk_04,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
59,citrus_fungicide_chunk_05,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
60,citrus_fungicide_chunk_06,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
61,citrus_fungicide_chunk_07,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
62,citrus_fungicide_chunk_08,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
63,citrus_fungicide_chunk_09,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
65,citrus_fungicide_chunk_10,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
66,citrus_fungicide_chunk_11,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
67,citrus_fungicide_chunk_12,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
68,citrus_fungicide_chunk_13,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
69,citrus_fungicide_chunk_14,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
70,citrus_fungicide_chunk_15,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
71,citrus_fungicide_chunk_16,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
72,citrus_fungicide_chunk_17,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
74,citrus_fungicide_chunk_18,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
75,citrus_fungicide_chunk_19,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
76,citrus_fungicide_chunk_20,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
77,citrus_fungicide_chunk_21,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
78,citrus_fungicide_chunk_22,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
79,citrus_fungicide_chunk_23,ET_MISMATCH_A,HIGH,entity_type=disease nhưng answer giống registry/product
