row_index,id,issue_type,severity,detail
9,bd_safe_qa_01,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
11,bd_safe_qa_03,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
20,bd_formula_chunk_03,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
23,bd_formula_chunk_06,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
29,bd_formula2_chunk_03,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
58,IC_Top_Tinh_An_Toan_4,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
67,ic_safe_chunk_05,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
69,ic_safe_qa_02,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
95,ic_use_chunk_01,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
96,ic_use_chunk_02,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
