row_index,id,issue_type,severity,detail
0,diagnosis_intro_chunk_01__000000,TAG_HAS_SPACE,MED,"tags có token chứa space: ['nấm hại', 'chẩn đoán bệnh', 'cẩm nang', 'kỹ năng cơ bản', 'Việt Nam']"
1,diagnosis_intro_chunk_02__000001,TAG_HAS_SPACE,MED,"tags có token chứa space: ['phòng thí nghiệm', 'ACIAR', 'chẩn đoán bệnh', 'nấm hại', 'miền Trung Việt Nam']"
2,diagnosis_intro_chunk_03__000002,TAG_HAS_SPACE,MED,"tags có token chứa space: ['cán bộ kỹ thuật', 'đào tạo', 'điều tra bệnh', 'chẩn đoán mẫu bệnh', 'phòng thí nghiệm']"
3,diagnosis_intro_chunk_04__000003,TAG_HAS_SPACE,MED,"tags có token chứa space: ['thư viện', 'máy vi tính', 'internet', 'thông tin', 'chẩn đoán bệnh']"
4,diagnosis_intro_qa_01__000004,TAG_HAS_SPACE,MED,"tags có token chứa space: ['chẩn đoán bệnh', 'phòng thí nghiệm', 'nấm hại', 'miền Trung', 'nâng cao năng lực']"
5,diagnosis_intro_qa_02__000005,TAG_HAS_SPACE,MED,"tags có token chứa space: ['lây bệnh nhân tạo', 'phòng thí nghiệm', 'xác định tác nhân', 'bệnh mới', 'kỹ thuật']"
6,diagnosis_intro_qa_03__000006,TAG_HAS_SPACE,MED,"tags có token chứa space: ['cán bộ kỹ thuật', 'điều tra bệnh', 'thu thập mẫu', 'ghi chép', 'chẩn đoán chính xác']"
7,diagnosis_intro_qa_04__000007,TAG_HAS_SPACE,MED,"tags có token chứa space: ['internet', 'thông tin', 'cập nhật', 'tài liệu', 'hỗ trợ chuyên gia']"
8,aciar_nursery_chunk_01__000008,TAG_HAS_SPACE,MED,"tags có token chứa space: ['nhà lưới', 'lây bệnh nhân tạo', 'thuốc trừ nấm', 'giá thể đất', 'bệnh cây', 'cây con sạch bệnh']"
9,aciar_nursery_chunk_02__000009,TAG_HAS_SPACE,MED,"tags có token chứa space: ['tập huấn', 'nhà lưới', 'sản xuất cây con sạch bệnh', 'giảng dạy tiếng Anh', 'bệnh cây', 'năng lực cán bộ']"
10,aciar_nursery_chunk_03__000010,TAG_HAS_SPACE,MED,"tags có token chứa space: ['giảng dạy tiếng Anh', 'tập huấn bệnh cây', 'tư vấn kỹ thuật', 'hình ảnh kỹ thuật số', 'phòng trừ bệnh', 'năng lực cán bộ']"
11,aciar_nursery_qa_01__000011,TAG_HAS_SPACE,MED,"tags có token chứa space: ['chẩn đoán bệnh', 'thiết kế thí nghiệm', 'phòng trừ bệnh', 'khuyến nông', 'tác nhân gây bệnh']"
12,aciar_nursery_qa_02__000012,TAG_HAS_SPACE,MED,"tags có token chứa space: ['kinh nghiệm', 'giám định bệnh', 'triệu chứng bệnh', 'tác nhân gây bệnh', 'chẩn đoán chính xác']"
13,aciar_nursery_qa_03__000013,TAG_HAS_SPACE,MED,"tags có token chứa space: ['cẩm nang bệnh cây', 'hướng dẫn chẩn đoán', 'đào tạo cán bộ', 'phòng thí nghiệm', 'đồng ruộng']"
14,plant_disease_impact_chunk_01__000014,TAG_HAS_SPACE,MED,"tags có token chứa space: ['bệnh cây', 'thiệt hại', 'nông dân', 'năng suất', 'chi phí phòng trừ']"
15,plant_disease_impact_chunk_02__000015,TAG_HAS_SPACE,MED,"tags có token chứa space: ['nấm', 'độc tố nấm', 'aflatoxin', 'sức khỏe', 'thức ăn']"
