row_index,id,issue_type,severity,detail
0,chinh_sach_va_gia_ban_chunk_00,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
5,lam_moi_tang_doanh_so_chunk_02,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
6,lam_moi_tang_doanh_so_chunk_03,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
18,phan_anh_ve_gia_ca_va_dich_vu_cong_ty_06,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
19,phan_anh_ve_gia_ca_va_dich_vu_cong_ty_07,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
20,phan_anh_ve_gia_ca_va_dich_vu_cong_ty_08,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
28,tu_van_nhan_rieng_chunk_00,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
29,tu_van_nhan_rieng_chunk_01,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
30,tu_van_nhan_rieng_chunk_02,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
37,quan_ly_cong_no_chunk_01,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
38,quan_ly_cong_no_chunk_02,PROCEDURE_LOOKS_LIKE_REGISTRY,MED,procedure nhưng nội dung giống dữ liệu đăng ký
