row_index,id,issue_type,severity,detail
2,herb_phoanglua_0003,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
7,herb_phoanglua_0008,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
11,gussi_bastar,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
16,parato_200sl,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
19,giao-su-co,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
30,vua_co_ngo,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
36,KAJIO,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
43,hoang_tu_sau,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
46,sieu_diet_sau,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
49,ZIGEN,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
64,BINHFOS_gr,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
78,giao_su_sau,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
86,SETIS,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
87,Butti,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
88,sieu_diet_nhen,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
89,nhen_kim_cuong,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
90,diet_nhen_sam_set,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
93,SCORTLAN,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
95,Nekko,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
132,SANTOSO,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
133,TAMIKO,ET_MISMATCH_Q,HIGH,entity_type=product nhưng question có dấu hiệu bệnh/sâu/cỏ
