id,question,answer,category,tags,alt_questions,img_keys,entity_type,tags_v2
quy_trinh_cham_soc_cay_sau_rieng_01,Quy trình xử lý nấm bệnh và rong rêu tồn dư trên cây sầu riêng sau thu hoạch như thế nào?,"Trước khi làm cơi phục hồi, bắt buộc phải xử lý nấm bệnh và rong rêu tồn dư trên cây. Nếu cây không có rêu, không nấm bệnh và lá khỏe, phun lần lượt: Đơn 1 - 1 lít Thần dược sạch bệnh pha với 400 lít nước; Đơn 2 - 500 ml Tecvil pha với 200 lít nước; Đơn 3 - 250 ml Azol 450SC pha với 200 lít nước, phun đều thân và lá. Nếu thân và cành có nhiều rêu, lá bệnh nhiều tảo đỏ và thán thư, phun: Đơn 1 - 500 gr Đồng 77 pha 200 lít nước; Đơn 2 - 1 kg Đồng Oxychloride pha 200 lít nước, phun đều thân và lá.",procedure_durian_care,sau_rieng|quy_trinh_cham_soc_cay_sau_rieng|xu_ly_nam_benh|rong_reu|phun_thuoc,Cách xử lý nấm bệnh trên cây sầu riêng sau thu hoạch|Phun thuốc chống rong rêu cho cây sầu riêng|Xử lý bệnh thán thư trên cây sầu riêng,,procedure,"[""crop:sau-rieng"", ""disease:fungal-disease"", ""disease:red-algae"", ""disease:anthracnose"", ""chemical:than-duoc-sach-benh""]"
quy_trinh_cham_soc_cay_sau_rieng_02,Các bước chính trong giai đoạn 1 phục hồi làm cơi lá cây sầu riêng là gì?,"Giai đoạn 1 phục hồi làm cơi lá gồm 2 lần cơi lá khỏe và không bị bệnh. Cơi 1 gồm 5 bước: Bước 1 - kích đọt khi lá già chuyển xanh đen, tưới 20 lít R333 cho 30-40 gốc, phun lá hỗn hợp 100 ml Agrohigh + 500 ml Amingood pha 200 lít nước; Bước 2 - khi hạt gạo nở thành đuôi tôm, bón gốc 30-10-10 + humic 1-1.5 kg/cây, phun lá 500 ml Bung đọt + 500 gr 30-10-10 + thuốc rầy pha 200 lít nước; Bước 3 - khi đuôi tôm hình mũi giáo (2-3 cặp lá chưa mở), bón gốc 5-7 kg phân nở/cây, phun lá theo 2 đơn lựa chọn; Bước 4 - khi mũi giáo mở gần hết, bổ sung phân nước nếu cần, phun lá 3 đơn lựa chọn; Bước 5 - khi lá mở gần hết chuyển lụa, bón gốc 16-16-16 1-1.5 kg/cây, phun lá 3 đơn lựa chọn. Cơi 2 làm lại y chang cơi 1.",procedure_durian_care,sau_rieng|quy_trinh_cham_soc_cay_sau_rieng|lam_coi_la|phuc_hoi_cay|bon_phan|phun_thuoc,Quy trình làm cơi lá cho cây sầu riêng|Các bước phục hồi cây sầu riêng sau thu hoạch|Làm cơi lá cây sầu riêng như thế nào,,procedure,"[""crop:sau-rieng"", ""chemical:r333"", ""chemical:agrohigh""]"
quy_trinh_cham_soc_cay_sau_rieng_03,Liều lượng và cách phun thuốc trong bước kích đọt của giai đoạn phục hồi cây sầu riêng ra sao?,"Trong bước kích đọt khi lá đã già chuyển màu xanh đen, tưới gốc 20 lít dung dịch R333 cho 30-40 gốc tùy theo tán và tuổi cây. Phun lá hỗn hợp gồm 100 ml Agrohigh và 500 ml Amingood pha với 200 lít nước, phun đều thân và lá để kích thích đọt phát triển.",procedure_durian_care,sau_rieng|quy_trinh_cham_soc_cay_sau_rieng|kich_dot|phun_thuoc|lam_coi_la,Cách phun thuốc kích đọt cho cây sầu riêng|Liều lượng thuốc kích đọt cây sầu riêng|Phun thuốc kích thích đọt sầu riêng như thế nào,,procedure,"[""action:spraying"", ""process:shoot-stimulation"",  ""crop:durian"", ""chemical:agrohigh""]"
quy_trinh_cham_soc_cay_sau_rieng_04,Tại sao cần làm lại cơi lá lần 2 giống hệt cơi 1 trong quy trình chăm sóc sầu riêng?,"Làm lại cơi lá lần 2 giống y hệt cơi 1 nhằm đảm bảo cây phục hồi hoàn toàn, lá khỏe mạnh và không bị bệnh, giúp cây phát triển đồng đều, tăng khả năng ra hoa và năng suất. Việc này giúp củng cố hiệu quả của lần cơi lá đầu tiên và duy trì sức khỏe cây trong thời kỳ kinh doanh.",procedure_durian_care,sau_rieng|quy_trinh_cham_soc_cay_sau_rieng|lam_coi_la|phuc_hoi_cay|tang_nang_suat,Tại sao phải làm cơi lá lần 2 cho cây sầu riêng|Ý nghĩa của cơi lá lần 2 trong chăm sóc sầu riêng|Làm cơi lá lần 2 có tác dụng gì,,procedure,"[""process:pruning"", ""action:leaf-pruning"", ""process:plant-care"",  ""crop:durian""]"
quy_trinh_lam_hoa_sau_rieng_01,Bón lân và hãm nước trong quy trình làm hoa sầu riêng 5–10 năm được thực hiện như thế nào?,"Sau khi hoàn tất cơi lá thứ 2 và lá đã già đều, bắt đầu quy trình làm hoa sầu riêng bằng bước bón lân. Nếu lá đã già và chuyển xanh đen thì bón 5–7kg lân/cây đều quanh tán. Nếu lá mới ở trạng thái lụa cứng, chưa xanh đen thì bón 5–7kg lân kết hợp thêm 3 lạng kali/cây. Sau khi bón, cần tưới nước đều trong 3–5 ngày để phân tan và ngấm xuống đất, sau đó tiến hành hãm nước trong 30–35 ngày, tức là ngưng tưới hoàn toàn trong khoảng thời gian đó để kích thích phân hóa mầm hoa.",procedure_durian_care,sau_rieng|quy_trinh_cham_soc_cay_sau_rieng|lam_hoa_sau_rieng|bon_lan|ham_nuoc,Bón lân làm hoa sầu riêng ra sao|Xiết nước bao lâu sau khi bón lân|Cây lá lụa chưa xanh đen thì bón lân và kali thế nào|Hãm nước là gì trong quy trình làm hoa,,procedure,"[""process:flowering-process"", ""action:phosphorus-fertilization"", ""action:water-irrigation"", ""action:water-stoppage"", ""crop:durian""]"
quy_trinh_lam_hoa_sau_rieng_02,Quy trình phun phân hóa mầm hoa cho sầu riêng gồm những bước và liều lượng nào?,"Phun phân hóa mầm hoa được thực hiện sau khi hãm nước được 7 ngày. Lần 1 dùng 500g 8-52-8 kết hợp 240ml Peka 29-26 pha đủ 200 lít nước, phun đều thân, cành và lá. Lần 2 dùng 500g Lân 86 pha 200 lít nước phun đều thân và cành. Khi mắt cua bắt đầu nhú nhưng chưa đều thì phun lần 3 với 250g Lân 86 + 500g KNO3 + 500ml Rước mắt cua (Nitrophenol) pha đủ 200 lít nước phun thân, cành. Khi rước mắt cua sáng đồng loạt thì phun lần 4: 480ml Peka 29-26 + 500ml Rước mắt cua + 250ml Cabona pha đủ 200 lít nước phun đều cành. Trong giai đoạn này, do thời tiết khô nóng cây rất dễ bị nhện đỏ tấn công nên phải quan sát và phòng trừ kịp thời.",procedure_durian_care,quy_trinh_cham_soc_cay_sau_rieng|lam_hoa_sau_rieng|ruoc_mat_cua|kn03|nhen_do,Phun phân hóa mầm hoa cho sầu riêng mấy lần|Liều lượng 8-52-8 và Peka 29-26 dùng thế nào|Rước mắt cua phun thời điểm nào|Giai đoạn phân hóa mầm hoa có cần phòng nhện đỏ không,,procedure,"[""process:flower-bud-induction"", ""crop:durian"", ""chemical:peka-29-26"", ""chemical:lan-86""]"
quy_trinh_lam_hoa_sau_rieng_03,"Trong giai đoạn vô nước, kéo hoa kèm đọt và tỉa hoa, quy trình chăm sóc sầu riêng như thế nào?","Sau giai đoạn phân hóa mầm hoa, bước tiếp theo là vô nước, kéo hoa kèm đọt và tỉa hoa. Vô nước bắt đầu bằng nhấp nước từ từ, cách ngày tưới một lần cho đến khi cây quen nước, sau đó tưới định kỳ 2 ngày một lần. Kích hoa kèm đọt được thực hiện tương tự quy trình làm cơi trước khi làm hoa: bước 1 kích đọt với gốc dùng 20 lít R333 tưới cho 30–40 gốc tùy tán và tuổi cây, lá dùng 100ml Agrohigh + 500ml Amingood pha 200 lít nước. Bước 2 khi lá ở giai đoạn hạt gạo nở thành đuôi tôm thì bón gốc 30-10-10 + humic 1–1,5kg/cây, phun lá 500ml Bung đọt + 500g 30-10-10 + thuốc rầy pha đủ 200 lít nước. Khi hoa dài 3–5cm thì tiến hành tỉa hoa lần 1, bỏ hoa ở đầu cành, sát thân, hoa đâm ngang và đâm lên trời để các chùm còn lại to và mập hơn.",procedure_durian_care,quy_trinh_cham_soc_cay_sau_rieng|lam_hoa_sau_rieng|vo_nuoc|keo_hoa|tua_hoa|kich_dot,Quy trình vô nước và kéo hoa cho sầu riêng thế nào|Kích hoa kèm đọt dùng phân gì|Khi hoa 3–5 cm thì tỉa hoa ra sao|Tại sao phải bỏ hoa ở đầu cành và sát thân,,procedure,"[""process:watering"", ""action:flower-thinning"", ""action:flower-pulling"", ""chemical:r333"", ""chemical:agrohigh""]"
quy_trinh_lam_hoa_sau_rieng_04,"Khi đuôi tôm hình thành mũi giáo, già lá đồng loạt và trong suốt giai đoạn kéo hoa kèm đọt, cần chăm sóc và phòng bệnh cho sầu riêng như thế nào?","Khi đuôi tôm hình thành mũi giáo (2–3 cặp lá chưa mở), bón gốc 5–7kg phân nở/cây, phun lá theo một trong hai đơn: đơn 1 gồm 100ml Acxonik + 500ml Mix kẽm + 240ml Amino + thuốc rầy pha đủ 200 lít nước; đơn 2 gồm 500ml BoZn Amino + 100ml Acxonik + 240ml Hải mã + thuốc rầy pha đủ 200 lít nước. Khi hoa được 30–35 ngày tuổi thì tỉa hoa lần 2, loại bỏ chùm hoa đơn, yếu, giữ chùm to khỏe, khoảng cách 20–30cm, với cây nhiều hoa thì mỗi chùm cách 35–40cm. Ở bước 4, khi các cặp mũi giáo mở gần hết, có thể bổ sung lại phân nước nếu cần như Novi 979, đạm cá tinh khiết Grow Plant, GP20, và phun các đơn 21-21-21 hoặc 18-11-59 kết hợp Peka và thuốc rầy. Khi già lá đồng loạt, bón gốc 16-16-16 với lượng 1–1,5kg/cây và phun một trong các đơn Tecvil kết hợp 18-11-59, Maxprofos, 5-5-45 hoặc Peka 29-26 với Magie. Trong suốt giai đoạn kéo hoa kèm đọt cần chú ý phòng nấm thán thư khô bông bằng các thuốc như Daconil, Azol 450SC, Azo 150SC, Strobin, Salegold và sâu ăn bông bằng các thuốc như Emamectin, Gấu đỏ, sâu đục thân kết hợp thuốc gốc lưu dẫn và ức chế trứng.",procedure_durian_care,quy_trinh_cham_soc_cay_sau_rieng|lam_hoa_sau_rieng|mui_giao|gia_la|tia_hoa_2|than_thu|sau_an_bong,Khi mũi giáo và lá già thì chăm sóc sầu riêng ra sao|Tỉa hoa lần 2 lúc nào và tỉa thế nào|Phòng nấm thán thư khô bông bằng thuốc gì|Sâu ăn bông sầu riêng dùng thuốc nào,,procedure,"[""crop:durian"", ""chemical:acxonik"", ""chemical:daconil""]"
quy_trinh_nuoi_trai_sau_rieng_01,Giai đoạn đầu nuôi trái sầu riêng từ khi xổ nhuỵ đến trái 8 lạng chăm sóc như thế nào?,"Ngay sau khi hoa xổ nhuỵ xong bắt đầu nuôi trái, cần tưới nước trở lại từ từ, giữ đủ ẩm, không tưới nhiều để tránh sốc nước, tăng dần đến ổn định với chu kỳ 2–3 ngày tưới 1 lần. Gốc bón 16-16-16 với lượng 2 lạng/cây và tăng dần theo thời gian, 7 ngày bón 1 lần. Giai đoạn đầu sau khi chạy trái phun 100ml Agrohigh + 250ml Cabona + 250ml Amingood pha đủ 200 lít phun trái 1–2 lần để giảm rụng sinh lý, không lạm dụng vì trái sẽ dài và nhọn đít.",procedure_durian_care,sau_rieng|quy_trinh_cham_soc_cay_sau_rieng|nuoi_trai_sau_rieng|chay_trai|rudng_sinh_ly,Chạy trái sầu riêng chăm sóc ra sao|Sau xổ nhuỵ tưới nước thế nào|Bón phân đầu giai đoạn nuôi trái sầu riêng,,procedure,"[""action:watering"", ""action:fertilizing"", ""crop:durian"", ""chemical:agrohigh"", ""chemical:cabona""]"
quy_trinh_nuoi_trai_sau_rieng_02,"Trong giai đoạn trái non đến 6–8 lạng, phun dinh dưỡng cho trái sầu riêng theo những đơn nào?","Từ khi trái non đến 6 lạng, phun luân phiên các đơn: Đơn 1 gồm 250ml Amino + 500ml Cabona + 250ml Mix kẽm pha 200 lít phun trái; đơn 2 gồm 240ml Amino hữu cơ + 480ml Peka 29-26 pha 200 lít phun trái; đơn 3 gồm 500ml Tảo biển + 250ml Cabona + 100ml Acxonik pha 200 lít phun trái. Khi trái đạt 6 đến 8 lạng tiếp tục phun luân phiên các đơn: đơn 1 gồm 250ml 20-20-20 + 250ml 5-5-45 + 100ml Acxonik pha 200 lít phun trái; đơn 2 gồm 250gr 21-21-21 + 500ml AminGood pha 200 lít phun trái. Thời điểm này thường gặp mưa đầu mùa, cần phòng nấm bằng Azol 450SC, Strobin, Sale Gold, Metman Bull.",procedure_durian_care,quy_trinh_cham_soc_cay_sau_rieng|nuoi_trai_sau_rieng|phan_la|duong_trai|nam_benh|chong_rung_trai,Phun trái sầu riêng giai đoạn đầu như thế nào|Trái 6 lạng phun thuốc gì|Phòng nấm bệnh khi nuôi trái ra sao,,procedure,"[""crop:durian"", ""chemical:amino"", ""chemical:cabona""]"
