id,question,answer,category,tags,alt_questions,img_keys,entity_type
ascomycota_nam_benh_chunk_01,Nhóm nấm Ascomycota gây hại trên cây trồng bao gồm những chi nấm chính nào?,"Nhóm nấm Ascomycota (nấm túi) là nhóm nấm gây hại rất phổ biến trên cây trồng, bao gồm nhiều chi nấm quan trọng như Colletotrichum, Pyricularia, Alternaria, Cercospora, Fusarium, Trichothecium, Erysiphe, Botrytis, Venturia, Phyllosticta, Sclerotinia, Monilinia, Diaporthe/Phomopsis, Elsinoe, Bipolaris, Stemphylium, Diplodia, Mycosphaerella, Diplocarpon và Neoscytalidium. Các chi nấm này gây ra nhiều bệnh nguy hiểm như thán thư, đạo ôn, đốm lá, thối rễ, phấn trắng, mốc xám, ghẻ lá, cháy lá, khô cành trên lúa, rau màu, cây ăn trái và hoa cảnh.",disease_profile,nam_ascomycota|nam_benh|nam_benh_cay_trong|benh_thoi|benh_dom_la,Nhóm nấm Ascomycota gồm những chi nấm nào?|Ascomycota gây hại những bệnh gì?|Những loại nấm túi phổ biến trên cây trồng là gì?,,disease
ascomycota_nam_benh_chunk_02,Những bệnh phổ biến do Alternaria và Cercospora gây ra là gì?,"Nấm Alternaria spp. thường gây các bệnh đốm vòng, đốm tím, thối quả và cháy lá trên hoa hồng, cà chua, khoai tây, hành tỏi, cà rốt, thanh long. Nấm Cercospora spp. gây bệnh đốm nâu, đốm lá trên rau màu, cà rốt, khoai mì, củ dền, lạc, hoa hồng và chuối. Các bệnh này làm giảm diện tích quang hợp, gây rụng lá sớm và giảm năng suất cây trồng.",disease_profile,nam_alternaria|nam_benh|cercospora|dom_la|chay_la,Alternaria gây bệnh gì?|Cercospora gây hại trên cây nào?|Đốm vòng và đốm nâu do nấm nào gây ra?,,disease
ascomycota_nam_benh_chunk_03,Bệnh do Fusarium gây ra nguy hiểm như thế nào trên cây trồng?,"Fusarium spp. là nhóm nấm gây héo rũ, thối rễ, thối thân, chết cây con trên rất nhiều loại cây trồng như hoa hồng, cà chua, sầu riêng, khoai tây, khoai lang, thanh long, hồ tiêu, hành, tỏi, cà phê. Nấm tấn công hệ rễ và mạch dẫn, làm cây héo nhanh, chết từng phần hoặc toàn cây. Fusarium có khả năng tồn tại lâu trong đất, rất khó phòng trừ và dễ kháng thuốc nếu sử dụng sai nguyên tắc.",disease_profile,nam_benh|fusarium|heo_ru|thoi_re|nam_dat,Nguyên nhân gây héo rũ Fusarium là gì?|Fusarium gây bệnh trên những cây nào?|Vì sao bệnh Fusarium rất khó trị?,,disease
ascomycota_nam_benh_chunk_04,"Các bệnh do Botrytis, Venturia và Diplocarpon gây hại gồm những gì?","Botrytis cinerea gây bệnh mốc xám, đốm lá, thối hoa, thối quả trên hoa hồng, dâu tây, rau màu và hành tỏi. Venturia spp. gây bệnh ghẻ lá, ghẻ trái trên táo, lê. Diplocarpon gây bệnh đốm đen trên hoa hồng. Các bệnh này thường phát triển mạnh trong điều kiện ẩm độ cao, mưa nhiều và làm giảm nghiêm trọng giá trị thương phẩm của nông sản.",disease_profile,nam_botrytis|nam_benh|moc_xam|dom_den|ghe_la,Botrytis gây hại trên cây gì?|Bệnh ghẻ lá Venturia xuất hiện trên cây nào?|Đốm đen hoa hồng do nấm gì?,,disease
ascomycota_nam_benh_qa_01,Vì sao nhóm nấm Ascomycota rất dễ gây bùng phát dịch bệnh trên ruộng đồng?,"Nhóm nấm Ascomycota có đặc điểm sinh sản mạnh bằng bào tử, phát tán rất nhanh nhờ gió và nước mưa. Chúng tồn tại tốt trong tàn dư cây trồng, trong đất và trên hạt giống. Khi gặp điều kiện thuận lợi như ẩm độ cao, nhiệt độ phù hợp, vết thương cơ giới, nấm xâm nhập nhanh vào mô cây và gây bùng phát dịch bệnh trên diện rộng.",disease_profile,bao_tu_nam|nam_benh|lay_lan_nam|nguon_benh|tan_du_cay_trong,Vì sao nấm bệnh lây lan rất nhanh?|Điều kiện nào làm nấm Ascomycota bùng phát?|Nguồn lây bệnh nấm từ đâu?,,disease
ascomycota_nam_benh_qa_02,Tại sao Fusarium và Erysiphe dễ kháng thuốc nếu phun sai cách?,"Fusarium và Erysiphe có khả năng biến dị di truyền nhanh. Nếu người trồng lạm dụng một nhóm hoạt chất trong thời gian dài hoặc phun không đủ liều, không luân phiên thuốc, nấm sẽ dần thích nghi và kháng thuốc. Khi đã kháng, hiệu quả phòng trị giảm mạnh, buộc phải tăng chi phí và sử dụng thuốc mạnh hơn, gây rủi ro môi trường.",disease_profile,khang_thuoc|nam_benh|fusarium|erysiphe|luan_phien_thuoc,Vì sao nấm kháng thuốc nhanh?|Làm sao hạn chế kháng thuốc nấm?|Phun thuốc sai gây hậu quả gì?,,disease
ascomycota_nam_benh_qa_03,Khi phòng trừ bệnh do nấm Ascomycota cần lưu ý an toàn gì?,"Khi phòng trừ nấm bệnh Ascomycota cần luân phiên hoạt chất для tránh kháng thuốc, phun đúng liều – đúng thời điểm, không pha vượt liều. Người phun phải mang đồ bảo hộ, tránh tiếp xúc trực tiếp với thuốc, không phun ngược gió, không xả thuốc dư ra nguồn nước. Đồng thời cần vệ sinh đồng ruộng, tiêu hủy tàn dư bệnh để giảm nguồn lây.",disease_profile,an_toan_phun_thuoc|nam_benh|luan_phien_hoat_chat|phong_benh|ve_sinh_dong_ruong,Cần lưu ý gì khi phun thuốc trừ nấm?|Phòng nấm bệnh an toàn thế nào?|Có cần tiêu hủy tàn dư bệnh không?,,disease
ascomycota_nam_benh_qa_04,Tại sao cần kết hợp thuốc trừ nấm với biện pháp canh tác?,"Thuốc chỉ mang tính hỗ trợ trong kiểm soát nấm bệnh, còn biện pháp canh tác như luân canh cây trồng, thoát nước tốt, bón phân cân đối, cắt tỉa thông thoáng giúp giảm ẩm độ và nguồn bệnh. Khi kết hợp đồng bộ, hiệu quả phòng trừ nấm Ascomycota sẽ bền vững và hạn chế tái phát.",disease_profile,canh_tac_ket_hop|nam_benh|thoat_nuoc|luan_canh|giam_nguon_benh,Vì sao phải kết hợp nhiều biện pháp phòng nấm?|Chỉ dùng thuốc có đủ không?|Canh tác ảnh hưởng thế nào đến nấm bệnh?,,disease
oomycetes_benh_chunk_01,Nhóm nấm Oomycetes gây hại chính trên cây trồng gồm những chi nào?,"Nhóm nấm giả Oomycetes (thuộc Chromista) gồm các chi quan trọng như Phytophthora, Pythium, Peronospora, Pseudoperonospora, Bremia, Peronosclerospora, Sclerospora, Plasmopara và Albugo. Nhóm này gây các bệnh nguy hiểm như sương mai, thối rễ, thối trái, chết cây con, mốc sương và rỉ trắng. Đặc điểm chung là lây lan rất nhanh trong điều kiện ẩm độ cao, dễ phát sinh tính kháng thuốc nên cần luân phiên hoạt chất phòng trừ.",disease_profile,oomycetes_nam_gia|nam_benh|suong_mai|thoi_re|chet_cay_con|nam_dat,Oomycetes gồm những chi nào?|Nấm giả Oomycetes gây bệnh gì?|Nhóm nấm sương mai thuộc họ nào?,,disease
oomycetes_benh_chunk_02,Phytophthora và Pythium gây hại chủ yếu trên những cây trồng nào?,"Phytophthora gây sương mai, thối trái, nứt thân, xì mủ và báo tử nhanh trên nhiều cây như hoa ly, cà chua, khoai tây, thanh long, sầu riêng, hồ tiêu, xoài, cà phê, dưa, cam quýt. Pythium chủ yếu gây vàng lá, thối rễ, chết cây con trên hoa ly, dâu tây, bắp cải, xoài, bắp và rau màu. Hai chi này tập trung gây hại mạnh ở rễ và cổ rễ.",disease_profile,phytophthora|nam_benh|pythium|ximu|thoi_re|vang_la,Phytophthora hại cây gì?|Pythium thường gây chết cây con ở đâu?|Vì sao Phytophthora gây xì mủ?,,disease
