id,question,answer,category,tags,alt_questions,img_keys,entity_type,tags_v2
nhom_chich_hut_chunk_01__000000,Phác đồ phòng trừ nhóm sâu chích hút với mật độ bình thường bằng công thức lưu dẫn mạnh là gì?,"Đối tượng sâu hại là nhóm sâu chích hút với mật độ xuất hiện bình thường. Công thức phối hợp khuyến cáo là sử dụng thuốc có tính lưu dẫn mạnh để đạt hiệu quả phòng trừ tốt nhất. Lưu ý khi áp dụng cần chọn thuốc phù hợp với nhóm sâu chích hút và tuân thủ đúng liều lượng, thời gian phun để tránh gây hại cho cây trồng và môi trường.",procedure_mixing_formula_sucking_pests,cong_thuc_phoi_tron_nhom_chich_hut|mat_do_binh_thuong|luu_dan_manh|cong_thuc_phoi_hop,Phòng trừ sâu chích hút mật độ bình thường bằng lưu dẫn mạnh|Cách dùng thuốc lưu dẫn mạnh cho sâu chích hút|Khi nào dùng lưu dẫn mạnh cho nhóm sâu chích hút|Công thức phối hợp thuốc cho sâu chích hút mật độ bình thường,,procedure,"[""process:pest-control"", ""action:spray"", ""object:systemic-insecticide"", ""entity:procedure"", ""pest:sucking-insects"", ""crop:general-crop""]"
nhom_chich_hut_qa_01__000001,"Khi nhóm sâu chích hút xuất hiện với mật độ bình thường, nên dùng công thức phối hợp thuốc nào?","Khi nhóm sâu chích hút có mật độ bình thường, nên sử dụng công thức phối hợp thuốc có tính lưu dẫn mạnh để phòng trừ hiệu quả. Việc này giúp thuốc thấm sâu vào cây, diệt trừ sâu hại tận gốc và kéo dài thời gian bảo vệ.",procedure_mixing_formula_sucking_pests,cong_thuc_phoi_tron_nhom_chich_hut|sau_chich_hut|mat_do_binh_thuong|luu_dan_manh|phac_do,Nên dùng công thức nào cho sâu chích hút mật độ bình thường?|Phòng trừ sâu chích hút mật độ trung bình bằng thuốc lưu dẫn mạnh như thế nào?,,procedure,"[""process:pest-control"", ""action:apply-chemical"", ""object:systemic-insecticide"", ""entity:procedure"", ""pest:sucking-insects"", ""crop:general-crop""]"
nh_m_ch_ch_h_t_qa_02__000002,Công thức lưu dẫn mạnh trong phòng trừ sâu chích hút có những lưu ý gì?,"Công thức lưu dẫn mạnh cần lựa chọn thuốc có khả năng thấm sâu và lưu dẫn tốt trong cây, phù hợp với nhóm sâu chích hút. Cần tuân thủ đúng liều lượng và thời gian phun để tránh gây nhờn thuốc và bảo vệ môi trường. Có thể thay đổi thuốc trong nhóm lưu dẫn mạnh tùy theo điều kiện thực tế và loại cây trồng.",procedure_mixing_formula_sucking_pests,cong_thuc_phoi_tron_nhom_chich_hut|luu_dan_manh|sau_chich_hut|luu_y|phac_do,Lưu ý khi dùng công thức lưu dẫn mạnh cho sâu chích hút là gì?|Có thể thay thuốc lưu dẫn mạnh trong phác đồ sâu chích hút không?,,procedure,"[""process:pest-control"", ""action:apply-pesticide"", ""object:pesticide-formulation"", ""entity:procedure"", ""pest:sucking-insect"", ""crop:crop-protection""]"
nh_m_ch_ch_h_t_qa_03__000003,Có thể thay thế thuốc lưu dẫn mạnh bằng loại thuốc nào khi phòng trừ sâu chích hút mật độ bình thường?,"Có thể thay thế thuốc lưu dẫn mạnh bằng các thuốc có cơ chế tác động tương tự, có khả năng thấm sâu và lưu dẫn trong cây, phù hợp với nhóm sâu chích hút. Việc thay thế cần dựa trên đặc điểm sâu hại, loại cây trồng và điều kiện thực tế để đảm bảo hiệu quả và an toàn.",procedure_mixing_formula_sucking_pests,cong_thuc_phoi_tron_nhom_chich_hut|thay_thuoc|luu_dan_manh|sau_chich_hut|phac_do,Có thể thay thuốc lưu dẫn mạnh bằng thuốc nào khi phòng trừ sâu chích hút?|Thuốc thay thế cho lưu dẫn mạnh trong phác đồ sâu chích hút là gì?,,procedure,"[""process:pest-control"", ""action:chemical-substitution"", ""object:systemic-insecticide"", ""entity:procedure"", ""pest:sucking-insect"", ""crop:general-crop""]"
nh_m_ch_ch_h_t_chunk_01__000004,Phác đồ phối hợp thuốc phòng trừ nhóm sâu chích hút mật độ cao là gì?,"Đối tượng sâu hại là nhóm chích hút với mật độ xuất hiện cao. Công thức phối hợp khuyến cáo gồm Exami 50gram và Binhfos 50ml pha trong 25L nước, đạt hiệu quả phòng trừ 90-95%. Lưu ý khi sử dụng cần đảm bảo pha đúng liều lượng và phun đều để đạt hiệu quả tối ưu.",procedure_mixing_formula_sucking_pests,cong_thuc_phoi_tron_nhom_chich_hut|nhom_chich_hut|mat_do_cao|exami|binhfos|cong_thuc_phoi_hop,Phác đồ phòng trừ nhóm sâu chích hút mật độ cao là gì?|Cách phối hợp Exami và Binhfos để diệt sâu chích hút?|Liều lượng thuốc Exami và Binhfos trong phác đồ phối hợp?|Hiệu quả của công thức phối hợp Exami + Binhfos như thế nào?,,procedure,"[""process:phong-tru"", ""action:phun"", ""object:thuoc-tru-sau"", ""entity:procedure"", ""pest:sau-chich-hut"", ""chemical:exami""]"
nh_m_ch_ch_h_t_qa_01__000005,"Khi nhóm sâu chích hút có mật độ cao, nên dùng công thức phối hợp thuốc nào?","Khi nhóm sâu chích hút xuất hiện với mật độ cao, nên sử dụng công thức phối hợp Exami 50gram và Binhfos 50ml pha trong 25L nước để đạt hiệu quả phòng trừ từ 90-95%.",procedure_mixing_formula_sucking_pests,cong_thuc_phoi_tron_nhom_chich_hut|nhom_chich_hut|mat_do_cao|exami|binhfos,Khi nào nên dùng Exami và Binhfos để phòng trừ sâu chích hút?|Công thức thuốc nào hiệu quả cho sâu chích hút mật độ cao?,,procedure,"[""process:pest-control"", ""action:apply-chemical"", ""object:pesticide-mixture"", ""entity:procedure"", ""pest:sucking-insects"", ""chemical:exami""]"
nh_m_ch_ch_h_t_qa_02__000006,Công thức phối hợp Exami và Binhfos pha như thế nào để đạt hiệu quả cao?,"Công thức phối hợp gồm Exami 50gram và Binhfos 50ml pha trong 25L nước, phun đều lên cây trồng để đạt hiệu quả phòng trừ sâu chích hút từ 90-95%.",procedure_mixing_formula_sucking_pests,cong_thuc_phoi_tron_nhom_chich_hut|exami|binhfos|cong_thuc_phoi_hop|mat_do_cao,Cách pha Exami và Binhfos để diệt sâu chích hút?|Tỷ lệ pha thuốc Exami và Binhfos trong 25L nước là bao nhiêu?,,procedure,"[""process:mixing"", ""action:spraying"", ""object:water"", ""entity:procedure"", ""crop:plants"", ""chemical:exami""]"
nh_m_ch_ch_h_t_qa_03__000007,Có thể thay Binhfos bằng thuốc nào khác trong công thức phối hợp với Exami không?,"Thông tin hiện tại không đề cập đến thuốc thay thế Binhfos trong công thức phối hợp với Exami. Để đảm bảo hiệu quả và an toàn, nên sử dụng đúng công thức khuyến cáo Exami 50gram + Binhfos 50ml/25L nước.",procedure_mixing_formula_sucking_pests,cong_thuc_phoi_tron_nhom_chich_hut|binhfos|exami|thuoc_thay_the|phoi_hop,Có thể thay Binhfos bằng thuốc khác khi phối hợp với Exami không?|Lựa chọn thuốc thay thế Binhfos trong phác đồ phối hợp?,,procedure,"[""process:chemical-formulation"", ""action:substitution"", ""object:binhfos"", ""object:exami"", ""entity:procedure""]"
nh_m_ch_ch_h_t_qa_04__000008,Lưu ý quan trọng khi sử dụng công thức phối hợp Exami và Binhfos để phòng trừ sâu chích hút là gì?,"Lưu ý khi sử dụng công thức phối hợp Exami 50gram và Binhfos 50ml/25L nước là phải pha đúng liều lượng, phun đều trên diện tích cây trồng bị sâu chích hút, tránh phun khi trời mưa hoặc nắng gắt để đảm bảo hiệu quả tối ưu và hạn chế thuốc bị rửa trôi hoặc bay hơi.",procedure_mixing_formula_sucking_pests,cong_thuc_phoi_tron_nhom_chich_hut|luu_y|exami|binhfos|phoi_hop|phun_thuoc,Những lưu ý khi dùng Exami và Binhfos phối hợp phòng trừ sâu chích hút?|Cách sử dụng thuốc phối hợp Exami và Binhfos hiệu quả?,,procedure,"[""process:mixing-chemicals"", ""action:spraying"", ""object:insecticide-formulation"", ""entity:procedure"", ""pest:sucking-insects""]"
nh_m_ch_ch_h_t_chunk_01__000009,Phác đồ phối hợp thuốc phòng trừ nhóm sâu chích hút mật độ cao là gì?,Đối tượng sâu hại là nhóm chích hút với mật độ xuất hiện cao. Công thức phối hợp khuyến cáo gồm Sinapyram 30-50gram kết hợp với Binhfos 50ml pha trong 25L nước đạt độ đậm đặc 90% trở lên. Lưu ý cần đảm bảo pha đúng liều lượng và sử dụng khi mật độ sâu chích hút cao để đạt hiệu quả phòng trừ tối ưu.,procedure_mixing_formula_sucking_pests,cong_thuc_phoi_tron_nhom_chich_hut|sau_chich_hut|cong_thuc_phoi_hop|sinapyram|binhfos,Phòng trừ sâu chích hút mật độ cao bằng công thức nào? | Công thức phối hợp Sinapyram và Binhfos dùng ra sao? | Khi nào nên dùng Sinapyram phối hợp Binhfos? | Liều lượng Sinapyram và Binhfos trong phác đồ là bao nhiêu?,,procedure,"[""process:phac-do-phoi-hop-thuoc"", ""action:phong-tru-sau-hai"", ""entity:procedure"", ""domain:agriculture"", ""pest:sau-chich-hut"", ""chemical:sinapyram""]"
