id,question,answer,category,tags,alt_questions,img_keys,entity_type
bilu_chunk_01,BILU là loại thuốc gì?,"BILU là thuốc bảo vệ thực vật chứa hoạt chất Kasugamycin 4% kết hợp với Oxine-copper 36% dạng SC, có tác dụng phòng trừ hiệu quả các bệnh do vi khuẩn và nấm trên nhiều loại cây trồng khác nhau.",product_active_ingredient_profile,bilu|kasugamycin|oxine_copper|thuoc_vi_khuan,BILU là thuốc gì?|Kasugamycin 4% + Oxine-copper 36% SC dùng để làm gì?|BILU có tác dụng gì?,,product
bilu_chunk_02,Thuốc BILU được sử dụng phòng trừ bệnh gì trên dưa leo (cucumber)?,"Trên cây dưa leo, thuốc BILU được sử dụng để phòng trừ bệnh vi khuẩn cháy bìa lá (bacterial keratosis) với liều lượng 500–750 ml/ha và sử dụng bằng phương pháp phun.",product_active_ingredient_profile,bilu|dua_leo|Kasugamycin 4%|vi_khuan_chay_la|500_750_ml_ha,BILU trị bệnh gì trên dưa leo?|Liều dùng BILU cho dưa leo là bao nhiêu?|Cách phun BILU trên dưa leo?,,product
bilu_chunk_03,Thuốc BILU phòng trừ bệnh gì trên cây có múi (citrus)?,"Trên cây có múi như cam quýt, BILU được dùng để phòng trừ bệnh loét (canker disease) và bệnh da sần (emery skin disease) với nồng độ pha 1000–2000 lần, sử dụng bằng phương pháp phun.",product_active_ingredient_profile,bilu|Kasugamycin4%|cam_quyt|benh_loet|1000_2000_lan,BILU trị bệnh gì cho cam quýt?|BILU phòng bệnh da sần trên cam như thế nào?|Liều pha BILU cho citrus là bao nhiêu?,,product
bilu_chunk_04,Thuốc BILU được sử dụng thế nào trên cây táo (apple)?,"Trên cây táo, BILU được sử dụng để phòng trừ các bệnh như đốm bánh xe (wheel spot), thán thư (anthracnose), đốm nâu (brown spot) và đốm lá với liều pha 2000–3000 lần bằng phương pháp phun.",product_active_ingredient_profile,bilu|Kasugamycin4%|tao|than_thu|dom_la,BILU trị bệnh gì trên táo?|Liều BILU cho táo là bao nhiêu?|Táo bị thán thư dùng BILU được không?,,product
bilu_chunk_05,Thuốc BILU dùng cho cây lê (pear) như thế nào?,"Trên cây lê, BILU được dùng để phòng trừ bệnh thối thân, thối rễ với nồng độ pha 300 lần bằng phương pháp bôi hoặc tưới vào vùng rễ (smear/root-irrigation). Ngoài ra còn phòng trừ rỉ sắt lê, thán thư và đốm đen lê bằng cách phun với nồng độ 1500–2000 lần.",product_active_ingredient_profile,bilu|Kasugamycin4%|le|thoi_re|ri_sat,BILU trị thối rễ trên lê như thế nào?|BILU có bôi gốc cho lê không?|Liều BILU trị rỉ sắt lê?,,product
bilu_chunk_06,Thuốc BILU được dùng ra sao trên cây đào (peach)?,"Trên cây đào, BILU được sử dụng để phòng trừ bệnh thủng lá vi khuẩn (bacterial perforation disease), bệnh chảy gôm (gum flow disease) và bệnh đốm nâu với nồng độ pha 1000–2000 lần bằng phương pháp phun.",product_active_ingredient_profile,bilu|Kasugamycin4%|dao|chay_gom|dom_nau,BILU trị bệnh gì trên đào?|Đào bị chảy gôm dùng BILU được không?|Liều BILU cho đào là bao nhiêu?,,product
bilu_chunk_07,Thuốc BILU phòng trừ bệnh gì trên táo tàu (jujube)?,"Trên cây táo tàu, BILU giúp phòng trừ bệnh thán thư (anthrax) và bệnh rỉ sắt (rust) với nồng độ pha 1500–2000 lần bằng phương pháp phun.",product_active_ingredient_profile,bilu|Kasugamycin4%|tao_tau|than_thu|ri_sat,BILU dùng cho táo tàu thế nào?|Táo tàu bị rỉ sắt dùng BILU được không?|Liều BILU cho táo tàu?,,product
bilu_chunk_08,Thuốc BILU được sử dụng như thế nào trên nho (grape)?,"Trên cây nho, BILU được dùng để phòng trừ sương mai (downy mildew), đốm đen (black spot), thối trắng, thán thư và thối đen với nồng độ pha 1500–2000 lần bằng phương pháp phun.",product_active_ingredient_profile,bilu|Kasugamycin4%|nho|suong_mai|dom_den,BILU trị bệnh gì trên nho?|Nho bị sương mai dùng BILU không?|Liều BILU cho nho là bao nhiêu?,,product
bilu_chunk_09,Thuốc BILU dùng cho lúa (rice) như thế nào?,"Trên cây lúa, BILU được sử dụng để phòng trừ bệnh sọc vằn mảnh (thin strip disease) và bệnh bạc lá với liều lượng 750 g/ha bằng phương pháp phun.",product_active_ingredient_profile,bilu|Kasugamycin4%|lua|bac_la|750g_ha,BILU trị bệnh gì trên lúa?|Lúa bị bạc lá dùng BILU có hiệu quả không?|Liều BILU cho lúa là bao nhiêu?,,product
bilu_chunk_10,Thuốc BILU được sử dụng ra sao cho cây lạc (peanut)?,"Trên cây lạc, BILU giúp phòng trừ bệnh đốm nâu, đốm đen và rỉ sắt với nồng độ pha 1500 lần bằng phương pháp phun.",product_active_ingredient_profile,bilu|Kasugamycin4%|lac|dom_nau|ri_sat,BILU trị bệnh gì trên lạc?|Lạc bị rỉ sắt dùng BILU được không?|Liều BILU cho lạc là bao nhiêu?,,product
bilu_chunk_11,Thuốc BILU dùng cho khoai môn (taro) như thế nào?,"Trên cây khoai môn, BILU được sử dụng để phòng trừ bệnh thối mềm với nồng độ pha 1000–1500 lần bằng phương pháp phun.",product_active_ingredient_profile,bilu|Kasugamycin4%|khoai_mon|thoi_mem|1000_1500_lan,BILU trị thối mềm trên khoai môn?|Liều BILU cho khoai môn là bao nhiêu?|Khoai môn bị thối mềm phun BILU được không?,,product
bilu_chunk_12,Thuốc BILU được sử dụng cho cây gừng (ginger) ra sao?,"Trên cây gừng, BILU dùng để phòng trừ bệnh cháy gừng (ginger blast) với nồng độ pha 1000 lần bằng phương pháp tưới vào gốc (root-irrigation).",product_active_ingredient_profile,bilu|Kasugamycin4%|gung|chay_gung|tuoi_goc,BILU trị bệnh gì trên gừng?|Gừng bị cháy dùng BILU thế nào?|BILU tưới gốc cho gừng có hiệu quả không?,,product
bilu_chunk_13,Thuốc BILU sử dụng cho rau màu như thế nào?,"Trên các loại rau, BILU được dùng để phòng trừ bệnh vi khuẩn với nồng độ pha 750–1000 lần bằng phương pháp phun. Ngoài ra, thuốc cũng được dùng trị bệnh cháy (blight) bằng phương pháp tưới gốc với nồng độ 1000 lần.",product_active_ingredient_profile,bilu|Kasugamycin4%|rau_mau|benh_vi_khuan|chay_la,BILU dùng cho rau ra sao?|Rau bị vi khuẩn có dùng BILU được không?|BILU tưới gốc cho rau trị bệnh gì?,,product
bilu_mechanism_chunk_01,Kasugamycin 4% + Oxine-copper 36% SC (BILU) có cơ chế tác động như thế nào?,"Kasugamycin là một kháng sinh nông nghiệp có tác dụng chính là ức chế hệ enzyme tham gia vào quá trình chuyển hóa axit amin, từ đó làm gián đoạn quá trình tổng hợp protein của nấm, kìm hãm sự sinh trưởng và gây hiện tượng ngưng tụ tế bào. Kasugamycin có đầy đủ tác dụng phòng ngừa, điều trị và tính lưu dẫn. Oxine-copper là thuốc trừ nấm tiếp xúc đa điểm, không có tính lưu dẫn, chỉ có tác dụng phòng bệnh.",product_active_ingredient_profile,kasugamycin|Kasugamycin4%|oxine_copper|co_che_tac_dong|thuoc_khang_sinh,Cơ chế tác động của BILU là gì?|Kasugamycin ức chế nấm bằng cách nào?|Oxine-copper có cơ chế gì?,,product
bilu_mechanism_chunk_02,Sự kết hợp Kasugamycin và Oxine-copper trong BILU mang lại lợi ích gì?,"Sự kết hợp giữa Kasugamycin và Oxine-copper giúp mở rộng phổ phòng trừ cả bệnh do vi khuẩn và bệnh do nấm, giảm chi phí sử dụng thuốc, đồng thời làm giảm nguy cơ hình thành tính kháng thuốc của tác nhân gây bệnh.",product_active_ingredient_profile,ket_hop_kep|Kasugamycin4%|phong_vi_khuan|phong_nam|giam_khang_thuoc,Vì sao nên phối hợp Kasugamycin với Oxine-copper?|BILU có phòng được cả vi khuẩn và nấm không?|Kết hợp hai hoạt chất giúp ích gì?,,product
bilu_advantage_chunk_01,Oxine-copper trong BILU có ưu điểm gì so với các thuốc gốc đồng khác?,"Oxine-copper có pH gần trung tính (khoảng 7), nên có thể pha chung với đa số thuốc bảo vệ thực vật khác, rất thuận tiện khi sử dụng trong hỗn hợp phun.",product_active_ingredient_profile,oxine_copper|Kasugamycin4%|pH_trung_tinh|pha_chung|tien_loi,Oxine-copper có dễ pha chung không?|pH của Oxine-copper là bao nhiêu?|Vì sao BILU dễ phối trộn?,,product
bilu_advantage_chunk_02,Hàm lượng đồng trong Oxine-copper có ảnh hưởng môi trường như thế nào?,"Hàm lượng đồng trong Oxine-copper thấp hơn nhiều so với các thuốc gốc đồng khác, do đó thân thiện với môi trường hơn và giảm nguy cơ tồn dư kim loại nặng trong đất canh tác.",product_active_ingredient_profile,ham_luong_dong_thap|Kasugamycin4%|than_thien_moi_truong|giam_ton_du,Oxine-copper có gây ô nhiễm đất không?|BILU có thân thiện môi trường không?|Đồng trong BILU có thấp không?,,product
bilu_advantage_chunk_03,Oxine-copper có ảnh hưởng như thế nào đến côn trùng có lợi và cây trồng?,"Oxine-copper ít ảnh hưởng đến côn trùng có lợi, giúp hạn chế hiện tượng bộc phát nhện hại sau khi phun thuốc. Đồng thời, thuốc có tác động rất nhẹ trong giai đoạn ra hoa và đậu trái non nên an toàn hơn khi sử dụng.",product_active_ingredient_profile,con_trung_co_loi|Kasugamycin4%|an_toan_ra_hoa|han_che_nhen,BILU có hại ong không?|Oxine-copper có làm bộc phát nhện không?|Có an toàn khi cây đang ra hoa không?,,product
bilu_advantage_chunk_04,Khả năng hấp thu của Oxine-copper đối với cây trồng như thế nào?,"Dạng đồng chelate trong Oxine-copper giúp cây trồng hấp thu nhanh hơn, nâng cao hiệu quả phòng bệnh và hạn chế tích lũy tồn lưu trên bề mặt lá.",product_active_ingredient_profile,dong_chelate|Kasugamycin4%|hap_thu_nhanh|hieu_qua_cao,Oxine-copper có dễ hấp thu không?|Đồng chelate là gì?|Vì sao BILU tác động nhanh?,,product
bilu_advantage_chunk_05,BILU ảnh hưởng như thế nào đến chất lượng quả và quang hợp của cây?,"Oxine-copper giúp lá sạch bệnh, tăng khả năng quang hợp, đồng thời làm quả đẹp mã, nâng cao giá trị thương phẩm và giá bán nông sản.",product_active_ingredient_profile,tang_quang_hop|Kasugamycin4%|lam_dep_trai|tang_gia_ban,BILU có giúp trái đẹp không?|Phun BILU có tăng quang hợp không?|Thuốc có làm tăng giá trị nông sản không?,,product
bilu_limit_chunk_01,Những loại cây trồng nào không được sử dụng Oxine-copper trong BILU?,"Oxine-copper mẫn cảm đối với cây họ đậu và cây sen, vì vậy không được sử dụng BILU trên các loại cây trồng này để tránh gây hại cho cây.",product_active_ingredient_profile,khong_dung_cho_dau|Kasugamycin4%|khong_dung_cho_sen|han_che_su_dung,BILU có dùng cho đậu được không?|Oxine-copper có phun cho sen không?|Những cây nào không được dùng BILU?,,product
bilu_mechanism_qa_01,Vì sao BILU có thể vừa phòng vừa trị bệnh hiệu quả?,"BILU kết hợp Kasugamycin có tác dụng lưu dẫn, điều trị với Oxine-copper có tác dụng phòng bệnh tiếp xúc đa điểm, tạo nên cơ chế bảo vệ kép giúp phòng và trị bệnh hiệu quả hơn so với thuốc đơn hoạt chất.",product_active_ingredient_profile,phong_va_tri|Kasugamycin4%|co_che_kep|kasugamycin|oxine_copper,Vì sao BILU vừa phòng vừa trị?|BILU có phải thuốc lưu dẫn không?|Thuốc có tác dụng kép không?,,product
bilu_mechanism_qa_02,Vì sao BILU giúp giảm nguy cơ kháng thuốc của vi khuẩn và nấm?,Do BILU phối hợp hai hoạt chất có cơ chế tác động hoàn toàn khác nhau nên làm giảm khả năng tác nhân gây bệnh thích nghi và hình thành tính kháng thuốc trong quá trình sử dụng lâu dài.,product_active_ingredient_profile,giam_khang_thuoc|Kasugamycin4%|co_che_khac_nhau|su_dung_lau_dai,Vì sao dùng BILU ít bị kháng thuốc?|Kháng thuốc xảy ra khi nào?|Phối hợp thuốc có lợi gì?,,product
