id,question,answer,category,tags,alt_questions,img_keys,entity_type
citrus_melanose_chunk_01,Bệnh Melanose trên cây có múi là gì và do tác nhân nào gây ra?,"Melanose là bệnh do nấm Diaporthe citri (tên cũ Phomopsis citri) gây ra. Nấm tấn công lá, chồi non và trái, tạo ra nhiều chấm hoặc đốm màu nâu sẫm trên bề mặt.",disease_profile,benh_cam_quyt|melanose|diaporthe_citri|nam_benh|cam_quyt,Melanose là bệnh gì?|Nấm nào gây bệnh melanose?|Bệnh melanose trên cam quýt là gì?,,disease
citrus_melanose_chunk_02,Triệu chứng điển hình của bệnh Melanose trên lá và trái là gì?,"Các đốm melanose ban đầu lõm nhẹ, sau đó nổi gồ lên, bề mặt sần sùi như giấy nhám. Đốm có thể phân bố rải rác hoặc kéo dài thành vệt trên trái. Bệnh chủ yếu xuất hiện trên mô non, trong khi trái già ít nhạy cảm hơn.",disease_profile,benh_cam_quyt|trieu_chung_melanose|dom_nau|san_sui|trai_non,Dấu hiệu bệnh melanose trên trái?|Đốm melanose có nổi gồ không?|Bệnh melanose có hại trái non không?,,disease
citrus_melanose_chunk_03,Bệnh Melanose có liên quan gì đến bệnh thối cuống trái (stem-end rot)?,Nấm Diaporthe citri không chỉ gây bệnh melanose mà còn có thể gây bệnh thối cuống trái sau thu hoạch. Đây là một trong hai nguyên nhân phổ biến nhất gây thối trái dạng stem-end rot.,disease_profile,benh_cam_quyt|stem_end_rot|thoi_cuong_trai|sau_thu_hoach|melanose,Melanose có gây thối cuống trái không?|Thối cuống trái do nấm nào gây ra?|Melanose có ảnh hưởng sau thu hoạch không?,,disease
citrus_melanose_chunk_04,Nguồn lây nhiễm (inoculum) của bệnh Melanose là từ đâu?,"Nguồn nấm bệnh melanose chủ yếu tồn tại và phát triển trên các cành khô, cành chết trong vườn. Từ đây, bào tử nấm được phát tán ra môi trường.",disease_profile,benh_cam_quyt|nguon_benh|canh_kho|inoculum|nam_melanose,Nguồn bệnh melanose nằm ở đâu?|Cành khô có phải là nguồn nấm melanose không?|Bào tử melanose phát sinh từ đâu?,,disease
citrus_melanose_chunk_05,Bào tử nấm Melanose lây lan bằng những con đường nào?,"Bào tử melanose lây lan chủ yếu nhờ nước mưa bắn tóe và mưa kết hợp gió. Ngoài ra, cũng có thể phát tán theo không khí trong một số trường hợp.",disease_profile,benh_cam_quyt|bao_tu_nuoc_mua|gio|phat_tan|melanose,Melanose lây lan bằng cách nào?|Mưa có làm lây bệnh melanose không?|Bào tử melanose có bay trong không khí không?,,disease
citrus_melanose_chunk_06,Biện pháp phòng trừ bệnh Melanose hiệu quả là gì?,"Cần cắt tỉa và đốt bỏ toàn bộ cành khô, cành chết để loại bỏ nguồn nấm bệnh. Đồng thời thực hiện phun thuốc phòng bệnh theo đúng lịch phun thuốc cho cây có múi (Citrus Spray Schedule).",disease_profile,benh_cam_quyt|phong_tru_melanose|cat_canh_kho|lich_phun_thuoc|cam_quyt,Phòng bệnh melanose như thế nào?|Có nên đốt cành khô để trị melanose không?|Lịch phun thuốc cho melanose ra sao?,,disease
citrus_melanose_chunk_07,Những loại thuốc nào thường được khuyến cáo phòng trừ bệnh Melanose?,"Các thuốc thường được khuyến cáo gồm Abound, Heritage (azoxystrobin), Badge (copper oxychloride + copper hydroxide), Champ, C-O-C-S, Kocide (copper hydroxide), Cuprofix (copper sulfate), Gem (trifloxystrobin), Headline (pyraclostrobin), Nordox (cuprous oxide), Pristine (pyraclostrobin + boscalid).",disease_profile,benh_cam_quyt|thuoc_tri_melanose|azoxystrobin|thuoc_dong|strobilurin,Thuốc nào trị melanose hiệu quả?|Có dùng thuốc gốc đồng trị melanose không?|Strobilurin có trị melanose không?,,disease
citrus_scab_chunk_01,Bệnh Scab (ghẻ) trên cây có múi là gì và do tác nhân nào gây ra?,"Bệnh ghẻ (Scab) do nấm Elsinoë fawcettii (tên cũ Sphaceloma fawcettii) gây ra. Bệnh xuất hiện chủ yếu trên quýt satsuma, quýt, bưởi, chanh và các gốc ghép cam chua.",disease_profile,benh_cam_quyt|scab|elsinoe_fawcettii|benh_ghe|cam_quyt,Bệnh scab là bệnh gì?|Nấm nào gây bệnh ghẻ trên cam quýt?|Bệnh ghẻ có múi do đâu gây ra?,,disease
citrus_scab_chunk_02,Triệu chứng điển hình của bệnh Scab trên lá và trái là gì?,"Bệnh gây các u sần gồ ghề, cứng, dạng mụn cóc trên lá và trái non. Các tổ chức bệnh làm lá và trái bị biến dạng, méo mó; vỏ trái dày, thô và xốp.",disease_profile,benh_cam_quyt|trieu_chung_scab|mun_coc|bien_dang|san_sui,Dấu hiệu bệnh ghẻ trên trái là gì?|Scab có làm méo trái không?|Lá bị scab trông như thế nào?,,disease
citrus_scab_chunk_03,Nguồn lây bệnh Scab trên cây có múi xuất phát từ đâu?,"Nấm gây bệnh scab tồn tại trong các mụn bệnh cũ trên lá và trái. Khi gặp mưa, bào tử sẽ phát tán và gây nhiễm cho mô non.",disease_profile,benh_cam_quyt|nguon_scab|mun_benh_cu|nuoc_mua|bao_tu,Nguồn bệnh scab nằm ở đâu?|Mưa có làm lây scab không?|Bào tử scab phát sinh từ đâu?,,disease
