question,answer
"MỤC LỤC VẬT TƯ PHỤ","I.Bộ chai\nII.Thùng\nIII.Nhãn + màng + túi"
"PHÂN BIỆT CẤU TẠO CHAI","1. CHAI PET (IMG_KEY: chai-pet)\n2. CHAI HDPE (IMG_KEY: chai-hdpe)\n3. CHAI 3 LỚP (IMG_KEY: chai-3-lop)\n4. CHAI NHÔM (hinh chai-nhom)"
"BỘ CHAI","1. Bộ chai dùng chung\n2. Chai đặt riêng cho khách\n3. Chai khách hàng mang tới"
"Bộ chai dùng chung","1. Bộ 3 lớp\n2. Bộ pet vàng\n3. Bộ pet tròn trắng\n4. Bộ pet vuông\n5. Bộ pet đóng cỏ\n6. Bộ HD xám\n7. Một số mã chai lẻ khác"
"BỘ 3 LỚP","1. Chai 30-02 (IMG_KEY: chai-30-02)\n2. Chai 100-04 (IMG_KEY: chai-100-04)\n3. Chai TEEN (IMG_KEY: chai-teen)\n4. Chai Asmil (IMG_KEY: chai-asmil)"
"CHA30-02","(IMG_KEY: chai-30-02)\n- Chai 30-02 (Chai vuông trắng đục 30ml phi 22, nắp đỏ)\n- Đóng được tất cả các sản phẩm dạng: SC; EC; SL\n- THU30-01 + HO30-01\n- 100 chai / hộp; 500 chai / thùng\n- Đóng được Gone super và các loại EC dung môi mạnh"
"CHA100-04","(IMG_KEY: chai-100-04)\n- Chai 100-04 (Chai tròn trắng 100ml 3 lớp, phi 22, nắp vàng)\n- Đóng được tất cả các sản phẩm dạng: SC; EC; SL\n- THU100-04\n- 100 chai / thùng\n- Đóng được Gone super và các loại EC dung môi mạnh"
"CHA240-TEEN"," (IMG_KEY: CHA240-TEEN)\n- Chai 240-TEEN (Chai tròn trắng 240ml 3 lớp, phi 45, nắp xanh dương)\n- Đóng được tất cả các sản phẩm dạng: SC; EC; SL\n- THU240-TEEN, THU240-02 kích thước, đóng gói 2 tầng đối với nhãn không phải Teen Super\n- 40 chai / thùng (đóng 2 tầng)\n- Đóng được Gone super, Bretil Super (KQ kiểm tra PTN 0\n5.09.2024) và các loại EC dung môi mạnh"
"CHA240-ASMIL"," (IMG_KEY: CHA240-ASMIL)\n- Chai 240-ASMIL (Chai tròn trắng 240ml 3 lớp, phi 45, nắp màu tím)\n- Đóng được tất cả các sản phẩm dạng: SC; EC; SL\n- THU240-ASMIL, THU240-02 kích thước, đóng 2 tầng đối với nhãn không phải Asmilka Top\n- 40 chai / thùng (đóng 2 tầng)\n- Đóng được Gone super, Bretil Super (KQ kiểm tra PTN 0\n5.09.2024) và các loại EC dung môi mạnh"
"CHA240-TEEN","NHÃN CHAI GONE SUPER 350EC (TEEN SUPER) - 240ML - AGRISHOP (CHAI 3 LỚP TRẮNG 240-TEEN (NẮP XANH DƯƠNG))\n- Chai 240-TEEN (chai tròn trắng 240ml 3 lớp, phi 45, nắp xanh dương)\n- Đóng được tất cả các sản phẩm dạng : SC; EC; SL\n- THU240-TEEN (Thùng riêng)\n- 40 CHAI/ THÙNG\n- Đóng được Gone super, Bretil Super (KQ ktra PTN \n5.09.24 ) và các loại EC dung môi mạnh\n(IMG_KEY: CHA240-TEEN)\n(IMG_KEY: nhan-THU240-TEEN)"
