id,question,answer,category,tags,alt_questions,img_keys,entity_type
gussi_bastar_200sl_c_nh_n_xanh_chunk_01,Sản phẩm Gussi Bastar 200SL Đặc (Nhãn xanh) có thành phần và công dụng chính là gì?,"Gussi Bastar 200SL Đặc (Nhãn xanh) chứa hoạt chất Glufosinate amonium với nồng độ 200g/l. Sản phẩm được đóng gói với quy cách 900ml và 4.5l. Đây là thuốc trừ cỏ không chọn lọc, có khả năng nội hấp và cháy chậm, dùng để diệt trừ các loại cỏ dại lá rộng, lá hẹp, kể cả các loại cỏ đã kháng Glyphosate như cỏ mần trầu, cỏ tranh. Khi phun ướt đẫm từ gốc đến ngọn, sau 3 ngày lá cỏ bắt đầu vàng và sau 6-7 ngày cỏ sẽ chết hoàn toàn. Thuốc nổi bật với khả năng diệt cỏ không chọn lọc hiệu quả.",product_profile,gussi_bastar_200sl|glufosinate_ammonium|thuoc_co|co_khang_glyphosate|co_man_trau|co_tranh,Gussi Bastar 200SL là thuốc gì và có thành phần nào? | Thuốc Gussi Bastar 200SL dùng để trừ loại cỏ nào? | Thành phần và quy cách đóng gói của Gussi Bastar 200SL là gì?,sheet-sp_Page_0351_Image_0001,product
gussi_bastar_200sl_c_nh_n_xanh_chunk_02,Gussi Bastar 200SL Đặc (Nhãn xanh) dùng để trừ loại cỏ nào và có đặc điểm gì nổi bật?,"Gussi Bastar 200SL Đặc (Nhãn xanh) dùng để trừ cỏ không chọn lọc, bao gồm các loại cỏ dại lá rộng, lá hẹp và các loại cỏ khó trị như cỏ mần trầu, cỏ tranh, kể cả cỏ đã kháng Glyphosate. Thuốc có đặc điểm nổi bật là diệt cỏ không chọn lọc, nội hấp và cháy chậm, giúp diệt trừ hiệu quả các loại cỏ dại khó trị.",product_profile,thuoc_co|co_khang_glyphosate|co_man_trau|co_tranh|diệt_co_khong_chon_loc,Gussi Bastar 200SL dùng để diệt loại cỏ nào? | Đặc điểm nổi bật của thuốc Gussi Bastar 200SL là gì? | Thuốc có trừ được cỏ kháng Glyphosate không?,sheet-sp_Page_0351_Image_0001|sheet-sp_Page_0699_Image_0001,product
gussi_bastar_200sl_c_nh_n_xanh_qa_01,Cách sử dụng và liều lượng phun Gussi Bastar 200SL Đặc (Nhãn xanh) như thế nào?,"Gussi Bastar 200SL Đặc (Nhãn xanh) được phun ướt đẫm từ gốc đến ngọn cây cỏ cần diệt. Sau khi phun, khoảng 3 ngày lá cỏ bắt đầu vàng và 6-7 ngày sau cỏ sẽ chết hoàn toàn. Liều lượng cụ thể cần tuân theo hướng dẫn trên nhãn sản phẩm hoặc tư vấn kỹ thuật để đảm bảo hiệu quả và an toàn.",product_usage,huong_dan_su_dung|lieu_luong|phun_uot_dam|gussi_bastar_200sl,Cách phun thuốc Gussi Bastar 200SL như thế nào? | Liều lượng phun Gussi Bastar 200SL ra sao? | Bao lâu sau khi phun thuốc thì cỏ chết?,sheet-sp_Page_0351_Image_0001|sheet-sp_Page_0699_Image_0001,product
gussi_bastar_200sl_c_nh_n_xanh_qa_02,Có những lưu ý quan trọng nào khi sử dụng Gussi Bastar 200SL Đặc (Nhãn xanh)?,"Khi sử dụng Gussi Bastar 200SL Đặc (Nhãn xanh), cần lưu ý đây là thuốc trừ cỏ không chọn lọc nên không được phun lên cây trồng vì có thể gây hại. Phải phun thuốc khi cỏ còn xanh và đang phát triển để đạt hiệu quả tốt nhất. Ngoài ra, cần tuân thủ đúng liều lượng và quy trình phun để đảm bảo an toàn cho người sử dụng và môi trường.",product_usage,luu_y|an_toan|thuoc_khong_chon_loc|gussi_bastar_200sl,Những lưu ý khi dùng Gussi Bastar 200SL là gì? | Có nên phun thuốc lên cây trồng không? | Khi nào nên phun thuốc để đạt hiệu quả tốt nhất?,sheet-sp_Page_0351_Image_0001|sheet-sp_Page_0699_Image_0001,product
gussi_bastar_200sl_c_nh_n_chunk_01,Sản phẩm Gussi Bastar 200SL Đặc (Nhãn đỏ) có thành phần và công dụng chính là gì?,"Gussi Bastar 200SL Đặc (Nhãn đỏ) chứa hoạt chất Glufosinate amonium với nồng độ 200g/l. Sản phẩm được đóng gói với các quy cách 100ml, 450ml, 900ml và 4.5l. Đây là thuốc trừ cỏ không chọn lọc, có tác dụng nội hấp và cháy chậm, giúp diệt trừ nhiều loại cỏ dại lá rộng và lá hẹp, kể cả các loại cỏ đã kháng Glyphosate như cỏ mần trầu, cỏ tranh. Khi phun ướt đẫm từ gốc đến ngọn, sau 3 ngày lá cỏ bắt đầu vàng và sau 6-7 ngày cỏ sẽ chết hoàn toàn.",product_profile,gussi_bastar_200sl|glufosinate_ammonium|thuoc_co|co_khang_glyphosate|co_man_trau|co_tranh,Gussi Bastar 200SL là thuốc gì? | Thành phần và công dụng của Gussi Bastar 200SL ra sao? | Thuốc Gussi Bastar 200SL dùng để diệt loại cỏ nào? | Quy cách đóng gói của Gussi Bastar 200SL như thế nào?,sheet-sp_Page_0699_Image_0002|sheet-sp_Page_0351_Image_0002,product
gussi_bastar_200sl_c_nh_n_chunk_02,Cách sử dụng và liều lượng phun thuốc Gussi Bastar 200SL Đặc (Nhãn đỏ) như thế nào?,"Gussi Bastar 200SL Đặc được sử dụng bằng cách phun ướt đẫm từ gốc đến ngọn các loại cỏ cần diệt. Thuốc có tác dụng nội hấp và cháy chậm, sau khi phun khoảng 3 ngày lá cỏ bắt đầu vàng và 6-7 ngày sau cỏ sẽ chết hoàn toàn. Liều lượng cụ thể tùy thuộc vào loại cỏ và mật độ cỏ, nên tham khảo hướng dẫn kỹ thuật của nhà sản xuất để đạt hiệu quả tối ưu.",product_profile,gussi_bastar_200sl|cach_dung|lieu_luong|phun_thuoc|thuoc_co_khong_chon_loc,Cách dùng Gussi Bastar 200SL như thế nào? | Liều lượng phun thuốc Gussi Bastar 200SL ra sao? | Thời gian thuốc phát huy tác dụng của Gussi Bastar 200SL là bao lâu?,,product
gussi_bastar_200sl_c_nh_n_qa_01,Gussi Bastar 200SL có thể diệt được loại cỏ nào?,"Gussi Bastar 200SL có khả năng diệt trừ các loại cỏ dại lá rộng và lá hẹp khác nhau, bao gồm cả các loại cỏ đã kháng Glyphosate như cỏ mần trầu và cỏ tranh. Thuốc hoạt động không chọn lọc nên có thể diệt nhiều loại cỏ khác nhau khi phun đúng cách.",product_usage,gussi_bastar_200sl|co_khang_glyphosate|co_man_trau|co_tranh|thuoc_co_khong_chon_loc,Gussi Bastar 200SL diệt được cỏ gì? | Thuốc có hiệu quả với cỏ mần trầu không? | Gussi Bastar 200SL có trừ được cỏ tranh không?,,product
gussi_bastar_200sl_c_nh_n_qa_02,Gussi Bastar 200SL có phải là thuốc trừ cỏ không chọn lọc không?,"Đúng, Gussi Bastar 200SL là thuốc trừ cỏ không chọn lọc, có tác dụng nội hấp và cháy chậm, giúp diệt trừ nhiều loại cỏ dại khác nhau mà không phân biệt loại cỏ. Thuốc phù hợp để xử lý các vùng có nhiều loại cỏ dại hỗn hợp.",product_usage,gussi_bastar_200sl|thuoc_co_khong_chon_loc|glufosinate_ammonium|thuoc_co|co_dai,Gussi Bastar 200SL có phải thuốc trừ cỏ không chọn lọc không? | Thuốc Gussi Bastar 200SL có diệt được nhiều loại cỏ không? | Gussi Bastar 200SL có tác dụng nội hấp không?,,product
gussi_bastar_200sl_c_nh_n_qa_03,Có lưu ý gì khi sử dụng Gussi Bastar 200SL Đặc (Nhãn đỏ)?,"Khi sử dụng Gussi Bastar 200SL Đặc cần phun thuốc ướt đẫm từ gốc đến ngọn để đạt hiệu quả diệt cỏ tốt nhất. Thuốc có tác dụng không chọn lọc nên cần tránh phun lên cây trồng mong muốn vì có thể gây hại. Ngoài ra, cần tuân thủ đúng liều lượng và hướng dẫn sử dụng của nhà sản xuất để đảm bảo an toàn và hiệu quả.",product_usage,gussi_bastar_200sl|luu_y|an_toan|phun_thuoc|thuoc_co_khong_chon_loc,Những lưu ý khi dùng Gussi Bastar 200SL là gì? | Có cần tránh phun thuốc lên cây trồng không? | Làm sao để sử dụng Gussi Bastar 200SL hiệu quả và an toàn?,sheet-sp_Page_0699_Image_0002|sheet-sp_Page_0351_Image_0002,product
gussi_bastar_200sl_c_h_ng_h_nhi_chunk_01,Gussi Bastar 200SL là thuốc gì và có thành phần hoạt chất nào?,"Gussi Bastar 200SL Đặc (Hồng Hà Nhi) là thuốc bảo vệ thực vật có hoạt chất chính Glufosinate amonium với nồng độ 200g/l. Sản phẩm được đóng gói dưới dạng chai 800ml hoặc 900ml, dùng để trừ cỏ không chọn lọc, có tác dụng nội hấp và cháy chậm.",product_profile,gussi_bastar_200sl|glufosinate_ammonium|thuoc_co|thuoc_tru_co|khong_chon_loc,Gussi Bastar 200SL là thuốc gì? | Thành phần hoạt chất của Gussi Bastar 200SL là gì? | Thuốc Gussi Bastar 200SL dùng để làm gì?,,product
