id,question,answer,category,tags,alt_questions,img_keys,entity_type
co_hoa_ban_chunk_01,Nhóm cỏ hòa bản (Grass) tại Việt Nam gồm những đặc điểm chính nào?,"Nhóm cỏ hòa bản là nhóm cỏ có lá hẹp, thân tròn hoặc rỗng, rễ chùm, sinh trưởng mạnh và cạnh tranh dinh dưỡng rất cao với cây trồng. Nhóm này gồm cả cỏ hằng niên và đa niên. Cỏ hằng niên sống – lớn – ra hoa – kết hạt – chết trong một vụ, rễ nông, không ăn sâu. Cỏ đa niên sống nhiều năm liên tục, không chết sau một vụ, thường có thân bò, rễ ngầm, củ hoặc thân ngầm nên rất khó trừ.",weed_group,co_dai|co_hoa_ban|co_la_hep|co_hang_nien|co_da_nien|co_canh_tranh,Nhóm cỏ hòa bản là gì?|Đặc điểm chung của cỏ lá hẹp?|Cỏ hòa bản khác gì cỏ lá rộng?,,weed
co_hoa_ban_chunk_02,Những loài cỏ hằng niên phổ biến trong ruộng lúa và ruộng màu là gì?,"Các loài cỏ hòa bản hằng niên phổ biến gồm Echinochloa crus-galli (cỏ lồng vực) xuất hiện nhiều trong ruộng lúa; Leptochloa chinensis (cỏ đuôi phụng) cũng phổ biến trong ruộng lúa; Eleusine indica (cỏ mần trầu) xuất hiện nhiều ở ruộng rau màu và vườn. Nhóm này sinh trưởng rất nhanh, cạnh tranh mạnh với cây trồng trong giai đoạn đầu vụ.",weed_group,co_dai|co_long_vuc|co_duoi_phung|co_man_trau|co_hang_nien|ruong_lua,Cỏ lồng vực là cỏ gì?|Cỏ mần trầu thường mọc ở đâu?|Những loại cỏ hằng niên phổ biến trong ruộng lúa?,_Page_37_Image_0001|_Page_38_Image_0001|_Page_39_Image_0003|_Page_39_Image_0004,weed
co_hoa_ban_chunk_03,Những loài cỏ đa niên khó trừ thường gặp ở Việt Nam là gì?,"Các loài cỏ hòa bản đa niên khó trừ gồm Paspalum distichum (cỏ san nước) mọc ở ruộng lúa và bờ mương; Panicum repens (cỏ lá gừng) mọc ở bờ ruộng, mía, đất ẩm và có rễ ngầm rất mạnh; Cynodon dactylon (cỏ gà, cỏ chỉ) mọc ở bờ ruộng và vườn, có thân bò, rất kháng Glyphosate; các nhóm cỏ lông, cỏ sậy mọc ở đồi núi, nương rẫy, ven rừng với hệ rễ ngầm lan mạnh.",weed_group,co_dai|co_san_nuoc|co_la_gung|co_ga|co_chi|co_da_nien_kho_tru,Cỏ lá gừng có đặc điểm gì?|Vì sao cỏ chỉ rất khó trừ?|Những loại cỏ đa niên nguy hiểm ở ruộng vườn là gì?,_Page_38_Image_0002|_Page_38_Image_0003|_Page_38_Image_0004|_Page_40_Image_0001,weed
co_hoa_ban_chunk_04,Cỏ ống và các nhóm cỏ mọc trên ruộng màu khô có đặc điểm gì?,"Dactyloctenium aegyptium (cỏ ống) thường xuất hiện trên ruộng màu khô, là cỏ hằng niên mọc khỏe trên đất khô hạn. Nhóm cỏ này có khả năng thích nghi cao với điều kiện thiếu nước, sinh hạt nhiều, phát tán nhanh nên dễ bùng phát nếu không quản lý sớm.",weed_group,co_dai|co_ong|co_ruong_kho|co_hang_nien|co_hat_nhieu|co_dat_kho,Cỏ ống là cỏ gì?|Cỏ mọc trên ruộng khô gồm những loại nào?|Vì sao cỏ ruộng khô difícil kiểm soát?,_Page_40_Image_0002|_Page_40_Image_0003,weed
co_hoa_ban_qa_01,Vì sao cỏ hòa bản đa niên rất khó trừ dứt điểm?,"Cỏ hòa bản đa niên có thân bò, rễ ngầm (rhizome) dài và lan mạnh trong đất. Khi bị cắt hoặc phun thuốc không triệt để, phần rễ ngầm vẫn sống và tiếp tục tái sinh cây mới. Ngoài ra, nhiều loài có khả năng kháng Glyphosate cao nên cần kết hợp cơ giới, luân phiên hoạt chất và xử lý nhiều lần.",weed_group,co_dai|co_da_nien|re_ngam|khang_glyphosate|tai_sinh_manh,Vì sao cỏ đa niên khó diệt tận gốc?|Tại sao cỏ chỉ phun thuốc vẫn mọc lại?|Phòng trừ cỏ rễ ngầm cần lưu ý gì?,_Page_41_Image_0002|_Page_41_Image_0003,weed
co_hoa_ban_qa_02,Vì sao cỏ mần trầu và cỏ lồng vực cạnh tranh rất mạnh trong ruộng lúa?,"Cỏ mần trầu và cỏ lồng vực sinh trưởng rất nhanh trong điều kiện ẩm, dinh dưỡng cao của ruộng lúa. Chúng có khả năng đẻ nhánh mạnh, che phủ nhanh mặt ruộng, cạnh tranh ánh sáng, nước và dinh dưỡng, làm lúa sinh trưởng kém nếu không trừ sớm ngay từ giai đoạn mạ.",weed_group,co_dai|co_man_trau|co_long_vuc|canh_tranh_manh|ruong_lua,Vì sao cỏ lồng vực hại lúa nặng?|Cỏ mần trầu cạnh tranh dinh dưỡng thế nào?|Thời điểm nào cần trừ cỏ sớm nhất trong ruộng lúa?,,weed
co_la_rong_chunk_01,Nhóm cỏ lá rộng tại Việt Nam gồm những đặc điểm chung nào?,"Nhóm cỏ lá rộng là nhóm cỏ có lá bản rộng, thân mềm, sinh trưởng nhanh và cạnh tranh dinh dưỡng mạnh với cây trồng ngắn ngày. Phần lớn là cỏ hằng niên sinh trưởng – ra hoa – kết hạt – chết trong một vụ, tuy nhiên cũng có một số loài là cỏ đa niên với thân bò hoặc rễ phụ rất khó trừ. Nhóm này phổ biến trong ruộng lúa, ruộng rau màu, bờ ruộng, vườn cây ăn trái và đất khô.",weed_group,co_dai|co_la_rong|co_hang_nien|co_da_nien|co_ruong_rau|co_canh_tranh,Nhóm cỏ lá rộng là gì?|Đặc điểm chung của cỏ lá rộng?|Cỏ lá rộng khác gì cỏ lá hẹp?,,weed
co_la_rong_chunk_02,Những loài cỏ lá rộng hằng niên thường gặp trong ruộng lúa và ruộng rau là gì?,"Ludwigia octovalvis (rau dừa nước), Amaranthus spp. (rau dền), Ageratum conyzoides (cỏ hôi – cúc lợn), Eclipta prostrata (cỏ mực – nhọ nồi), Bidens pilosa (cỏ xuyên chi, đơn kim, cúc áo) và Portulaca oleracea (rau sam) là các loài cỏ lá rộng hằng niên phổ biến. Chúng mọc nhiều trong ruộng lúa, ruộng rau và vườn, cạnh tranh mạnh với cây trồng giai đoạn đầu vụ.",weed_group,co_dai|co_la_rong_hang_nien|rau_den|co_muc|co_hoi|rau_sam,Cỏ rau dền là cỏ gì?|Những loại cỏ lá rộng hằng niên thường gặp là gì?|Cỏ mực mọc nhiều ở đâu?,_Page_42_Image_0001,weed
co_la_rong_chunk_03,Những loài cỏ lá rộng đa niên khó trừ thường gặp là gì?,"Ipomoea spp. (rau muống hoang, bìm bìm) là nhóm dây leo thân bò, sống đa niên, gây hại mạnh ở ruộng màu và bờ ruộng. Commelina benghalensis (rau trai) là cỏ đa niên có rễ phụ phát triển mạnh, rất kháng Glyphosate, mọc ở ruộng rau và đất ẩm. Mimosa pudica (cỏ trinh nữ – xấu hổ) là cỏ đa niên dạng bụi lâu năm, mọc nhiều ở vườn trái và đất khô, rất khó trừ dứt điểm.",weed_group,co_dai|co_da_nien|rau_muong_hoang|rau_trai|co_trinh_nu|khang_glyphosate,Cỏ rau trai vì sao khó diệt?|Cỏ trinh nữ có đặc điểm gì?|Những loại cỏ lá rộng đa niên nguy hiểm là gì?,_Page_45_Image_0001|_Page_45_Image_0002|_Page_46_Image_0002,weed
co_la_rong_chunk_04,Những khu vực nào thường xuất hiện mạnh cỏ lá rộng?,"Cỏ lá rộng thường xuất hiện mạnh trong ruộng lúa, ruộng rau màu, bờ ruộng, vườn cây ăn trái và đất khô. Một số loài ưa ẩm như rau dừa nước, rau trai phát triển mạnh ở đất ẩm và ruộng lúa. Một số loài chịu hạn tốt như rau sam, cỏ trinh nữ phát triển mạnh ở ruộng rau khô và đất gò đồi.",weed_group,co_dai|phan_bo_co|co_la_rong|dat_am|dat_kho|ruong_rau,Cỏ lá rộng thường mọc ở đâu?|Khu vực nào dễ phát sinh cỏ lá rộng?|Vì sao cỏ lá rộng phát sinh mạnh ở ruộng rau?,,weed
