id,question,answer,category,tags,alt_questions,img_keys,entity_type
rose_dis_chunk_01,Vì sao hoa hồng là cây cảnh phổ biến nhưng cũng dễ bị bệnh?,"Hoa hồng là cây cảnh được trồng phổ biến nhất tại nhiều khu vườn vì cho nhiều hoa, thời gian nở dài, đa dạng về hình dáng, kích thước và hương thơm. Tuy nhiên, hoa hồng cũng rất nhạy cảm với bệnh hại. Khi bị bệnh, cây không chỉ mất vẻ đẹp mà còn có thể bị suy kiệt nghiêm trọng, thậm chí chết nếu không được quản lý đúng cách.",benh_hoa_hong,hoa_hong|cay_canh|sau_benh|gia_tri_tham_my,Vì sao hoa hồng dễ bị bệnh?|Hoa hồng có dễ chết vì bệnh không?|Bệnh ảnh hưởng đến hoa hồng như thế nào?,benh-hoa-hong_Page_1_Image_0001|benh-hoa-hong_Page_1_Image_0002|benh-hoa-hong_Page_1_Image_0003|benh-hoa-hong_Page_1_Image_0004,disease
rose_dis_chunk_02,Những nhóm tác nhân chính gây bệnh trên hoa hồng là gì?,"Các bệnh trên hoa hồng chủ yếu do ba nhóm tác nhân gây ra gồm: nấm, vi khuẩn và virus. Trong đó, nấm là tác nhân gây ra phần lớn các bệnh phổ biến như phấn trắng, sương mai, thán thư, loét thân, rỉ sắt, thối rễ, mốc xám và các bệnh đốm lá như đốm đen, đốm lá Cercospora.",disease_profile,benh_hoa_hong|rose_disease|nam_benh|vi_khuan|virus|phan_loai_benh,Bệnh hoa hồng do những tác nhân nào gây ra?|Nhóm bệnh nào phổ biến nhất trên hoa hồng?|Nấm gây ra những bệnh gì trên hoa hồng?,benh-hoa-hong_Page_1_Image_0001|benh-hoa-hong_Page_1_Image_0002|benh-hoa-hong_Page_1_Image_0003|benh-hoa-hong_Page_1_Image_0004,disease
rose_dis_chunk_03,Những bệnh do virus và vi khuẩn gây ra trên hoa hồng là gì?,"Virus gây ra các bệnh nghiêm trọng như bệnh khảm hoa hồng (rose mosaic) và bệnh chổi rồng hoa hồng (rose rosette). Trong khi đó, vi khuẩn là tác nhân gây bệnh u sưng rễ, thân (crown gall). Trong các loại bệnh này, virus rose rosette hiện được xem là tác nhân gây thiệt hại kinh tế lớn nhất.",disease_profile,benh_hoa_hong|rose_disease|virus|vi_khuan|rose_rosette|crown_gall,Virus gây bệnh gì trên hoa hồng?|Bệnh u sưng trên hoa hồng do đâu?|Bệnh virus nào nguy hiểm nhất cho hoa hồng?,benh-hoa-hong_Page_1_Image_0001|benh-hoa-hong_Page_1_Image_0002|benh-hoa-hong_Page_1_Image_0003|benh-hoa-hong_Page_1_Image_0004,disease
rose_dis_chunk_04,Bệnh phấn trắng trên hoa hồng là gì và do tác nhân nào gây ra?,"Bệnh phấn trắng trên hoa hồng do nấm Podosphaera pannosa (trước đây gọi là Sphaerotheca pannosa) gây ra. Dấu hiệu đặc trưng là lớp bột trắng xuất hiện trên lá, cuống lá và nụ hoa. Triệu chứng bao gồm lá phồng rộp, xoắn lại và đổi màu từ đỏ đến đỏ tía.",disease_profile,benh_hoa_hong|rose_disease|phan_trang|powdery_mildew|nam_benh|la_bien_dang,Phấn trắng hoa hồng là bệnh gì?|Nấm nào gây bệnh phấn trắng trên hoa hồng?|Dấu hiệu nhận biết phấn trắng là gì?,benh-hoa-hong_Page_1_Image_0001|benh-hoa-hong_Page_1_Image_0002|benh-hoa-hong_Page_1_Image_0003|benh-hoa-hong_Page_1_Image_0004,disease
rose_dis_chunk_05,Điều kiện môi trường nào làm bệnh phấn trắng phát triển mạnh?,"Bệnh phấn trắng phát triển mạnh trong điều kiện thời tiết ấm và ẩm nhưng ít mưa. Độ ẩm cao giúp bào tử nấm nảy mầm, tuy nhiên nước tự do trên lá lại ức chế sự nảy mầm của bào tử. Bào tử nấm phát tán chủ yếu theo gió trong không khí.",disease_profile,benh_hoa_hong|rose_disease|thoi_tiet_am_am|phan_tan_bao_tu|do_am|phan_trang,Thời tiết nào thuận lợi cho bệnh phấn trắng?|Mưa có làm tăng bệnh phấn trắng không?|Bào tử phấn trắng lây lan bằng cách nào?,benh-hoa-hong_Page_1_Image_0001|benh-hoa-hong_Page_1_Image_0002|benh-hoa-hong_Page_1_Image_0003|benh-hoa-hong_Page_1_Image_0004,disease
rose_dis_chunk_06,Nấm phấn trắng tồn tại qua mùa đông như thế nào?,Nấm gây bệnh phấn trắng tồn tại qua mùa đông trong các cành hoa hồng bị nhiễm bệnh và trong lớp lá rụng bên dưới gốc cây. Đây là nguồn bệnh chính lây nhiễm trở lại cho vụ sau nếu không được vệ sinh vườn kỹ.,disease_profile,benh_hoa_hong|rose_disease|qua_dong|nguon_benh|canh_benh|la_rung,Nấm phấn trắng sống sót qua mùa đông ra sao?|Nguồn bệnh phấn trắng từ đâu?|Vì sao phải dọn lá rụng để phòng bệnh?,benh-hoa-hong_Page_1_Image_0001|benh-hoa-hong_Page_1_Image_0002|benh-hoa-hong_Page_1_Image_0003|benh-hoa-hong_Page_1_Image_0004,disease
rose_dis_qa_01,Vì sao cần ưu tiên phòng bệnh phấn trắng hơn là chữa trị khi đã bị nặng?,"Thuốc trừ nấm cho hiệu quả cao nhất khi được sử dụng sớm, trước khi bệnh phát triển mạnh. Khi bệnh phấn trắng đã bùng phát nặng, việc kiểm soát rất khó và hiệu quả giảm rõ rệt, đồng thời cây đã bị tổn thương nghiêm trọng.",disease_profile,benh_hoa_hong|rose_disease|phong_benh|phun_ngua|hieu_qua_som|phan_trang,Vì sao nên phòng phấn trắng sớm?|Phun thuốc khi bệnh nặng có hiệu quả không?|Phấn trắng nên xử lý lúc nào?,benh-hoa-hong_Page_1_Image_0001|benh-hoa-hong_Page_1_Image_0002|benh-hoa-hong_Page_1_Image_0003|benh-hoa-hong_Page_1_Image_0004,disease
rose_dis_qa_02,Những biện pháp quản lý tổng hợp bệnh phấn trắng trên hoa hồng gồm những gì?,"Biện pháp quản lý tổng hợp bệnh phấn trắng bao gồm: cắt bỏ lá và cành bị bệnh, phun dầu khoáng trong mùa đông, lựa chọn giống hoa hồng kháng bệnh và sử dụng thuốc trừ nấm theo hướng phòng ngừa. Việc kết hợp nhiều biện pháp giúp giảm áp lực bệnh bền vững.",disease_profile,benh_hoa_hong|rose_disease|quan_ly_tong_hop|cat_tia|thuoc_tru_nam|giong_khang,Quản lý phấn trắng bằng cách nào?|Có nên cắt bỏ lá bệnh không?|Giống kháng phấn trắng có quan trọng không?,benh-hoa-hong_Page_1_Image_0001|benh-hoa-hong_Page_1_Image_0002|benh-hoa-hong_Page_1_Image_0003|benh-hoa-hong_Page_1_Image_0004,disease
rose_dis_qa_03,Vì sao nước mưa không làm bào tử phấn trắng nảy mầm dù độ ẩm cao?,"Mặc dù bào tử phấn trắng cần độ ẩm cao để nảy mầm, nhưng nước tự do trên bề mặt lá lại ức chế quá trình này. Do đó, bệnh thường phát triển mạnh trong điều kiện ẩm nhưng ít mưa.",disease_profile,benh_hoa_hong|rose_disease|bao_tu|do_am|nuoc_mua|inh_tre_nay_mam,Vì sao phấn trắng nặng khi ít mưa?|Mưa có ức chế phấn trắng không?|Quan hệ giữa độ ẩm và phấn trắng là gì?,benh-hoa-hong_Page_1_Image_0001|benh-hoa-hong_Page_1_Image_0002|benh-hoa-hong_Page_1_Image_0003|benh-hoa-hong_Page_1_Image_0004,disease
rose_blackspot_chunk_01,Bệnh đốm đen trên hoa hồng là gì và do tác nhân nào gây ra?,"Bệnh đốm đen trên hoa hồng do nấm Diplocarpon rosae gây ra. Triệu chứng điển hình là các đốm màu đen đến nâu có viền mờ như lông vũ trên lá. Khi điều kiện thuận lợi, cây có thể rụng gần như toàn bộ lá, làm suy yếu nghiêm trọng sức sinh trưởng.",disease_profile,benh_hoa_hong|rose_disease|dom_den|black_spot|diplocarpon_rosae|nam_benh,Bệnh đốm đen hoa hồng là bệnh gì?|Nấm nào gây bệnh đốm đen?|Dấu hiệu nhận biết bệnh black spot là gì?,benh-hoa-hong_Page_2_Image_0001|benh-hoa-hong_Page_2_Image_0002|benh-hoa-hong_Page_2_Image_0003,disease
