id,question,answer,category,tags,alt_questions,img_keys,entity_type
bd_hist_chunk_01,Những phương pháp khử khuẩn hạt giống sơ khai được sử dụng từ thế kỷ 18 là gì?,"Từ năm 1755, người ta đã sử dụng các dung dịch đơn giản như vôi sống, vôi tôi và nước muối đặc để khử khuẩn hạt giống. Đây là những phương pháp sơ khai nhằm tiêu diệt mầm bệnh bám trên hạt, giúp hạn chế bệnh hại ngay từ giai đoạn đầu gieo trồng.",procedure_pest_control_overview,lich_su|khu_khuan_hat_giong|voi_song|nuoc_muoi,Khử khuẩn hạt giống thời xưa bằng cách nào?|Vôi sống và nước muối được dùng để làm gì trong nông nghiệp?|Phương pháp xử lý hạt giống cổ điển là gì?,ic-top281ssc_Page_02_Image_0001|ic-top281ssc_Page_02_Image_0002,procedure
bd_hist_chunk_02,Đồng sulfate bắt đầu được sử dụng trong nông nghiệp từ khi nào?,"Năm 1844, đồng sulfate bắt đầu được sử dụng để khử khuẩn hạt giống lúa mạch. Cũng trong thời kỳ này, người ta nảy sinh ý tưởng dùng đồng sulfate để phòng ngừa bệnh cho khoai tây, đánh dấu bước chuyển từ biện pháp thủ công sang sử dụng hóa chất vô cơ.",procedure_pest_control_overview,dong_sulfate|lua_mach|khoai_tay|phong_benh,Đồng sulfate được dùng trong nông nghiệp từ năm nào?|Ai là người đầu tiên nghĩ đến dùng đồng sulfate cho cây trồng?|Đồng sulfate ban đầu dùng để làm gì?,ic-top281ssc_Page_02_Image_0001|ic-top281ssc_Page_02_Image_0002,procedure
bd_hist_chunk_03,Dung dịch Bordeaux được hình thành và công bố như thế nào?,"Từ năm 1845, người ta đề xuất trộn vôi với dung dịch đồng sulfate vào đất để phòng bệnh khoai tây. Đến năm 1873, việc bổ sung vôi vào dung dịch đồng sulfate khi xử lý hạt giống lúa mạch được khuyến khích nhằm giảm độc hại. Giai đoạn 1882–1885, Millardet lần lượt đưa ra các công bố liên quan đến dung dịch Bordeaux, công bố thành phần, liều dùng và báo cáo chính thức về loại dung dịch này.",procedure_pest_control_overview,bordeaux|millardet|voi|dong_sulfate|phong_benh,Dung dịch Bordeaux ra đời năm nào?|Ai là người công bố dung dịch Bordeaux?|Vì sao phải trộn vôi với đồng sulfate?,ic-top281ssc_Page_02_Image_0001|ic-top281ssc_Page_02_Image_0002,procedure
bd_hist_qa_01,Vì sao cần thêm vôi vào dung dịch đồng sulfate?,"Việc bổ sung vôi vào dung dịch đồng sulfate giúp giảm tính độc của ion đồng đối với cây trồng, hạn chế cháy lá và tăng mức độ an toàn khi sử dụng. Đây là bước cải tiến quan trọng giúp dung dịch Bordeaux trở thành chế phẩm phòng bệnh phổ biến và bền vững.",procedure_pest_control_overview,voi|dong_sulfate|giam_doc|an_toan,Tác dụng của vôi trong dung dịch Bordeaux là gì?|Vì sao không dùng riêng đồng sulfate?|Thêm vôi có ảnh hưởng hiệu quả phòng bệnh không?,ic-top281ssc_Page_02_Image_0001|ic-top281ssc_Page_02_Image_0002,procedure
bd_hist_qa_02,Dung dịch Bordeaux có ý nghĩa như thế nào trong lịch sử nông nghiệp?,"Dung dịch Bordeaux là một trong những thuốc phòng bệnh hóa học đầu tiên trong lịch sử nông nghiệp, đặc biệt hiệu quả với bệnh đốm sương và nấm bệnh. Việc ra đời dung dịch này đã mở ra kỷ nguyên sử dụng thuốc bảo vệ thực vật vô cơ có kiểm soát.",procedure_pest_control_overview,bordeaux|lich_su|thuoc_bvtv|nam_benh,Dung dịch Bordeaux quan trọng ra sao?|Bordeaux có phải là thuốc trừ bệnh đầu tiên không?|Ảnh hưởng của Bordeaux đến nông nghiệp hiện đại là gì?,ic-top281ssc_Page_02_Image_0001|ic-top281ssc_Page_02_Image_0002,procedure
bd_hist_qa_03,"Trước khi có dung dịch Bordeaux, người ta phòng bệnh cây trồng bằng cách nào?","Trước khi dung dịch Bordeaux được công bố, người ta chủ yếu dùng vôi, nước muối hoặc đồng sulfate đơn lẻ để khử khuẩn hạt giống và phòng bệnh. Các biện pháp này hiệu quả hạn chế và tiềm ẩn nguy cơ gây hại cho cây trồng nếu dùng sai liều.",procedure_pest_control_overview,phong_benh|khu_khuan_hat|voi|nuoc_muoi,Trước Bordeaux người ta dùng gì để phòng bệnh?|Có dùng đồng sulfate đơn lẻ trước không?|Những hạn chế của phương pháp cổ điển là gì?,ic-top281ssc_Page_02_Image_0001|ic-top281ssc_Page_02_Image_0002,procedure
bd_comp_qa_01,Vì sao IC Top được xem là tương đương với dung dịch Bordeaux?,"IC Top được xem là tương đương với dung dịch Bordeaux vì có thành phần đồng sulfate kết hợp với vôi canxi và công thức hóa học giống Bordeaux. Nhờ đó, IC Top mang lại công dụng phòng trừ nấm bệnh tương tự dung dịch Bordeaux và vẫn giữ được độ an toàn nhờ có canxi.",procedure_pest_control_overview,ic_top|bordeaux|cong_dung|voi_canxi,Vì sao nói IC Top giống Bordeaux?|IC Top có công dụng tương đương Bordeaux không?|IC Top và Bordeaux có khác nhau không?,,procedure
bd_comp_qa_02,Thuốc gốc đồng dạng đồng hydroxide và đồng oxychloride khác gì so với dung dịch Bordeaux?,"Thuốc gốc đồng dạng đồng hydroxide Cu(OH)₂ và đồng oxychloride Cu₂Cl(OH)₃ không chứa vôi nên thường có tính sát khuẩn mạnh hơn nhưng cũng dễ gây cháy lá nếu dùng sai liều. Trong khi đó, dung dịch Bordeaux có thêm vôi giúp giảm độc, tăng độ an toàn cho cây trồng.",procedure_pest_control_overview,dong_hydroxide|dong_oxychloride|bordeaux|so_sanh,Đồng hydroxide khác Bordeaux thế nào?|Đồng oxychloride có an toàn như Bordeaux không?|So sánh các dạng thuốc gốc đồng?,,procedure
bd_comp_qa_03,Việc bổ sung vôi trong thuốc gốc đồng mang lại lợi ích gì?,"Việc bổ sung vôi (canxi) trong thuốc gốc đồng, như trong dung dịch Bordeaux và IC Top, giúp trung hòa tính axit, giảm độc tính của đồng, hạn chế cháy lá và tăng độ an toàn cho cây trồng trong quá trình phòng trừ nấm bệnh.",procedure_pest_control_overview,voi_canxi|giam_doc|an_toan|thuoc_goc_dong,Vôi có vai trò gì trong thuốc gốc đồng?|Vì sao thuốc có vôi ít cháy lá hơn?|Bổ sung canxi có lợi ích gì?,,procedure
bd_safe_qa_01,Vì sao IC Top có dư lượng đồng thấp hơn Bordeaux pha tay 1%?,"IC Top có hàm lượng đồng chỉ 3,7% và được sử dụng ở dạng pha loãng theo nhiều cấp độ, do đó tổng lượng đồng nguyên chất đưa vào đất thấp hơn đáng kể so với dung dịch Bordeaux pha tay 1% vốn sử dụng trực tiếp lượng lớn đồng sulfate.",procedure_pest_control_overview,ic_top|bordeaux|ham_luong_dong|giam_ton_du,Vì sao IC Top ít tồn dư đồng hơn Bordeaux?|Hàm lượng đồng trong IC Top là bao nhiêu?|IC Top giảm tồn dư đồng bằng cách nào?,,procedure
