question_vi,answer_vi
Quy trình làm nhãn riêng gồm những bước chính nào?,Quy trình làm nhãn riêng gồm 8 bước: 1) Nhận lệnh in (T4 + T7); 2) Lên đơn hàng; 3) Kinh doanh và kế toán kiểm tra đơn hàng; 4) Trình ký (T4 + T7); 5) Gửi đơn hàng cho nhà in; 6) Duyệt in; 7) Theo dõi tiến độ nhãn về; 8) Kho kiểm tra nhãn và nhập kho.
"Lệnh in nhãn riêng được nhận từ bộ phận nào, vào thời gian nào và trên kênh nào?","Lệnh in nhãn riêng được nhận từ CSKH C1 (BMC) và C2 (Phúc Thịnh) vào thứ 4 và thứ 7 hàng tuần, trên nhóm Zalo ""ĐẶT IN NHÃN RIÊNG""."
"Lệnh in thứ 4 thì trình ký vào ngày nào, và lệnh in thứ 7 thì trình ký vào ngày nào?",Lệnh in thứ 4 sẽ được trình ký vào thứ 7. Lệnh in thứ 7 sẽ được trình ký vào thứ 4 tuần kế tiếp.
Một lệnh in nhãn riêng được in ra mấy bản và dùng để làm gì?,Mỗi lệnh in được in 3 bản: 1) Bản dùng để in nhãn; 2) Bản dùng để tạo mã vật tư; 3) Bản gửi kho vật tư để kiểm tra tồn kho nhãn.
"Phân biệt ""In tái bản"" trong lệnh in là gì?","""In tái bản"" là in lại thiết kế nhãn đã từng được in trước đó, không thay đổi nội dung thiết kế."
"""In tái bản có chỉnh sửa"" được hiểu như thế nào?","""In tái bản có chỉnh sửa"" là trường hợp thiết kế đã từng in nhưng khách hàng yêu cầu chỉnh một số chi tiết nhỏ như tên hiệu, hình ảnh, đơn vị phân phối hoặc một số thông tin trên nhãn mà không thay đổi quá nhiều bố cục."
Khi khách hàng muốn thay đổi tên thương mại trên nhãn thì được xếp vào loại thiết kế nào?,"Khi khách hàng muốn thay đổi tên thương mại, thiết kế đó được xem là ""thiết kế mới"", không còn là in tái bản có chỉnh sửa."
"Khái niệm ""Thiết kế mới"" trong quy trình in nhãn là gì?","""Thiết kế mới"" là thiết kế nhãn chưa từng in lần nào và chưa có mã vật tư trên hệ thống."
"Sau khi thiết kế chỉnh sửa được chốt, có còn lưu thiết kế cũ không?","Khi thiết kế chỉnh sửa đã được chốt, công ty sẽ không còn lưu thiết kế cũ nữa, chỉ giữ phiên bản đã chỉnh sửa."
In thiết kế tái bản được thực hiện dựa trên nguồn dữ liệu nào?,"In thiết kế tái bản được thực hiện dựa vào thư mục nhãn trên đường dẫn NAS của bộ phận vật tư, nơi lưu trữ file thiết kế nhãn đã in trước đó."
"Quy trình xử lý đối với ""In tái bản có chỉnh sửa"" và ""In thiết kế mới"" là gì?","Đối với in tái bản có chỉnh sửa và thiết kế mới: lên nhóm khách hàng để kiểm tra nhãn khách đã chốt, gửi hình ảnh nhãn vào nhóm, thiết kế thêm ô tích, sau khi khách chốt thì lưu file thiết kế vào thư mục NAS và tiến hành in nhãn."
"Bước ""check nhãn"" dựa trên tài liệu nào và mục tiêu là gì?","Bước check nhãn dựa vào thông tin trên giấy đăng ký và giấy hợp quy, nhằm kiểm tra nhãn theo 20 mục tiêu chuẩn để đảm bảo nhãn in đúng, đủ và tuân thủ quy định pháp lý."
